,et0_mm_day
1950-01-01,6.38292
1950-02-01,7.3873773
1950-03-01,8.489713
1950-04-01,7.635824
1950-05-01,9.650116
1950-06-01,9.405873
1950-07-01,3.7808867
1950-08-01,3.4522414
1950-09-01,3.89719
1950-10-01,7.3895326
1950-11-01,8.091968
1950-12-01,7.4183006
1951-01-01,6.270431
1951-02-01,7.7217073
1951-03-01,8.157916
1951-04-01,10.136727
1951-05-01,9.650116
1951-06-01,9.405873
1951-07-01,4.052326
1951-08-01,4.614979
1951-09-01,3.7417114
1951-10-01,7.3895326
1951-11-01,8.091968
1951-12-01,5.6351275
1952-01-01,6.1615334
1952-02-01,6.616369
1952-03-01,8.514508
1952-04-01,10.136727
1952-05-01,9.650116
1952-06-01,9.405873
1952-07-01,4.5720415
1952-08-01,3.2546372
1952-09-01,7.12594
1952-10-01,7.3895326
1952-11-01,8.091968
1952-12-01,7.4183006
1953-01-01,6.3243656
1953-02-01,7.2218328
1953-03-01,8.724481
1953-04-01,8.597583
1953-05-01,9.650116
1953-06-01,9.405873
1953-07-01,4.413478
1953-08-01,4.19531
1953-09-01,4.569344
1953-10-01,4.6610236
1953-11-01,6.5614657
1953-12-01,6.857328
1954-01-01,6.8806486
1954-02-01,7.9703107
1954-03-01,8.8205185
1954-04-01,9.370051
1954-05-01,8.790403
1954-06-01,8.332983
1954-07-01,5.661175
1954-08-01,4.5546145
1954-09-01,5.682312
1954-10-01,7.070951
1954-11-01,7.8919454
1954-12-01,7.4407606
1955-01-01,6.9827065
1955-02-01,7.9303236
1955-03-01,9.500854
1955-04-01,10.010295
1955-05-01,9.123951
1955-06-01,7.829197
1955-07-01,7.484175
1955-08-01,7.231295
1955-09-01,5.828358
1955-10-01,7.2056913
1955-11-01,8.116118
1955-12-01,7.6718106
1956-01-01,7.2990284
1956-02-01,8.179184
1956-03-01,10.041266
1956-04-01,10.082461
1956-05-01,9.388111
1956-06-01,8.993551
1956-07-01,6.333068
1956-08-01,4.7478676
1956-09-01,5.336478
1956-10-01,6.6022167
1956-11-01,8.007526
1956-12-01,7.540278
1957-01-01,7.8984423
1957-02-01,7.9715996
1957-03-01,9.376958
1957-04-01,10.280986
1957-05-01,8.33457
1957-06-01,8.782886
1957-07-01,7.432163
1957-08-01,6.205082
1957-09-01,7.1123614
1957-10-01,7.6595173
1957-11-01,8.402191
1957-12-01,7.4954853
1958-01-01,7.809885
1958-02-01,8.008659
1958-03-01,9.649984
1958-04-01,9.940941
1958-05-01,10.196946
1958-06-01,9.30465
1958-07-01,6.823063
1958-08-01,6.9047437
1958-09-01,7.57768
1958-10-01,7.3526425
1958-11-01,8.268386
1958-12-01,7.4646177
1959-01-01,7.5766296
1959-02-01,8.593313
1959-03-01,9.286642
1959-04-01,10.277883
1959-05-01,9.807796
1959-06-01,9.696156
1959-07-01,7.34809
1959-08-01,5.398035
1959-09-01,6.626785
1959-10-01,7.1788354
1959-11-01,8.03943
1959-12-01,7.4705706
1960-01-01,7.6310782
1960-02-01,8.092642
1960-03-01,9.477981
1960-04-01,9.821579
1960-05-01,9.622708
1960-06-01,9.675444
1960-07-01,8.476273
1960-08-01,8.27656
1960-09-01,7.607773
1960-10-01,7.938333
1960-11-01,8.733847
1960-12-01,7.5089636
1961-01-01,7.6832547
1961-02-01,8.835427
1961-03-01,9.50516
1961-04-01,10.251149
1961-05-01,10.912418
1961-06-01,8.916058
1961-07-01,5.9044437
1961-08-01,5.6820884
1961-09-01,7.341847
1961-10-01,7.658847
1961-11-01,8.003764
1961-12-01,7.6410694
1962-01-01,7.403329
1962-02-01,8.678452
1962-03-01,9.002313
1962-04-01,10.401636
1962-05-01,9.570621
1962-06-01,9.34869
1962-07-01,9.096757
1962-08-01,6.624557
1962-09-01,6.5283775
1962-10-01,6.991781
1962-11-01,7.3027835
1962-12-01,7.2342453
1963-01-01,7.137336
1963-02-01,8.127592
1963-03-01,10.184869
1963-04-01,11.100986
1963-05-01,10.299228
1963-06-01,10.011591
1963-07-01,9.076372
1963-08-01,8.542053
1963-09-01,7.012725
1963-10-01,4.8601403
1963-11-01,8.091968
1963-12-01,5.3874774
1964-01-01,7.023521
1964-02-01,8.645929
1964-03-01,10.200121
1964-04-01,11.210129
1964-05-01,12.960024
1964-06-01,11.485159
1964-07-01,9.762295
1964-08-01,7.5816736
1964-09-01,7.034164
1964-10-01,4.162796
1964-11-01,8.091968
1964-12-01,7.4183006
1965-01-01,7.0780144
1965-02-01,8.125119
1965-03-01,10.249384
1965-04-01,10.930032
1965-05-01,13.301119
1965-06-01,13.077177
1965-07-01,7.7024345
1965-08-01,6.631221
1965-09-01,7.12594
1965-10-01,9.654149
1965-11-01,8.435771
1965-12-01,6.947607
1966-01-01,7.893309
1966-02-01,7.188745
1966-03-01,10.121525
1966-04-01,11.059851
1966-05-01,12.139827
1966-06-01,13.33975
1966-07-01,11.539653
1966-08-01,6.631221
1966-09-01,7.12594
1966-10-01,9.770743
1966-11-01,8.822062
1966-12-01,7.8926535
1967-01-01,7.586032
1967-02-01,7.985763
1967-03-01,9.030387
1967-04-01,10.073751
