,et0_mm_day
1950-01-01,6.528571
1950-02-01,8.209207
1950-03-01,9.785004
1950-04-01,10.914691
1950-05-01,12.660144
1950-06-01,12.156165
1950-07-01,10.868782
1950-08-01,10.80206
1950-09-01,11.115016
1950-10-01,10.135719
1950-11-01,5.262248
1950-12-01,6.0204563
1951-01-01,6.7175922
1951-02-01,8.395269
1951-03-01,10.181442
1951-04-01,11.364155
1951-05-01,12.660144
1951-06-01,9.104408
1951-07-01,10.953561
1951-08-01,11.041202
1951-09-01,7.7912436
1951-10-01,10.135719
1951-11-01,8.35833
1951-12-01,5.8259444
1952-01-01,7.015802
1952-02-01,8.365072
1952-03-01,9.897269
1952-04-01,10.2873335
1952-05-01,10.588631
1952-06-01,12.156165
1952-07-01,8.457266
1952-08-01,10.80206
1952-09-01,11.115016
1952-10-01,10.135719
1952-11-01,7.262081
1952-12-01,6.671913
1953-01-01,6.7758336
1953-02-01,8.275047
1953-03-01,10.348924
1953-04-01,11.478946
1953-05-01,9.829558
1953-06-01,10.988601
1953-07-01,10.502383
1953-08-01,9.280294
1953-09-01,10.354273
1953-10-01,8.648947
1953-11-01,8.280538
1953-12-01,5.927891
1954-01-01,7.3181615
1954-02-01,8.632004
1954-03-01,9.707138
1954-04-01,11.342123
1954-05-01,12.086995
1954-06-01,11.352569
1954-07-01,10.237336
1954-08-01,10.449908
1954-09-01,11.570946
1954-10-01,10.471008
1954-11-01,8.566231
1954-12-01,6.2407107
1955-01-01,6.70401
1955-02-01,8.940697
1955-03-01,10.497742
1955-04-01,12.256831
1955-05-01,13.529793
1955-06-01,11.372269
1955-07-01,10.77424
1955-08-01,10.368765
1955-09-01,10.409244
1955-10-01,10.46351
1955-11-01,8.378856
1955-12-01,6.387144
1956-01-01,6.451465
1956-02-01,8.230649
1956-03-01,11.134535
1956-04-01,11.983178
1956-05-01,13.409279
1956-06-01,12.03227
1956-07-01,9.96346
1956-08-01,10.308102
1956-09-01,11.214331
1956-10-01,10.184493
1956-11-01,7.9919324
1956-12-01,6.3983874
1957-01-01,6.878622
1957-02-01,7.5488763
1957-03-01,10.079339
1957-04-01,11.002175
1957-05-01,12.511492
1957-06-01,12.45416
1957-07-01,10.939174
1957-08-01,10.481283
1957-09-01,11.134997
1957-10-01,10.419644
1957-11-01,8.663401
1957-12-01,7.0256443
1958-01-01,6.918952
1958-02-01,7.544488
1958-03-01,10.857217
1958-04-01,13.137196
1958-05-01,13.731659
1958-06-01,12.45679
1958-07-01,10.6492195
1958-08-01,10.522224
1958-09-01,11.663586
1958-10-01,10.480068
1958-11-01,8.25762
1958-12-01,6.7609625
1959-01-01,6.6282525
1959-02-01,7.674694
1959-03-01,10.299057
1959-04-01,12.739457
1959-05-01,12.860157
1959-06-01,13.237961
1959-07-01,11.336662
1959-08-01,10.817848
1959-09-01,11.493616
1959-10-01,10.89786
1959-11-01,8.527666
1959-12-01,6.472625
1960-01-01,6.4384265
1960-02-01,8.549794
1960-03-01,9.928003
1960-04-01,13.1110325
1960-05-01,13.32394
1960-06-01,14.564611
1960-07-01,11.615962
1960-08-01,11.58148
1960-09-01,11.528537
1960-10-01,10.532297
1960-11-01,8.027688
1960-12-01,6.540485
1961-01-01,7.193886
1961-02-01,7.877767
1961-03-01,10.590919
1961-04-01,12.327358
1961-05-01,13.587303
1961-06-01,12.90781
1961-07-01,10.054745
1961-08-01,10.087177
1961-09-01,10.783188
1961-10-01,9.47082
1961-11-01,7.2333736
1961-12-01,5.496405
1962-01-01,5.8772564
1962-02-01,8.097291
1962-03-01,10.493554
1962-04-01,12.304556
1962-05-01,13.589464
1962-06-01,12.656935
1962-07-01,11.360616
1962-08-01,10.53892
1962-09-01,10.16812
1962-10-01,8.711688
1962-11-01,7.947728
1962-12-01,6.479748
1963-01-01,7.260136
1963-02-01,8.521438
1963-03-01,10.549829
1963-04-01,11.295237
1963-05-01,12.115068
1963-06-01,12.744755
1963-07-01,11.190064
1963-08-01,11.806965
1963-09-01,9.771645
1963-10-01,10.135719
1963-11-01,8.061526
1963-12-01,5.393505
1964-01-01,6.5944715
1964-02-01,8.178756
1964-03-01,9.855397
1964-04-01,11.814512
1964-05-01,12.227908
1964-06-01,12.105361
1964-07-01,11.516839
1964-08-01,10.711998
1964-09-01,9.994399
1964-10-01,10.135719
1964-11-01,8.061526
1964-12-01,6.706722
1965-01-01,6.368771
1965-02-01,8.24631
1965-03-01,10.17429
1965-04-01,11.463456
1965-05-01,12.974448
1965-06-01,14.117375
1965-07-01,12.848243
1965-08-01,10.80206
1965-09-01,12.429431
1965-10-01,9.875595
1965-11-01,7.7900143
1965-12-01,7.5921044
1966-01-01,7.6061635
1966-02-01,8.769788
1966-03-01,10.277435
1966-04-01,11.739098
1966-05-01,13.805606
1966-06-01,14.495633
1966-07-01,13.536356
1966-08-01,12.687661
1966-09-01,12.449079
1966-10-01,10.270103
1966-11-01,7.923551
1966-12-01,7.445365
1967-01-01,6.492943
1967-02-01,8.83992
1967-03-01,11.1343565
1967-04-01,13.339498
1967-05-01,14.319688
1967-06-01,15.039496
1967-07-01,10.868782
1967-08-01,12.685723
1967-09-01,12.415544
1967-10-01,9.759832
1967-11-01,7.5951667
1967-12-01,6.4940004
1968-01-01,6.613672
1968-02-01,7.933572
1968-03-01,10.759547
1968-04-01,11.189424
1968-05-01,12.305878
1968-06-01,12.333326
1968-07-01,10.432087
1968-08-01,11.051558
1968-09-01,11.558674
1968-10-01,11.1448765
1968-11-01,8.260116
1968-12-01,6.4711275
1969-01-01,6.042115
1969-02-01,8.519106
1969-03-01,9.901319
1969-04-01,12.083471
1969-05-01,12.325108
1969-06-01,11.98043
1969-07-01,11.257879
1969-08-01,10.34876
