,et0_mm_day
1950-01-01,8.962415
1950-02-01,10.759197
1950-03-01,12.688803
1950-04-01,12.218955
1950-05-01,10.59657
1950-06-01,4.8757644
1950-07-01,4.602328
1950-08-01,4.376128
1950-09-01,4.437722
1950-10-01,3.5493896
1950-11-01,9.012851
1950-12-01,10.14988
1951-01-01,10.813827
1951-02-01,10.026105
1951-03-01,9.470426
1951-04-01,9.300746
1951-05-01,10.59657
1951-06-01,5.2409096
1951-07-01,4.415087
1951-08-01,4.878305
1951-09-01,4.268356
1951-10-01,4.0674357
1951-11-01,9.012851
1951-12-01,6.608844
1952-01-01,8.480035
1952-02-01,11.938493
1952-03-01,12.688803
1952-04-01,12.218955
1952-05-01,10.59657
1952-06-01,4.631944
1952-07-01,5.347103
1952-08-01,4.1225104
1952-09-01,3.5451279
1952-10-01,3.701061
1952-11-01,9.012851
1952-12-01,10.14988
1953-01-01,10.813827
1953-02-01,11.938493
1953-03-01,9.633451
1953-04-01,8.112095
1953-05-01,10.59657
1953-06-01,4.9991236
1953-07-01,4.5998917
1953-08-01,4.738018
1953-09-01,5.2101536
1953-10-01,4.3638425
1953-11-01,6.2521844
1953-12-01,8.813299
1954-01-01,9.536013
1954-02-01,10.372758
1954-03-01,11.486589
1954-04-01,10.822758
1954-05-01,8.876242
1954-06-01,7.0215983
1954-07-01,4.6834426
1954-08-01,4.552722
1954-09-01,5.466379
1954-10-01,5.6594014
1954-11-01,7.7231526
1954-12-01,9.537808
1955-01-01,10.141484
1955-02-01,11.042378
1955-03-01,11.568792
1955-04-01,11.732183
1955-05-01,9.213268
1955-06-01,7.1734114
1955-07-01,6.4962506
1955-08-01,5.548492
1955-09-01,5.277805
1955-10-01,5.315635
1955-11-01,7.061295
1955-12-01,10.133698
1956-01-01,10.399162
1956-02-01,11.228167
1956-03-01,12.394137
1956-04-01,12.189597
1956-05-01,9.571642
1956-06-01,8.174509
1956-07-01,5.868472
1956-08-01,5.257115
1956-09-01,5.512901
1956-10-01,5.613539
1956-11-01,7.2746873
1956-12-01,9.455368
1957-01-01,10.630027
1957-02-01,11.780203
1957-03-01,10.491364
1957-04-01,12.568921
1957-05-01,8.892477
1957-06-01,7.669732
1957-07-01,6.765135
1957-08-01,6.069288
1957-09-01,5.7384596
1957-10-01,6.6537933
1957-11-01,8.402735
1957-12-01,10.894716
1958-01-01,11.568621
1958-02-01,12.061186
1958-03-01,12.998491
1958-04-01,11.004958
1958-05-01,10.857426
1958-06-01,7.5232463
1958-07-01,6.1837435
1958-08-01,5.829558
1958-09-01,6.5476747
1958-10-01,6.308265
1958-11-01,8.312292
1958-12-01,9.88631
1959-01-01,11.021159
1959-02-01,12.538068
1959-03-01,12.6207695
1959-04-01,11.770233
1959-05-01,9.54476
1959-06-01,9.1419
1959-07-01,6.706558
1959-08-01,5.411796
1959-09-01,5.7803097
1959-10-01,5.806543
1959-11-01,7.9555287
1959-12-01,9.456455
1960-01-01,10.298967
1960-02-01,10.611124
1960-03-01,12.256458
1960-04-01,11.574015
1960-05-01,10.65775
1960-06-01,8.713425
1960-07-01,7.7508016
1960-08-01,7.459186
1960-09-01,6.140329
1960-10-01,6.1687527
1960-11-01,10.401428
1960-12-01,9.685844
1961-01-01,11.524476
1961-02-01,13.12013
1961-03-01,12.975388
1961-04-01,13.215956
1961-05-01,12.630179
1961-06-01,8.541152
1961-07-01,5.7733283
1961-08-01,5.265616
1961-09-01,5.5092945
1961-10-01,5.6784077
1961-11-01,8.083306
1961-12-01,9.552934
1962-01-01,10.286398
1962-02-01,11.548326
1962-03-01,11.504419
1962-04-01,12.73492
1962-05-01,9.609096
1962-06-01,8.48145
1962-07-01,7.604264
1962-08-01,6.071925
1962-09-01,5.4042788
1962-10-01,5.989462
1962-11-01,6.7758484
1962-12-01,9.420298
1963-01-01,10.024108
1963-02-01,11.237324
1963-03-01,13.4959
1963-04-01,12.349412
1963-05-01,11.22734
1963-06-01,10.293804
1963-07-01,7.711895
1963-08-01,7.2907505
1963-09-01,6.3888803
1963-10-01,4.690744
1963-11-01,9.012851
1963-12-01,10.14988
1964-01-01,10.813827
1964-02-01,10.644778
1964-03-01,13.086692
1964-04-01,13.810009
1964-05-01,16.235672
1964-06-01,13.081208
1964-07-01,11.552468
1964-08-01,6.3231215
1964-09-01,6.0676374
1964-10-01,4.6657176
1964-11-01,3.8605928
1964-12-01,10.14988
1965-01-01,10.813827
1965-02-01,8.971855
1965-03-01,13.834342
1965-04-01,15.061132
1965-05-01,10.59657
1965-06-01,14.024064
1965-07-01,7.205242
1965-08-01,6.2021914
