,et0_mm_day
1950-01-01,11.715934
1950-02-01,14.177047
1950-03-01,17.063902
1950-04-01,16.194942
1950-05-01,14.012912
1950-06-01,5.90384
1950-07-01,5.3678155
1950-08-01,4.6794415
1950-09-01,4.8024507
1950-10-01,3.7387683
1950-11-01,13.026538
1950-12-01,13.346845
1951-01-01,9.954065
1951-02-01,13.664514
1951-03-01,17.063902
1951-04-01,11.266567
1951-05-01,14.012912
1951-06-01,5.670309
1951-07-01,5.309522
1951-08-01,6.209612
1951-09-01,4.2348204
1951-10-01,4.3252335
1951-11-01,13.026538
1951-12-01,9.178988
1952-01-01,11.211731
1952-02-01,15.572194
1952-03-01,14.300399
1952-04-01,16.194942
1952-05-01,14.012912
1952-06-01,5.3403673
1952-07-01,6.283976
1952-08-01,4.249729
1952-09-01,3.9106236
1952-10-01,3.8774385
1952-11-01,13.026538
1952-12-01,13.346845
1953-01-01,13.958146
1953-02-01,11.794426
1953-03-01,14.45096
1953-04-01,12.546703
1953-05-01,14.012912
1953-06-01,5.96793
1953-07-01,5.6041775
1953-08-01,5.444899
1953-09-01,5.2205997
1953-10-01,4.93218
1953-11-01,9.019278
1953-12-01,11.892997
1954-01-01,12.992323
1954-02-01,14.707669
1954-03-01,15.67778
1954-04-01,13.901293
1954-05-01,11.685475
1954-06-01,10.795482
1954-07-01,6.9176702
1954-08-01,5.2591486
1954-09-01,6.5419154
1954-10-01,7.181145
1954-11-01,11.700421
1954-12-01,13.547875
1955-01-01,13.895742
1955-02-01,15.138499
1955-03-01,16.668043
1955-04-01,15.128985
1955-05-01,12.55513
1955-06-01,10.007061
1955-07-01,9.463765
1955-08-01,8.753233
1955-09-01,6.5566673
1955-10-01,6.932687
1955-11-01,13.114259
1955-12-01,14.69595
1956-01-01,14.056511
1956-02-01,15.455637
1956-03-01,16.90644
1956-04-01,17.174252
1956-05-01,12.715242
1956-06-01,10.932594
1956-07-01,7.3194504
1956-08-01,6.053351
1956-09-01,6.210804
1956-10-01,7.069241
1956-11-01,10.916405
1956-12-01,12.815818
1957-01-01,14.509373
1957-02-01,15.027992
1957-03-01,14.108523
1957-04-01,17.14592
1957-05-01,11.7426815
1957-06-01,10.874525
1957-07-01,8.771717
1957-08-01,7.921286
1957-09-01,7.62523
1957-10-01,9.21642
1957-11-01,12.667112
1957-12-01,14.181442
1958-01-01,14.772855
1958-02-01,15.356496
1958-03-01,17.983862
1958-04-01,14.529936
1958-05-01,15.395657
1958-06-01,11.210457
1958-07-01,8.277185
1958-08-01,8.053213
1958-09-01,8.760877
1958-10-01,9.389967
1958-11-01,12.325764
1958-12-01,13.320252
1959-01-01,13.730712
1959-02-01,15.823774
1959-03-01,16.936026
1959-04-01,16.13979
1959-05-01,14.3195915
1959-06-01,12.616105
1959-07-01,8.599453
1959-08-01,6.624289
1959-09-01,7.6956973
1959-10-01,8.392237
1959-11-01,12.296833
1959-12-01,12.814142
1960-01-01,13.336637
1960-02-01,13.886467
1960-03-01,16.499378
1960-04-01,15.11617
1960-05-01,14.568583
1960-06-01,12.7308445
1960-07-01,11.073306
