,et0_mm_day
1950-01-01,16.90638
1950-02-01,19.193642
1950-03-01,10.329135
1950-04-01,10.3905945
1950-05-01,7.9175754
1950-06-01,5.611062
1950-07-01,10.783754
1950-08-01,8.519515
1950-09-01,5.747974
1950-10-01,5.6055264
1950-11-01,4.9369783
1950-12-01,13.823138
1951-01-01,16.288328
1951-02-01,10.333202
1951-03-01,9.160497
1951-04-01,12.065016
1951-05-01,7.377647
1951-06-01,7.9442635
1951-07-01,8.516118
1951-08-01,10.37012
1951-09-01,5.944811
1951-10-01,5.4927917
1951-11-01,4.9938707
1951-12-01,10.007284
1952-01-01,11.6164465
1952-02-01,17.531927
1952-03-01,9.458646
1952-04-01,7.9854727
1952-05-01,7.84491
1952-06-01,8.820198
1952-07-01,7.2848873
1952-08-01,5.948514
1952-09-01,5.8101416
1952-10-01,4.7430544
1952-11-01,3.978975
1952-12-01,13.823138
1953-01-01,16.288328
1953-02-01,17.531927
1953-03-01,16.07209
1953-04-01,8.817211
1953-05-01,5.648285
1953-06-01,5.828783
1953-07-01,5.1526203
1953-08-01,4.478276
1953-09-01,6.0505123
1953-10-01,5.4463596
1953-11-01,7.1434603
1953-12-01,12.787998
1954-01-01,15.059657
1954-02-01,14.148675
1954-03-01,15.126564
1954-04-01,11.839763
1954-05-01,9.848669
1954-06-01,6.1803684
1954-07-01,4.891768
1954-08-01,5.083829
1954-09-01,5.7191772
1954-10-01,6.6493454
1954-11-01,7.92253
1954-12-01,13.214156
1955-01-01,15.627064
1955-02-01,17.216557
1955-03-01,13.792217
1955-04-01,12.33685
1955-05-01,9.377398
1955-06-01,6.419435
1955-07-01,5.3305254
1955-08-01,5.0401464
1955-09-01,5.6898966
1955-10-01,5.831357
1955-11-01,8.77209
1955-12-01,13.163701
1956-01-01,15.404947
1956-02-01,15.21495
1956-03-01,14.812678
1956-04-01,13.646796
1956-05-01,9.415441
1956-06-01,7.4045362
1956-07-01,5.7056246
1956-08-01,5.0444007
1956-09-01,5.9923306
1956-10-01,6.011274
1956-11-01,7.412359
1956-12-01,11.094771
1957-01-01,14.35744
1957-02-01,16.730696
1957-03-01,11.088528
1957-04-01,14.647659
1957-05-01,10.750935
1957-06-01,7.427767
1957-07-01,6.080106
1957-08-01,6.167881
1957-09-01,6.472476
1957-10-01,6.0567484
1957-11-01,7.5543823
1957-12-01,12.002177
1958-01-01,15.997149
1958-02-01,16.962677
1958-03-01,16.639791
1958-04-01,13.088543
1958-05-01,9.868063
1958-06-01,6.416425
1958-07-01,5.1583276
1958-08-01,5.341522
1958-09-01,6.0746894
1958-10-01,6.2218904
1958-11-01,8.404896
1958-12-01,11.329189
1959-01-01,14.761135
1959-02-01,16.82815
1959-03-01,15.291736
1959-04-01,13.22893
1959-05-01,9.948939
1959-06-01,8.019142
1959-07-01,7.152222
1959-08-01,5.806491
1959-09-01,6.187983
1959-10-01,6.5845623
1959-11-01,8.194052
1959-12-01,12.9086075
1960-01-01,15.474855
1960-02-01,15.386798
1960-03-01,15.423909
1960-04-01,11.795103
1960-05-01,11.110716
1960-06-01,8.506179
1960-07-01,6.4713507
1960-08-01,5.932212
1960-09-01,6.181322
1960-10-01,6.22192
1960-11-01,10.338508
1960-12-01,12.506403
1961-01-01,15.338757
1961-02-01,17.654099
1961-03-01,15.393242
1961-04-01,12.391053
1961-05-01,12.250259
1961-06-01,7.729165
1961-07-01,5.9018583
1961-08-01,5.0337763
1961-09-01,5.6505723
1961-10-01,6.3600245
1961-11-01,10.0253525
1961-12-01,12.447201
1962-01-01,14.404871
1962-02-01,16.709902
1962-03-01,13.855882
1962-04-01,10.934941
1962-05-01,9.0640335
1962-06-01,7.334709
1962-07-01,7.9706388
1962-08-01,6.406434
1962-09-01,5.692348
1962-10-01,5.161479
1962-11-01,6.682731
1962-12-01,11.036128
1963-01-01,13.482965
1963-02-01,14.86583
1963-03-01,15.869588
1963-04-01,13.293423
1963-05-01,11.561089
1963-06-01,10.112606
1963-07-01,7.9100504
1963-08-01,7.7939777
1963-09-01,7.1237907
