,et0_mm_day
1950-01-01,8.684881
1950-02-01,10.76968
1950-03-01,10.808684
1950-04-01,13.67666
1950-05-01,12.109245
1950-06-01,10.660595
1950-07-01,4.680723
1950-08-01,6.18661
1950-09-01,6.5416408
1950-10-01,7.7132344
1950-11-01,9.567558
1950-12-01,10.381616
1951-01-01,10.947081
1951-02-01,10.134891
1951-03-01,13.800157
1951-04-01,13.67666
1951-05-01,12.109245
1951-06-01,10.660595
1951-07-01,4.590109
1951-08-01,4.6125426
1951-09-01,6.5765276
1951-10-01,7.7639923
1951-11-01,9.567558
1951-12-01,10.381616
1952-01-01,11.220889
1952-02-01,12.336575
1952-03-01,13.800157
1952-04-01,13.67666
1952-05-01,12.109245
1952-06-01,10.751681
1952-07-01,5.0241947
1952-08-01,6.242003
1952-09-01,6.593499
1952-10-01,7.7639923
1952-11-01,9.567558
1952-12-01,10.381616
1953-01-01,10.947081
1953-02-01,12.336575
1953-03-01,10.718688
1953-04-01,13.967863
1953-05-01,12.109245
1953-06-01,10.660595
1953-07-01,4.6997666
1953-08-01,4.670292
1953-09-01,4.9065948
1953-10-01,4.6783834
1953-11-01,9.967949
1953-12-01,10.822675
1954-01-01,9.467393
1954-02-01,11.218697
1954-03-01,12.646772
1954-04-01,12.285731
1954-05-01,10.725014
1954-06-01,8.136556
1954-07-01,5.710766
1954-08-01,4.6038775
1954-09-01,5.4546967
1954-10-01,6.565489
1954-11-01,9.022824
1954-12-01,9.996549
1955-01-01,10.317818
1955-02-01,11.691183
1955-03-01,13.387963
1955-04-01,13.308294
1955-05-01,10.482766
1955-06-01,7.9640374
1955-07-01,6.933391
1955-08-01,6.1786847
1955-09-01,5.5236297
1955-10-01,6.574195
1955-11-01,8.072697
1955-12-01,10.494463
1956-01-01,10.76857
1956-02-01,12.073841
1956-03-01,13.981313
1956-04-01,13.303891
1956-05-01,11.22751
1956-06-01,9.363927
1956-07-01,6.457746
1956-08-01,5.163759
1956-09-01,5.5275707
1956-10-01,6.335709
1956-11-01,8.490875
1956-12-01,9.778879
1957-01-01,10.98872
1957-02-01,11.675477
1957-03-01,12.681484
1957-04-01,14.64656
1957-05-01,10.063767
1957-06-01,8.785255
1957-07-01,6.8178625
1957-08-01,6.0932784
1957-09-01,6.511301
1957-10-01,7.8906045
1957-11-01,9.353086
