,et0_mm_day
1950-01-01,4.0457697
1950-02-01,4.5722275
1950-03-01,4.3412223
1950-04-01,4.133232
1950-05-01,5.075872
1950-06-01,5.277097
1950-07-01,5.31099
1950-08-01,4.6936126
1950-09-01,4.2887554
1950-10-01,4.1212587
1950-11-01,3.6398916
1950-12-01,3.3752992
1951-01-01,3.6914423
1951-02-01,3.9658995
1951-03-01,3.9085672
1951-04-01,4.046403
1951-05-01,4.8610716
1951-06-01,5.5855885
1951-07-01,5.5338144
1951-08-01,5.1226764
1951-09-01,4.734017
1951-10-01,4.4753923
1951-11-01,3.6118774
1951-12-01,3.5804212
1952-01-01,3.4385622
1952-02-01,4.1032286
1952-03-01,4.144266
1952-04-01,3.9252005
1952-05-01,4.251711
1952-06-01,5.9231296
1952-07-01,5.8159156
1952-08-01,4.365288
1952-09-01,4.7886
1952-10-01,4.487708
1952-11-01,3.8018823
1952-12-01,3.3497958
1953-01-01,3.2188594
1953-02-01,3.1598063
1953-03-01,3.2910333
1953-04-01,3.3782794
1953-05-01,4.0205045
1953-06-01,4.07289
1953-07-01,5.3426995
1953-08-01,3.7646441
1953-09-01,4.283957
1953-10-01,4.0871277
1953-11-01,3.2740607
1953-12-01,3.2174587
1954-01-01,3.5976768
1954-02-01,4.2041836
1954-03-01,4.226968
1954-04-01,4.04156
1954-05-01,3.7795975
1954-06-01,4.7413707
1954-07-01,3.997773
1954-08-01,4.419401
1954-09-01,3.8710685
1954-10-01,3.9986
1954-11-01,4.310772
1954-12-01,3.9730594
1955-01-01,4.096046
1955-02-01,4.0687246
1955-03-01,4.339084
1955-04-01,4.2819457
1955-05-01,5.0585566
1955-06-01,4.9652605
1955-07-01,4.288286
1955-08-01,3.7006214
1955-09-01,3.7483275
1955-10-01,3.6573448
1955-11-01,3.6834478
1955-12-01,4.0107965
1956-01-01,3.846474
1956-02-01,4.3794775
1956-03-01,4.5132933
1956-04-01,4.191436
1956-05-01,3.889337
1956-06-01,4.1091366
1956-07-01,4.0665193
1956-08-01,3.8933382
1956-09-01,3.8542376
1956-10-01,3.6405883
1956-11-01,3.6805942
1956-12-01,3.6556869
1957-01-01,4.1956306
1957-02-01,4.544519
1957-03-01,3.6123543
1957-04-01,3.6476738
1957-05-01,4.024021
1957-06-01,4.4674726
1957-07-01,4.924573
1957-08-01,4.5112967
1957-09-01,4.920937
1957-10-01,4.2805448
1957-11-01,4.0582047
1957-12-01,3.715165
1958-01-01,4.1352735
1958-02-01,4.715547
1958-03-01,4.9076376
1958-04-01,4.5192537
1958-05-01,4.553281
1958-06-01,4.380189
1958-07-01,4.0800424
1958-08-01,4.0031447
1958-09-01,4.1936784
1958-10-01,4.4430046
1958-11-01,4.2589383
1958-12-01,3.90587
1959-01-01,3.9169564
1959-02-01,4.378766
1959-03-01,4.697077
1959-04-01,4.537173
1959-05-01,3.5821424
1959-06-01,4.4581814
1959-07-01,5.0429554
1959-08-01,4.4558945
1959-09-01,4.0580034
1959-10-01,4.0949135
1959-11-01,4.0391536
1959-12-01,3.7869737
1960-01-01,4.012272
1960-02-01,4.44819
1960-03-01,4.4173226
1960-04-01,4.224241
1960-05-01,4.367031
1960-06-01,5.417466
1960-07-01,5.5011735
1960-08-01,3.8514585
1960-09-01,4.327349
1960-10-01,4.3999033
1960-11-01,3.7341714
1960-12-01,4.4069886
1961-01-01,4.9451814
1961-02-01,4.621893
1961-03-01,4.4091344
1961-04-01,4.132662
1961-05-01,4.024021
1961-06-01,4.1484685
1961-07-01,4.1946096
1961-08-01,3.8572774
1961-09-01,4.465528
1961-10-01,3.9970427
