date,et0_mm_day,kc,water_m3_day
1950-01-01,4.3905525,0.9,987874.3125
1950-01-02,4.3905525,0.9,987874.3125
1950-01-03,4.3905525,0.9,987874.3125
1950-01-04,4.3905525,0.9,987874.3125
1950-01-05,4.3905525,0.9,987874.3125
1950-01-06,4.3905525,0.9,987874.3125
1950-01-07,4.3905525,0.9,987874.3125
1950-01-08,4.3905525,0.9,987874.3125
1950-01-09,4.3905525,0.9,987874.3125
1950-01-10,4.3905525,0.9,987874.3125
1950-01-11,4.3905525,0.9,987874.3125
1950-01-12,4.3905525,0.9,987874.3125
1950-01-13,4.3905525,0.9,987874.3125
1950-01-14,4.3905525,0.9,987874.3125
1950-01-15,4.3905525,0.9,987874.3125
1950-01-16,4.4118161359094,0.9,992658.630579615
1950-01-17,4.434041879909847,0.9,997659.4229797156
1950-01-18,4.457209022885541,0.9,1002872.0301492468
1950-01-19,4.48129685572068,0.9,1008291.7925371529
1950-01-20,4.50628466929946,0.9,1013914.0505923784
1950-01-21,4.532151754506082,0.9,1019734.1447638685
1950-01-22,4.558877402224744,0.9,1025747.4155005674
1950-01-23,4.586440903339643,0.9,1031949.2032514198
1950-01-24,4.614821548734978,0.9,1038334.8484653701
1950-01-25,4.643998629294947,0.9,1044899.691591363
1950-01-26,4.673951435903748,0.9,1051639.0730783434
1950-01-27,4.704659259445581,0.9,1058548.3333752556
1950-01-28,4.7361013908046425,0.9,1065622.8129310445
1950-01-29,4.768257120865131,0.9,1072857.8521946545
1950-01-30,4.801105740511247,0.9,1080248.7916150305
1950-01-31,4.834626540627186,0.9,1087790.971641117
1950-02-01,4.868798812097148,0.9,1095479.7327218582
1950-02-02,4.903601845805328,0.9,1103310.4153061989
1950-02-03,4.93901493263593,0.9,1111278.3598430841
1950-02-04,4.975017363473149,0.9,1119378.9067814585
1950-02-05,5.011588429201182,0.9,1127607.396570266
1950-02-06,5.048707420704229,0.9,1135959.1696584516
1950-02-07,5.086353628866489,0.9,1144429.5664949599
1950-02-08,5.124506344572159,0.9,1153013.9275287357
1950-02-09,5.163144858705438,0.9,1161707.5932087237
1950-02-10,5.202248462150523,0.9,1170505.9039838677
1950-02-11,5.241796445791615,0.9,1179404.2003031133
1950-02-12,5.28176810051291,0.9,1188397.8226154046
1950-02-13,5.322142717198607,0.9,1197482.1113696867
1950-02-14,5.362899586732904,0.9,1206652.4070149034
