date,et0_mm_day,kc,water_m3_day
1950-01-01,8.684881,0.9,898885.1835000002
1950-01-02,8.684881,0.9,898885.1835000002
1950-01-03,8.684881,0.9,898885.1835000002
1950-01-04,8.684881,0.9,898885.1835000002
1950-01-05,8.684881,0.9,898885.1835000002
1950-01-06,8.684881,0.9,898885.1835000002
1950-01-07,8.684881,0.9,898885.1835000002
1950-01-08,8.684881,0.9,898885.1835000002
1950-01-09,8.684881,0.9,898885.1835000002
1950-01-10,8.684881,0.9,898885.1835000002
1950-01-11,8.684881,0.9,898885.1835000002
1950-01-12,8.684881,0.9,898885.1835000002
1950-01-13,8.684881,0.9,898885.1835000002
1950-01-14,8.684881,0.9,898885.1835000002
1950-01-15,8.684881,0.9,898885.1835000002
1950-01-16,8.786555336781989,0.9,909408.4773569359
1950-01-17,8.887743151503802,0.9,919881.4161806435
1950-01-18,8.988257375715548,0.9,930284.6383865592
1950-01-19,9.087910940967339,0.9,940598.7823901196
1950-01-20,9.186516778809283,0.9,950804.4866067608
1950-01-21,9.283887820791486,0.9,960882.3894519189
1950-01-22,9.379836998464063,0.9,970813.1293410306
1950-01-23,9.474177243377113,0.9,980577.3446895313
1950-01-24,9.566721487080757,0.9,990155.6739128584
1950-01-25,9.657282661125095,0.9,999528.7554264475
1950-01-26,9.74567369706024,0.9,1008677.2276457349
1950-01-27,9.831707526436297,0.9,1017581.7289861569
1950-01-28,9.915197080803381,0.9,1026222.8978631499
1950-01-29,9.995955291711594,0.9,1034581.37269215
1950-01-30,10.07379509071105,0.9,1042637.7918885936
1950-01-31,10.148529409351855,0.9,1050372.793867917
1950-02-01,10.219971179184123,0.9,1057767.0170455568
1950-02-02,10.287933331757953,0.9,1064801.099836948
1950-02-03,10.352228798623463,0.9,1071455.6806575286
1950-02-04,10.412670511330758,0.9,1077711.3979227333
1950-02-05,10.469071401429948,0.9,1083548.8900479996
1950-02-06,10.521244400471142,0.9,1088948.795448763
1950-02-07,10.569002440004448,0.9,1093891.7525404603
1950-02-08,10.612158451579973,0.9,1098358.3997385271
1950-02-09,10.65052536674783,0.9,1102329.3754584005
1950-02-10,10.683916117058127,0.9,1105785.318115516
1950-02-11,10.71214363406097,0.9,1108706.8661253103
1950-02-12,10.73502084930647,0.9,1111074.6579032196
1950-02-13,10.752360694344736,0.9,1112869.3318646802
1950-02-14,10.763976100725877,0.9,1114071.526425128
1950-02-15,10.76968,0.9,1114661.8800000001
1950-02-16,10.772230075847943,0.9,1114925.8128502623
1950-02-17,10.774521989830712,0.9,1115163.0259474786
1950-02-18,10.776575640318661,0.9,1115375.5787729817
1950-02-19,10.778410925682154,0.9,1115565.530808103
1950-02-20,10.780047744291544,0.9,1115734.9415341748
1950-02-21,10.781505994517193,0.9,1115885.8704325294
1950-02-22,10.782805574729455,0.9,1116020.3769844985
1950-02-23,10.783966383298694,0.9,1116140.520671415
1950-02-24,10.785008318595267,0.9,1116248.36097461
1950-02-25,10.785951278989529,0.9,1116345.9573754165
1950-02-26,10.78681516285184,0.9,1116435.3693551656
1950-02-27,10.787619868552559,0.9,1116518.65639519
1950-02-28,10.788385294462046,0.9,1116597.877976822
1950-03-01,10.789131338950657,0.85,1054637.5883824266
1950-03-02,10.78987790038875,0.85,1054710.5647630005
1950-03-03,10.790644877146685,0.85,1054785.5367410884
1950-03-04,10.791452167594821,0.85,1054864.4493823939
1950-03-05,10.792319670103515,0.85,1054949.2477526185
1950-03-06,10.793267283043125,0.85,1055041.8769174654
1950-03-07,10.79431490478401,0.85,1055144.281942637
1950-03-08,10.79548243369653,0.85,1055258.4078938356
1950-03-09,10.796789768151038,0.85,1055386.199836764
1950-03-10,10.7982568065179,0.85,1055529.6028371246
1950-03-11,10.799903447167468,0.85,1055690.5619606199
1950-03-12,10.801749588470104,0.85,1055871.0222729526
1950-03-13,10.803815128796167,0.85,1056072.9288398253
1950-03-14,10.806119966516011,0.85,1056298.2267269401
1950-03-15,10.808684,0.85,1056548.861
1950-03-16,10.819973422508724,0.85,1057652.4020502279
1950-03-17,10.847682242074164,0.85,1060360.9391627493
1950-03-18,10.890672079223767,0.85,1064563.195744123
1950-03-19,10.947804554484973,0.85,1070147.8952009059
1950-03-20,11.017941288385227,0.85,1077003.760939656
1950-03-21,11.099943901451972,0.85,1085019.5163669302
1950-03-22,11.192674014212649,0.85,1094083.8848892865
1950-03-23,11.2949932471947,0.85,1104085.5899132818
1950-03-24,11.40576322092557,0.85,1114913.3548454742
1950-03-25,11.5238455559327,0.85,1126455.9030924214
1950-03-26,11.648101872743537,0.85,1138601.9580606807
1950-03-27,11.777393791885517,0.85,1151240.2431568094
1950-03-28,11.910582933886088,0.85,1164259.4817873652
1950-03-29,12.046530919272692,0.85,1177548.3973589055
1950-03-30,12.18409936857277,0.85,1190995.7132779881
1950-03-31,12.322149902313766,0.85,1204490.1529511707
1950-04-01,12.459544141023127,0.8,1146278.0609741276
1950-04-02,12.595143705228288,0.8,1158753.2208810025
1950-04-03,12.727810215456694,0.8,1170958.539822016
1950-04-04,12.856405292235792,0.8,1182789.286885693
1950-04-05,12.979790556093022,0.8,1194140.731160558
1950-04-06,13.096827627555824,0.8,1204908.141735136
1950-04-07,13.206378127151646,0.8,1214986.7876979515
1950-04-08,13.307303675407931,0.8,1224271.9381375299
1950-04-09,13.398465892852114,0.8,1232658.8621423945
1950-04-10,13.478726400011649,0.8,1240042.8288010717
1950-04-11,13.546946817413968,0.8,1246319.1072020852
1950-04-12,13.60198876558652,0.8,1251382.96643396
1950-04-13,13.642713865056749,0.8,1255129.675585221
1950-04-14,13.667983736352095,0.8,1257454.5037443927
1950-04-15,13.67666,0.8,1258252.72
1950-04-16,13.674284028719493,0.8,1258034.1306421936
1950-04-17,13.667243618196357,0.8,1257386.412874065
1950-04-18,13.655670023408168,0.8,1256321.6421535516
1950-04-19,13.639694499332501,0.8,1254851.8939385903
1950-04-20,13.619448300946933,0.8,1252989.243687118
1950-04-21,13.59506268322904,0.8,1250745.7668570718
1950-04-22,13.5666689011564,0.8,1248133.538906389
1950-04-23,13.534398209706586,0.8,1245164.635293006
1950-04-24,13.498381863857174,0.8,1241851.1314748602
1950-04-25,13.458751118585743,0.8,1238205.1029098884
1950-04-26,13.415637228869867,0.8,1234238.625056028
1950-04-27,13.369171449687123,0.8,1229963.7733712152
1950-04-28,13.319485036015086,0.8,1225392.6233133879
1950-04-29,13.266709242831332,0.8,1220537.2503404827
1950-04-30,13.210975325113441,0.8,1215409.7299104368
1950-05-01,13.152414537838984,0.75,1134395.7538886121
1950-05-02,13.09115813598554,0.75,1129112.3892287528
1950-05-03,13.027337374530683,0.75,1123607.8485532715
1950-05-04,12.961083508451992,0.75,1117893.4526039844
1950-05-05,12.89252779272704,0.75,1111980.5221227072
1950-05-06,12.821801482333406,0.75,1105880.3778512564
1950-05-07,12.749035832248664,0.75,1099604.3405314472
1950-05-08,12.674362097450391,0.75,1093163.7309050963
1950-05-09,12.597911532916163,0.75,1086569.869714019
1950-05-10,12.519815393623555,0.75,1079834.0777000317
1950-05-11,12.440204934550145,0.75,1072967.6756049502
1950-05-12,12.359211410673508,0.75,1065981.98417059
1950-05-13,12.276966076971222,0.75,1058888.324138768
1950-05-14,12.19360018842086,0.75,1051698.016251299
1950-05-15,12.109245,0.75,1044422.3812499999
1950-05-16,12.00875519910472,0.75,1035755.1359227821
1950-05-17,11.878368007597274,0.75,1024509.2406552649
1950-05-18,11.720288482154507,0.75,1010874.881585826
1950-05-19,11.53672167945326,0.75,995042.2448528437
1950-05-20,11.329872656170382,0.75,977201.5165946955
1950-05-21,11.10194646898271,0.75,957542.8829497588
1950-05-22,10.85514817456709,0.75,936256.5300564114
1950-05-23,10.591682829600364,0.75,913532.6440530312
1950-05-24,10.313755490759377,0.75,889561.4110779963
1950-05-25,10.02357121472097,0.75,864533.0172696838
1950-05-26,9.723335058161988,0.75,838637.6487664715
1950-05-27,9.415252077759272,0.75,812065.4917067372
1950-05-28,9.101527330189668,0.75,785006.7322288589
1950-05-29,8.784365872130019,0.75,757651.5564712143
1950-05-30,8.465972760257166,0.75,730190.1505721806
1950-05-31,8.148553051247953,0.75,702812.700670136
1950-06-01,7.834311801779226,0.75,675709.3929034582
1950-06-02,7.525454068527823,0.75,649070.4134105248
1950-06-03,7.224184908170591,0.75,623085.9483297134
1950-06-04,6.932709377384372,0.75,597946.1837994022
1950-06-05,6.65323253284601,0.75,573841.3059579683
1950-06-06,6.387959431232347,0.75,550961.50094379
1950-06-07,6.1390951292202285,0.75,529496.9548952447
1950-06-08,5.908844683486493,0.75,509637.85395071004
1950-06-09,5.69941315070799,0.75,491574.3842485642
1950-06-10,5.513005587561557,0.75,475496.7319271843
1950-06-11,5.351827050724043,0.75,461595.0831249486
1950-06-12,5.218082596872286,0.75,450059.62398023467
1950-06-13,5.1139772826831305,0.75,441080.54063142004
1950-06-14,5.041716164833419,0.75,434848.0192168824
1950-06-15,5.0035043,0.75,431552.2458750001
1950-06-16,4.983733481375711,0.75,429847.01276865497
1950-06-17,4.96527604284472,0.75,428255.0586953571
1950-06-18,4.948057852120855,0.75,426769.9897454238
1950-06-19,4.932004776917945,0.75,425385.4120091727
1950-06-20,4.917042684949821,0.75,424094.93157692207
1950-06-21,4.903097443930307,0.75,422892.154538989
1950-06-22,4.890094921573235,0.75,421770.6869856915
1950-06-23,4.877960985592433,0.75,420724.13500734733
1950-06-24,4.866621503701729,0.75,419746.104694274
1950-06-25,4.856002343614951,0.75,418830.20213678956
1950-06-26,4.846029373045928,0.75,417970.0334252113
1950-06-27,4.83662845970849,0.75,417159.20464985736
1950-06-28,4.827725471316463,0.75,416391.321901045
1950-06-29,4.819246275583679,0.75,415659.9912690923
1950-06-30,4.811116740223962,0.75,414958.8188443167
1950-07-01,4.803262732951145,0.78,430852.6671457178
1950-07-02,4.795610121479054,0.78,430166.2278966712
1950-07-03,4.788084773521518,0.78,429491.2041848802
1950-07-04,4.7806125567923665,0.78,428820.94634427526
1950-07-05,4.7731193390054285,0.78,428148.80470878695
1950-07-06,4.76553098787453,0.78,427468.12961234536
1950-07-07,4.7577733711135,0.78,426772.27138888097
1950-07-08,4.74977235643617,0.78,426054.5803723245
1950-07-09,4.741453811556366,0.78,425308.40689660603
1950-07-10,4.732743604187916,0.78,424527.10129565606
1950-07-11,4.7235676020446515,0.78,423704.0139034053
1950-07-12,4.7138516728403985,0.78,422832.49505378376
1950-07-13,4.703521684288987,0.78,421905.8950807221
1950-07-14,4.692503504104245,0.78,420917.5643181508
1950-07-15,4.680723,0.78,419860.85310000007
1950-07-16,4.668004950828533,0.78,418720.0440893194
1950-07-17,4.654286330272589,0.78,417489.4838254512
1950-07-18,4.639661298291702,0.78,416177.61845676566
1950-07-19,4.624224014845403,0.78,414792.8941316327
1950-07-20,4.608068639893224,0.78,413343.7569984222
1950-07-21,4.591289333394698,0.78,411838.65320550447
