date,price_eur_kwh
2024-01-01,0.067435
2024-01-02,0.067469
2024-01-03,0.067501
2024-01-04,0.067530
2024-01-05,0.067557
2024-01-06,0.067581
2024-01-07,0.067604
2024-01-08,0.067624
2024-01-09,0.067642
2024-01-10,0.067658
2024-01-11,0.067672
2024-01-12,0.067683
2024-01-13,0.067692
2024-01-14,0.067699
2024-01-15,0.067703
2024-01-16,0.067706
2024-01-17,0.067706
2024-01-18,0.067704
2024-01-19,0.067699
2024-01-20,0.067693
2024-01-21,0.067684
2024-01-22,0.067673
2024-01-23,0.067660
2024-01-24,0.067645
2024-01-25,0.067627
2024-01-26,0.067608
2024-01-27,0.067586
2024-01-28,0.067562
2024-01-29,0.067536
2024-01-30,0.067508
2024-01-31,0.067478
2024-02-01,0.067446
2024-02-02,0.067411
2024-02-03,0.067375
2024-02-04,0.067336
2024-02-05,0.067296
2024-02-06,0.067253
2024-02-07,0.067209
2024-02-08,0.067162
2024-02-09,0.067114
2024-02-10,0.067064
2024-02-11,0.067011
2024-02-12,0.066957
2024-02-13,0.066901
2024-02-14,0.066843
2024-02-15,0.066783
2024-02-16,0.066721
2024-02-17,0.066658
2024-02-18,0.066592
2024-02-19,0.066525
2024-02-20,0.066456
2024-02-21,0.066386
2024-02-22,0.066313
2024-02-23,0.066239
2024-02-24,0.066164
2024-02-25,0.066086
2024-02-26,0.066007
2024-02-27,0.065926
2024-02-28,0.065844
2024-02-29,0.065760
2024-03-01,0.065675
2024-03-02,0.065588
2024-03-03,0.065500
2024-03-04,0.065410
2024-03-05,0.065318
2024-03-06,0.065226
2024-03-07,0.065131
2024-03-08,0.065036
2024-03-09,0.064939
2024-03-10,0.064841
2024-03-11,0.064741
2024-03-12,0.064640
2024-03-13,0.064538
2024-03-14,0.064434
2024-03-15,0.064330
2024-03-16,0.064224
2024-03-17,0.064117
2024-03-18,0.064009
2024-03-19,0.063900
2024-03-20,0.063790
2024-03-21,0.063678
2024-03-22,0.063566
2024-03-23,0.063453
2024-03-24,0.063339
2024-03-25,0.063223
2024-03-26,0.063107
2024-03-27,0.062990
2024-03-28,0.062873
2024-03-29,0.062754
2024-03-30,0.062635
2024-03-31,0.062515
2024-04-01,0.062394
2024-04-02,0.062272
2024-04-03,0.062150
2024-04-04,0.062027
2024-04-05,0.061904
2024-04-06,0.061780
2024-04-07,0.061656
2024-04-08,0.061531
2024-04-09,0.061405
2024-04-10,0.061279
2024-04-11,0.061153
2024-04-12,0.061027
2024-04-13,0.060900
2024-04-14,0.060773
2024-04-15,0.060645
2024-04-16,0.060518
2024-04-17,0.060390
2024-04-18,0.060262
2024-04-19,0.060134
2024-04-20,0.060006
2024-04-21,0.059878
2024-04-22,0.059750
2024-04-23,0.059622
2024-04-24,0.059494
2024-04-25,0.059367
2024-04-26,0.059239
2024-04-27,0.059112
2024-04-28,0.058984
2024-04-29,0.058858
2024-04-30,0.058731
2024-05-01,0.058605
2024-05-02,0.058479
2024-05-03,0.058354
2024-05-04,0.058229
2024-05-05,0.058105
2024-05-06,0.057981
2024-05-07,0.057858
2024-05-08,0.057735
2024-05-09,0.057613
2024-05-10,0.057492
2024-05-11,0.057372
2024-05-12,0.057252
2024-05-13,0.057133
2024-05-14,0.057016
2024-05-15,0.056899
2024-05-16,0.056783
2024-05-17,0.056668
2024-05-18,0.056554
2024-05-19,0.056441
2024-05-20,0.056329
2024-05-21,0.056219
2024-05-22,0.056109
2024-05-23,0.056001
2024-05-24,0.055894
2024-05-25,0.055788
2024-05-26,0.055684
2024-05-27,0.055581
2024-05-28,0.055480
2024-05-29,0.055380
2024-05-30,0.055281
2024-05-31,0.055184
2024-06-01,0.055089
2024-06-02,0.054995
2024-06-03,0.054902
2024-06-04,0.054812
2024-06-05,0.054723
2024-06-06,0.054635
2024-06-07,0.054550
2024-06-08,0.054466
2024-06-09,0.054384
2024-06-10,0.054304
2024-06-11,0.054226
2024-06-12,0.054149
2024-06-13,0.054075
2024-06-14,0.054002
2024-06-15,0.053932
2024-06-16,0.053863
2024-06-17,0.053796
2024-06-18,0.053732
2024-06-19,0.053669
2024-06-20,0.053608
2024-06-21,0.053550
2024-06-22,0.053493
2024-06-23,0.053439
2024-06-24,0.053387
2024-06-25,0.053337
2024-06-26,0.053289
2024-06-27,0.053243
2024-06-28,0.053200
2024-06-29,0.053158
2024-06-30,0.053119
2024-07-01,0.053082
2024-07-02,0.053047
2024-07-03,0.053015
2024-07-04,0.052985
2024-07-05,0.052956
2024-07-06,0.052931
2024-07-07,0.052907
2024-07-08,0.052886
2024-07-09,0.052866
2024-07-10,0.052850
2024-07-11,0.052835
2024-07-12,0.052823
2024-07-13,0.052812
2024-07-14,0.052804
2024-07-15,0.052799
2024-07-16,0.052795
2024-07-17,0.052794
2024-07-18,0.052795
2024-07-19,0.052798
2024-07-20,0.052804
2024-07-21,0.052811
2024-07-22,0.052821
2024-07-23,0.052833
2024-07-24,0.052847
2024-07-25,0.052864
2024-07-26,0.052882
2024-07-27,0.052903
2024-07-28,0.052926
2024-07-29,0.052951
2024-07-30,0.052978
2024-07-31,0.053007
2024-08-01,0.053038
2024-08-02,0.053071
2024-08-03,0.053107
2024-08-04,0.053144
2024-08-05,0.053184
2024-08-06,0.053225
2024-08-07,0.053269
2024-08-08,0.053314
2024-08-09,0.053362
2024-08-10,0.053411
2024-08-11,0.053462
2024-08-12,0.053516
2024-08-13,0.053571
2024-08-14,0.053628
2024-08-15,0.053687
2024-08-16,0.053748
2024-08-17,0.053810
2024-08-18,0.053875
2024-08-19,0.053941
2024-08-20,0.054009
2024-08-21,0.054079
2024-08-22,0.054150
2024-08-23,0.054223
2024-08-24,0.054298
2024-08-25,0.054375
2024-08-26,0.054453
2024-08-27,0.054533
2024-08-28,0.054614
2024-08-29,0.054698
2024-08-30,0.054782
2024-08-31,0.054868
2024-09-01,0.054956
2024-09-02,0.055045
2024-09-03,0.055136
2024-09-04,0.055228
2024-09-05,0.055321
2024-09-06,0.055416
2024-09-07,0.055513
2024-09-08,0.055610
2024-09-09,0.055709
2024-09-10,0.055809
2024-09-11,0.055911
