date,price_eur_kwh
2024-01-01,0.066481
2024-01-02,0.066519
2024-01-03,0.066554
2024-01-04,0.066588
2024-01-05,0.066620
2024-01-06,0.066650
2024-01-07,0.066677
2024-01-08,0.066703
2024-01-09,0.066727
2024-01-10,0.066749
2024-01-11,0.066770
2024-01-12,0.066788
2024-01-13,0.066804
2024-01-14,0.066818
2024-01-15,0.066830
2024-01-16,0.066841
2024-01-17,0.066849
2024-01-18,0.066855
2024-01-19,0.066860
2024-01-20,0.066862
2024-01-21,0.066863
2024-01-22,0.066861
2024-01-23,0.066858
2024-01-24,0.066853
2024-01-25,0.066845
2024-01-26,0.066836
2024-01-27,0.066825
2024-01-28,0.066812
2024-01-29,0.066797
2024-01-30,0.066780
2024-01-31,0.066761
2024-02-01,0.066740
2024-02-02,0.066718
2024-02-03,0.066693
2024-02-04,0.066667
2024-02-05,0.066639
2024-02-06,0.066609
2024-02-07,0.066577
2024-02-08,0.066543
2024-02-09,0.066507
2024-02-10,0.066470
2024-02-11,0.066431
2024-02-12,0.066390
2024-02-13,0.066347
2024-02-14,0.066303
2024-02-15,0.066257
2024-02-16,0.066209
2024-02-17,0.066159
2024-02-18,0.066108
2024-02-19,0.066055
2024-02-20,0.066000
2024-02-21,0.065944
2024-02-22,0.065886
2024-02-23,0.065827
2024-02-24,0.065765
2024-02-25,0.065703
2024-02-26,0.065638
2024-02-27,0.065573
2024-02-28,0.065505
2024-02-29,0.065436
2024-03-01,0.065366
2024-03-02,0.065294
2024-03-03,0.065221
2024-03-04,0.065146
2024-03-05,0.065070
2024-03-06,0.064993
2024-03-07,0.064914
2024-03-08,0.064834
2024-03-09,0.064752
2024-03-10,0.064669
2024-03-11,0.064585
2024-03-12,0.064500
2024-03-13,0.064413
2024-03-14,0.064325
2024-03-15,0.064236
2024-03-16,0.064146
2024-03-17,0.064055
2024-03-18,0.063962
2024-03-19,0.063869
2024-03-20,0.063774
2024-03-21,0.063678
2024-03-22,0.063582
2024-03-23,0.063484
2024-03-24,0.063385
2024-03-25,0.063286
2024-03-26,0.063185
2024-03-27,0.063084
2024-03-28,0.062982
2024-03-29,0.062879
2024-03-30,0.062775
2024-03-31,0.062670
2024-04-01,0.062565
2024-04-02,0.062459
2024-04-03,0.062352
2024-04-04,0.062245
2024-04-05,0.062137
2024-04-06,0.062028
2024-04-07,0.061919
2024-04-08,0.061809
2024-04-09,0.061699
2024-04-10,0.061588
2024-04-11,0.061477
2024-04-12,0.061366
2024-04-13,0.061254
2024-04-14,0.061141
2024-04-15,0.061029
2024-04-16,0.060916
2024-04-17,0.060803
2024-04-18,0.060690
2024-04-19,0.060576
2024-04-20,0.060462
2024-04-21,0.060348
2024-04-22,0.060235
2024-04-23,0.060121
2024-04-24,0.060007
2024-04-25,0.059893
2024-04-26,0.059779
2024-04-27,0.059665
2024-04-28,0.059551
2024-04-29,0.059438
2024-04-30,0.059324
2024-05-01,0.059211
2024-05-02,0.059098
2024-05-03,0.058986
2024-05-04,0.058874
2024-05-05,0.058762
2024-05-06,0.058650
2024-05-07,0.058539
2024-05-08,0.058429
2024-05-09,0.058318
2024-05-10,0.058209
2024-05-11,0.058100
2024-05-12,0.057992
2024-05-13,0.057884
2024-05-14,0.057777
2024-05-15,0.057670
2024-05-16,0.057565
2024-05-17,0.057460
2024-05-18,0.057356
2024-05-19,0.057253
2024-05-20,0.057150
2024-05-21,0.057049
2024-05-22,0.056949
2024-05-23,0.056849
2024-05-24,0.056751
2024-05-25,0.056653
2024-05-26,0.056557
2024-05-27,0.056462
2024-05-28,0.056368
2024-05-29,0.056275
2024-05-30,0.056183
2024-05-31,0.056093
2024-06-01,0.056003
2024-06-02,0.055915
2024-06-03,0.055829
2024-06-04,0.055744
2024-06-05,0.055660
2024-06-06,0.055577
2024-06-07,0.055496
2024-06-08,0.055417
2024-06-09,0.055338
2024-06-10,0.055262
2024-06-11,0.055187
2024-06-12,0.055113
2024-06-13,0.055041
2024-06-14,0.054971
2024-06-15,0.054902
2024-06-16,0.054835
2024-06-17,0.054770
2024-06-18,0.054706
2024-06-19,0.054644
2024-06-20,0.054584
2024-06-21,0.054525
2024-06-22,0.054468
2024-06-23,0.054413
2024-06-24,0.054360
2024-06-25,0.054308
2024-06-26,0.054259
2024-06-27,0.054211
2024-06-28,0.054165
2024-06-29,0.054121
2024-06-30,0.054079
2024-07-01,0.054038
2024-07-02,0.054000
2024-07-03,0.053963
2024-07-04,0.053929
2024-07-05,0.053896
2024-07-06,0.053865
2024-07-07,0.053836
2024-07-08,0.053809
2024-07-09,0.053784
2024-07-10,0.053761
2024-07-11,0.053740
2024-07-12,0.053721
2024-07-13,0.053704
2024-07-14,0.053689
2024-07-15,0.053675
2024-07-16,0.053664
2024-07-17,0.053655
2024-07-18,0.053648
2024-07-19,0.053642
2024-07-20,0.053639
2024-07-21,0.053637
2024-07-22,0.053638
2024-07-23,0.053640
2024-07-24,0.053644
2024-07-25,0.053651
2024-07-26,0.053659
2024-07-27,0.053669
2024-07-28,0.053681
2024-07-29,0.053695
2024-07-30,0.053711
2024-07-31,0.053729
2024-08-01,0.053749
2024-08-02,0.053771
2024-08-03,0.053794
2024-08-04,0.053820
2024-08-05,0.053847
2024-08-06,0.053876
2024-08-07,0.053907
2024-08-08,0.053940
2024-08-09,0.053975
2024-08-10,0.054011
2024-08-11,0.054049
2024-08-12,0.054089
2024-08-13,0.054131
2024-08-14,0.054175
2024-08-15,0.054220
2024-08-16,0.054267
2024-08-17,0.054316
2024-08-18,0.054366
2024-08-19,0.054418
2024-08-20,0.054472
2024-08-21,0.054528
