date,price_eur_kwh
2024-01-01,0.071181
2024-01-02,0.071310
2024-01-03,0.071435
2024-01-04,0.071556
2024-01-05,0.071672
2024-01-06,0.071784
2024-01-07,0.071891
2024-01-08,0.071994
2024-01-09,0.072093
2024-01-10,0.072186
2024-01-11,0.072276
2024-01-12,0.072360
2024-01-13,0.072440
2024-01-14,0.072515
2024-01-15,0.072586
2024-01-16,0.072652
2024-01-17,0.072713
2024-01-18,0.072770
2024-01-19,0.072821
2024-01-20,0.072868
2024-01-21,0.072910
2024-01-22,0.072948
2024-01-23,0.072980
2024-01-24,0.073008
2024-01-25,0.073031
2024-01-26,0.073049
2024-01-27,0.073063
2024-01-28,0.073071
2024-01-29,0.073075
2024-01-30,0.073074
2024-01-31,0.073068
2024-02-01,0.073057
2024-02-02,0.073041
2024-02-03,0.073021
2024-02-04,0.072996
2024-02-05,0.072966
2024-02-06,0.072931
2024-02-07,0.072891
2024-02-08,0.072847
2024-02-09,0.072798
2024-02-10,0.072744
2024-02-11,0.072685
2024-02-12,0.072622
2024-02-13,0.072554
2024-02-14,0.072481
2024-02-15,0.072404
2024-02-16,0.072322
2024-02-17,0.072235
2024-02-18,0.072144
2024-02-19,0.072049
2024-02-20,0.071948
2024-02-21,0.071844
2024-02-22,0.071735
2024-02-23,0.071621
2024-02-24,0.071503
2024-02-25,0.071381
2024-02-26,0.071254
2024-02-27,0.071124
2024-02-28,0.070988
2024-02-29,0.070849
2024-03-01,0.070706
2024-03-02,0.070558
2024-03-03,0.070406
2024-03-04,0.070251
2024-03-05,0.070091
2024-03-06,0.069927
2024-03-07,0.069760
2024-03-08,0.069589
2024-03-09,0.069413
2024-03-10,0.069234
2024-03-11,0.069052
2024-03-12,0.068866
2024-03-13,0.068676
2024-03-14,0.068483
2024-03-15,0.068286
2024-03-16,0.068085
2024-03-17,0.067882
2024-03-18,0.067675
2024-03-19,0.067465
2024-03-20,0.067252
2024-03-21,0.067035
2024-03-22,0.066816
2024-03-23,0.066593
2024-03-24,0.066368
2024-03-25,0.066140
2024-03-26,0.065909
2024-03-27,0.065675
2024-03-28,0.065439
2024-03-29,0.065200
2024-03-30,0.064958
2024-03-31,0.064715
2024-04-01,0.064468
2024-04-02,0.064220
2024-04-03,0.063969
2024-04-04,0.063716
2024-04-05,0.063461
2024-04-06,0.063204
2024-04-07,0.062945
2024-04-08,0.062684
2024-04-09,0.062422
2024-04-10,0.062158
2024-04-11,0.061892
2024-04-12,0.061624
2024-04-13,0.061356
2024-04-14,0.061085
2024-04-15,0.060814
2024-04-16,0.060541
2024-04-17,0.060267
2024-04-18,0.059992
2024-04-19,0.059716
2024-04-20,0.059439
2024-04-21,0.059162
2024-04-22,0.058883
2024-04-23,0.058604
2024-04-24,0.058325
2024-04-25,0.058045
2024-04-26,0.057764
2024-04-27,0.057483
2024-04-28,0.057202
2024-04-29,0.056921
2024-04-30,0.056640
2024-05-01,0.056359
2024-05-02,0.056078
2024-05-03,0.055797
2024-05-04,0.055516
2024-05-05,0.055236
2024-05-06,0.054956
2024-05-07,0.054676
2024-05-08,0.054398
2024-05-09,0.054120
2024-05-10,0.053842
2024-05-11,0.053566
2024-05-12,0.053290
2024-05-13,0.053016
2024-05-14,0.052742
2024-05-15,0.052470
2024-05-16,0.052199
2024-05-17,0.051929
2024-05-18,0.051661
2024-05-19,0.051394
2024-05-20,0.051129
2024-05-21,0.050866
2024-05-22,0.050604
2024-05-23,0.050344
2024-05-24,0.050086
2024-05-25,0.049830
2024-05-26,0.049576
2024-05-27,0.049324
2024-05-28,0.049075
2024-05-29,0.048827
2024-05-30,0.048582
2024-05-31,0.048340
2024-06-01,0.048100
2024-06-02,0.047862
2024-06-03,0.047628
2024-06-04,0.047395
2024-06-05,0.047166
2024-06-06,0.046940
2024-06-07,0.046716
2024-06-08,0.046495
2024-06-09,0.046278
2024-06-10,0.046063
2024-06-11,0.045852
2024-06-12,0.045644
2024-06-13,0.045440
2024-06-14,0.045238
2024-06-15,0.045040
2024-06-16,0.044846
2024-06-17,0.044655
2024-06-18,0.044468
2024-06-19,0.044284
2024-06-20,0.044104
2024-06-21,0.043928
2024-06-22,0.043756
2024-06-23,0.043588
2024-06-24,0.043423
2024-06-25,0.043263
2024-06-26,0.043106
2024-06-27,0.042954
2024-06-28,0.042805
2024-06-29,0.042661
2024-06-30,0.042521
2024-07-01,0.042385
2024-07-02,0.042254
2024-07-03,0.042127
2024-07-04,0.042004
2024-07-05,0.041885
2024-07-06,0.041771
2024-07-07,0.041662
2024-07-08,0.041557
2024-07-09,0.041456
2024-07-10,0.041360
2024-07-11,0.041268
2024-07-12,0.041182
2024-07-13,0.041099
2024-07-14,0.041022
2024-07-15,0.040949
2024-07-16,0.040881
2024-07-17,0.040817
2024-07-18,0.040758
2024-07-19,0.040704
2024-07-20,0.040655
2024-07-21,0.040610
2024-07-22,0.040570
2024-07-23,0.040535
2024-07-24,0.040505
2024-07-25,0.040480
2024-07-26,0.040459
2024-07-27,0.040443
2024-07-28,0.040433
2024-07-29,0.040426
2024-07-30,0.040425
2024-07-31,0.040429
2024-08-01,0.040437
2024-08-02,0.040450
2024-08-03,0.040468
2024-08-04,0.040491
2024-08-05,0.040519
2024-08-06,0.040551
2024-08-07,0.040589
2024-08-08,0.040631
2024-08-09,0.040677
2024-08-10,0.040729
2024-08-11,0.040785
2024-08-12,0.040846
2024-08-13,0.040912
2024-08-14,0.040982
2024-08-15,0.041057
2024-08-16,0.041137
2024-08-17,0.041221
2024-08-18,0.041310
2024-08-19,0.041403
2024-08-20,0.041501
2024-08-21,0.041603
2024-08-22,0.041710
2024-08-23,0.041821
2024-08-24,0.041937
2024-08-25,0.042057
2024-08-26,0.042182
2024-08-27,0.042310
2024-08-28,0.042443
2024-08-29,0.042581
2024-08-30,0.042722
2024-08-31,0.042868
2024-09-01,0.043017
2024-09-02,0.043171
2024-09-03,0.043329
2024-09-04,0.043490
2024-09-05,0.043656
2024-09-06,0.043825
2024-09-07,0.043999
2024-09-08,0.044176
2024-09-09,0.044356
2024-09-10,0.044541
2024-09-11,0.044729
2024-09-12,0.044920
2024-09-13,0.045115
2024-09-14,0.045314
2024-09-15,0.045516
2024-09-16,0.045721
2024-09-17,0.045930
2024-09-18,0.046141
2024-09-19,0.046356
2024-09-20,0.046574
2024-09-21,0.046795
2024-09-22,0.047019
2024-09-23,0.047246
2024-09-24,0.047475
2024-09-25,0.047708
2024-09-26,0.047943
2024-09-27,0.048180
2024-09-28,0.048421
2024-09-29,0.048663
2024-09-30,0.048908
2024-10-01,0.049156
2024-10-02,0.049405
2024-10-03,0.049657
2024-10-04,0.049911
2024-10-05,0.050167
2024-10-06,0.050425
2024-10-07,0.050685
2024-10-08,0.050947
2024-10-09,0.051210
2024-10-10,0.051475
2024-10-11,0.051742
2024-10-12,0.052010
2024-10-13,0.052279
2024-10-14,0.052550
2024-10-15,0.052822
2024-10-16,0.053096
2024-10-17,0.053370
2024-10-18,0.053646
2024-10-19,0.053922
2024-10-20,0.054199
2024-10-21,0.054477
2024-10-22,0.054756
2024-10-23,0.055035
