date,price_eur_kwh
2024-01-01,0.071319
2024-01-02,0.071448
2024-01-03,0.071572
2024-01-04,0.071692
2024-01-05,0.071808
2024-01-06,0.071919
2024-01-07,0.072026
2024-01-08,0.072128
2024-01-09,0.072225
2024-01-10,0.072318
2024-01-11,0.072406
2024-01-12,0.072490
2024-01-13,0.072569
2024-01-14,0.072643
2024-01-15,0.072712
2024-01-16,0.072777
2024-01-17,0.072837
2024-01-18,0.072892
2024-01-19,0.072943
2024-01-20,0.072989
2024-01-21,0.073029
2024-01-22,0.073065
2024-01-23,0.073097
2024-01-24,0.073123
2024-01-25,0.073145
2024-01-26,0.073161
2024-01-27,0.073173
2024-01-28,0.073180
2024-01-29,0.073182
2024-01-30,0.073179
2024-01-31,0.073172
2024-02-01,0.073159
2024-02-02,0.073142
2024-02-03,0.073120
2024-02-04,0.073093
2024-02-05,0.073061
2024-02-06,0.073024
2024-02-07,0.072983
2024-02-08,0.072937
2024-02-09,0.072886
2024-02-10,0.072830
2024-02-11,0.072769
2024-02-12,0.072704
2024-02-13,0.072634
2024-02-14,0.072559
2024-02-15,0.072480
2024-02-16,0.072396
2024-02-17,0.072308
2024-02-18,0.072215
2024-02-19,0.072117
2024-02-20,0.072015
2024-02-21,0.071908
2024-02-22,0.071797
2024-02-23,0.071681
2024-02-24,0.071561
2024-02-25,0.071437
2024-02-26,0.071308
2024-02-27,0.071175
2024-02-28,0.071038
2024-02-29,0.070896
2024-03-01,0.070751
2024-03-02,0.070601
2024-03-03,0.070447
2024-03-04,0.070289
2024-03-05,0.070127
2024-03-06,0.069961
2024-03-07,0.069792
2024-03-08,0.069618
2024-03-09,0.069441
2024-03-10,0.069259
2024-03-11,0.069075
2024-03-12,0.068886
2024-03-13,0.068694
2024-03-14,0.068498
2024-03-15,0.068299
2024-03-16,0.068097
2024-03-17,0.067891
2024-03-18,0.067682
2024-03-19,0.067469
2024-03-20,0.067254
2024-03-21,0.067035
2024-03-22,0.066814
2024-03-23,0.066589
2024-03-24,0.066361
2024-03-25,0.066131
2024-03-26,0.065897
