date,price_eur_kwh
2024-01-01,0.076354
2024-01-02,0.076495
2024-01-03,0.076632
2024-01-04,0.076763
2024-01-05,0.076890
2024-01-06,0.077011
2024-01-07,0.077127
2024-01-08,0.077239
2024-01-09,0.077345
2024-01-10,0.077446
2024-01-11,0.077542
2024-01-12,0.077633
2024-01-13,0.077718
2024-01-14,0.077799
2024-01-15,0.077874
2024-01-16,0.077943
2024-01-17,0.078008
2024-01-18,0.078067
2024-01-19,0.078120
2024-01-20,0.078169
2024-01-21,0.078212
2024-01-22,0.078249
2024-01-23,0.078281
2024-01-24,0.078308
2024-01-25,0.078329
2024-01-26,0.078345
2024-01-27,0.078355
2024-01-28,0.078360
2024-01-29,0.078360
2024-01-30,0.078354
2024-01-31,0.078343
2024-02-01,0.078326
2024-02-02,0.078304
2024-02-03,0.078276
2024-02-04,0.078243
2024-02-05,0.078205
2024-02-06,0.078161
2024-02-07,0.078111
2024-02-08,0.078057
2024-02-09,0.077997
2024-02-10,0.077932
2024-02-11,0.077861
2024-02-12,0.077785
2024-02-13,0.077704
2024-02-14,0.077618
2024-02-15,0.077526
2024-02-16,0.077429
2024-02-17,0.077327
2024-02-18,0.077220
2024-02-19,0.077108
2024-02-20,0.076991
2024-02-21,0.076868
2024-02-22,0.076741
2024-02-23,0.076609
2024-02-24,0.076471
2024-02-25,0.076329
2024-02-26,0.076182
2024-02-27,0.076031
2024-02-28,0.075874
2024-02-29,0.075713
2024-03-01,0.075547
2024-03-02,0.075377
2024-03-03,0.075202
2024-03-04,0.075022
2024-03-05,0.074838
2024-03-06,0.074650
2024-03-07,0.074457
2024-03-08,0.074260
2024-03-09,0.074059
2024-03-10,0.073854
2024-03-11,0.073644
2024-03-12,0.073431
2024-03-13,0.073213
2024-03-14,0.072992
2024-03-15,0.072767
2024-03-16,0.072538
2024-03-17,0.072305
2024-03-18,0.072068
2024-03-19,0.071828
2024-03-20,0.071585
2024-03-21,0.071338
2024-03-22,0.071088
2024-03-23,0.070834
2024-03-24,0.070577
2024-03-25,0.070317
2024-03-26,0.070055
2024-03-27,0.069789
2024-03-28,0.069520
2024-03-29,0.069248
2024-03-30,0.068974
2024-03-31,0.068697
2024-04-01,0.068417
2024-04-02,0.068135
2024-04-03,0.067850
2024-04-04,0.067563
2024-04-05,0.067274
2024-04-06,0.066983
2024-04-07,0.066690
2024-04-08,0.066394
2024-04-09,0.066097
2024-04-10,0.065798
2024-04-11,0.065497
2024-04-12,0.065195
2024-04-13,0.064891
2024-04-14,0.064586
2024-04-15,0.064279
2024-04-16,0.063971
2024-04-17,0.063662
2024-04-18,0.063352
2024-04-19,0.063040
2024-04-20,0.062728
2024-04-21,0.062415
2024-04-22,0.062102
2024-04-23,0.061787
2024-04-24,0.061473
2024-04-25,0.061157
2024-04-26,0.060842
2024-04-27,0.060526
2024-04-28,0.060210
2024-04-29,0.059894
2024-04-30,0.059578
2024-05-01,0.059262
2024-05-02,0.058946
2024-05-03,0.058631
2024-05-04,0.058316
2024-05-05,0.058001
2024-05-06,0.057687
2024-05-07,0.057374
2024-05-08,0.057062
2024-05-09,0.056750
2024-05-10,0.056440
2024-05-11,0.056130
2024-05-12,0.055822
2024-05-13,0.055515
2024-05-14,0.055209
2024-05-15,0.054905
2024-05-16,0.054602
2024-05-17,0.054300
2024-05-18,0.054001
2024-05-19,0.053703
2024-05-20,0.053407
2024-05-21,0.053113
2024-05-22,0.052821
2024-05-23,0.052531
2024-05-24,0.052244
2024-05-25,0.051958
2024-05-26,0.051675
2024-05-27,0.051395
2024-05-28,0.051117
2024-05-29,0.050842
2024-05-30,0.050569
2024-05-31,0.050299
2024-06-01,0.050032
2024-06-02,0.049768
2024-06-03,0.049508
2024-06-04,0.049250
2024-06-05,0.048995
2024-06-06,0.048744
2024-06-07,0.048496
2024-06-08,0.048251
2024-06-09,0.048010
2024-06-10,0.047772
2024-06-11,0.047538
2024-06-12,0.047308
2024-06-13,0.047082
2024-06-14,0.046859
2024-06-15,0.046640
2024-06-16,0.046425
2024-06-17,0.046215
2024-06-18,0.046008
2024-06-19,0.045805
2024-06-20,0.045607
2024-06-21,0.045413
2024-06-22,0.045223
2024-06-23,0.045038
2024-06-24,0.044857
2024-06-25,0.044680
2024-06-26,0.044508
2024-06-27,0.044341
2024-06-28,0.044178
2024-06-29,0.044020
2024-06-30,0.043867
2024-07-01,0.043718
2024-07-02,0.043575
2024-07-03,0.043436
2024-07-04,0.043302
2024-07-05,0.043173
2024-07-06,0.043049
2024-07-07,0.042930
2024-07-08,0.042816
2024-07-09,0.042707
2024-07-10,0.042604
2024-07-11,0.042505
2024-07-12,0.042412
2024-07-13,0.042324
2024-07-14,0.042241
2024-07-15,0.042163
2024-07-16,0.042091
2024-07-17,0.042024
2024-07-18,0.041962
2024-07-19,0.041906
2024-07-20,0.041855
2024-07-21,0.041809
2024-07-22,0.041769
2024-07-23,0.041734
2024-07-24,0.041705
2024-07-25,0.041681
2024-07-26,0.041662
2024-07-27,0.041649
2024-07-28,0.041641
2024-07-29,0.041639
2024-07-30,0.041642
2024-07-31,0.041651
2024-08-01,0.041665
2024-08-02,0.041685
2024-08-03,0.041709
2024-08-04,0.041740
2024-08-05,0.041776
2024-08-06,0.041817
2024-08-07,0.041863
2024-08-08,0.041915
2024-08-09,0.041972
2024-08-10,0.042035
2024-08-11,0.042103
2024-08-12,0.042176
2024-08-13,0.042255
2024-08-14,0.042339
2024-08-15,0.042428
2024-08-16,0.042522
2024-08-17,0.042621
2024-08-18,0.042726
2024-08-19,0.042835
2024-08-20,0.042950
2024-08-21,0.043070
2024-08-22,0.043195
2024-08-23,0.043325
2024-08-24,0.043459
2024-08-25,0.043599
2024-08-26,0.043744
2024-08-27,0.043893
2024-08-28,0.044047
2024-08-29,0.044206
2024-08-30,0.044369
2024-08-31,0.044537
2024-09-01,0.044710
2024-09-02,0.044887
2024-09-03,0.045069
2024-09-04,0.045255
2024-09-05,0.045446
2024-09-06,0.045641
