date,price_eur_kwh
2024-01-01,0.079316
2024-01-02,0.079345
2024-01-03,0.079371
2024-01-04,0.079395
2024-01-05,0.079417
2024-01-06,0.079437
2024-01-07,0.079454
2024-01-08,0.079469
2024-01-09,0.079482
2024-01-10,0.079492
2024-01-11,0.079500
2024-01-12,0.079506
2024-01-13,0.079509
2024-01-14,0.079511
2024-01-15,0.079509
2024-01-16,0.079506
2024-01-17,0.079500
2024-01-18,0.079492
2024-01-19,0.079482
2024-01-20,0.079469
2024-01-21,0.079454
2024-01-22,0.079437
2024-01-23,0.079418
2024-01-24,0.079396
2024-01-25,0.079372
2024-01-26,0.079346
2024-01-27,0.079317
2024-01-28,0.079287
2024-01-29,0.079254
2024-01-30,0.079218
2024-01-31,0.079181
2024-02-01,0.079141
2024-02-02,0.079100
2024-02-03,0.079056
2024-02-04,0.079010
2024-02-05,0.078961
2024-02-06,0.078911
2024-02-07,0.078859
2024-02-08,0.078804
2024-02-09,0.078747
2024-02-10,0.078689
2024-02-11,0.078628
2024-02-12,0.078565
2024-02-13,0.078500
2024-02-14,0.078433
2024-02-15,0.078365
2024-02-16,0.078294
2024-02-17,0.078221
2024-02-18,0.078147
2024-02-19,0.078070
2024-02-20,0.077992
2024-02-21,0.077912
2024-02-22,0.077830
2024-02-23,0.077746
2024-02-24,0.077660
2024-02-25,0.077573
2024-02-26,0.077484
2024-02-27,0.077393
2024-02-28,0.077301
2024-02-29,0.077207
2024-03-01,0.077112
2024-03-02,0.077014
2024-03-03,0.076916
2024-03-04,0.076815
2024-03-05,0.076714
2024-03-06,0.076610
2024-03-07,0.076506
2024-03-08,0.076400
2024-03-09,0.076292
2024-03-10,0.076184
2024-03-11,0.076074
2024-03-12,0.075962
2024-03-13,0.075850
2024-03-14,0.075736
2024-03-15,0.075621
2024-03-16,0.075505
2024-03-17,0.075388
2024-03-18,0.075269
2024-03-19,0.075150
2024-03-20,0.075030
2024-03-21,0.074908
2024-03-22,0.074786
2024-03-23,0.074663
2024-03-24,0.074539
2024-03-25,0.074414
2024-03-26,0.074288
2024-03-27,0.074162
2024-03-28,0.074035
2024-03-29,0.073907
2024-03-30,0.073779
2024-03-31,0.073650
2024-04-01,0.073520
2024-04-02,0.073390
2024-04-03,0.073259
2024-04-04,0.073128
2024-04-05,0.072997
2024-04-06,0.072865
2024-04-07,0.072733
2024-04-08,0.072600
2024-04-09,0.072467
2024-04-10,0.072334
2024-04-11,0.072201
2024-04-12,0.072068
2024-04-13,0.071934
2024-04-14,0.071801
2024-04-15,0.071667
2024-04-16,0.071534
2024-04-17,0.071401
2024-04-18,0.071267
2024-04-19,0.071134
2024-04-20,0.071001
2024-04-21,0.070868
2024-04-22,0.070736
2024-04-23,0.070603
2024-04-24,0.070471
2024-04-25,0.070340
2024-04-26,0.070209
2024-04-27,0.070078
2024-04-28,0.069948
2024-04-29,0.069818
2024-04-30,0.069689
2024-05-01,0.069560
2024-05-02,0.069432
2024-05-03,0.069305
2024-05-04,0.069179
2024-05-05,0.069053
2024-05-06,0.068928
2024-05-07,0.068804
2024-05-08,0.068681
2024-05-09,0.068558
2024-05-10,0.068437
2024-05-11,0.068316
2024-05-12,0.068197
2024-05-13,0.068078
2024-05-14,0.067961
2024-05-15,0.067845
2024-05-16,0.067730
2024-05-17,0.067616
2024-05-18,0.067503
2024-05-19,0.067392
2024-05-20,0.067282
2024-05-21,0.067173
2024-05-22,0.067066
2024-05-23,0.066960
2024-05-24,0.066855
2024-05-25,0.066752
2024-05-26,0.066650
2024-05-27,0.066550
2024-05-28,0.066452
2024-05-29,0.066355
2024-05-30,0.066259
2024-05-31,0.066166
2024-06-01,0.066073
2024-06-02,0.065983
2024-06-03,0.065894
2024-06-04,0.065807
2024-06-05,0.065722
2024-06-06,0.065639
2024-06-07,0.065557
2024-06-08,0.065477
2024-06-09,0.065399
2024-06-10,0.065323
2024-06-11,0.065249
2024-06-12,0.065177
2024-06-13,0.065107
2024-06-14,0.065039
2024-06-15,0.064972
2024-06-16,0.064908
2024-06-17,0.064846
2024-06-18,0.064786
2024-06-19,0.064728
2024-06-20,0.064672
2024-06-21,0.064618
2024-06-22,0.064566
2024-06-23,0.064517
2024-06-24,0.064469
2024-06-25,0.064424
2024-06-26,0.064381
2024-06-27,0.064340
2024-06-28,0.064302
2024-06-29,0.064265
2024-06-30,0.064231
2024-07-01,0.064199
2024-07-02,0.064169
2024-07-03,0.064142
2024-07-04,0.064116
2024-07-05,0.064093
2024-07-06,0.064073
2024-07-07,0.064054
2024-07-08,0.064038
2024-07-09,0.064024
2024-07-10,0.064013
2024-07-11,0.064004
2024-07-12,0.063997
2024-07-13,0.063992
2024-07-14,0.063990
2024-07-15,0.063990
2024-07-16,0.063992
2024-07-17,0.063997
2024-07-18,0.064003
2024-07-19,0.064013
2024-07-20,0.064024
2024-07-21,0.064038
2024-07-22,0.064054
2024-07-23,0.064072
2024-07-24,0.064093
2024-07-25,0.064116
2024-07-26,0.064141
2024-07-27,0.064168
2024-07-28,0.064198
2024-07-29,0.064230
2024-07-30,0.064264
2024-07-31,0.064300
2024-08-01,0.064339
2024-08-02,0.064379
2024-08-03,0.064422
2024-08-04,0.064467
2024-08-05,0.064514
2024-08-06,0.064564
2024-08-07,0.064615
2024-08-08,0.064669
2024-08-09,0.064724
2024-08-10,0.064782
2024-08-11,0.064842
2024-08-12,0.064903
2024-08-13,0.064967
2024-08-14,0.065033
2024-08-15,0.065101
2024-08-16,0.065171
2024-08-17,0.065242
2024-08-18,0.065316
2024-08-19,0.065391
2024-08-20,0.065469
2024-08-21,0.065548
2024-08-22,0.065629
2024-08-23,0.065712
2024-08-24,0.065797
2024-08-25,0.065883
2024-08-26,0.065971
2024-08-27,0.066061
2024-08-28,0.066153
2024-08-29,0.066246
2024-08-30,0.066340
2024-08-31,0.066437
2024-09-01,0.066535
2024-09-02,0.066634
2024-09-03,0.066735
2024-09-04,0.066838
2024-09-05,0.066942
2024-09-06,0.067047
2024-09-07,0.067154
2024-09-08,0.067262
2024-09-09,0.067371
2024-09-10,0.067482
2024-09-11,0.067594
2024-09-12,0.067707
2024-09-13,0.067821
2024-09-14,0.067937
2024-09-15,0.068054
2024-09-16,0.068171
2024-09-17,0.068290
2024-09-18,0.068410
2024-09-19,0.068531
2024-09-20,0.068653
2024-09-21,0.068775
2024-09-22,0.068899
2024-09-23,0.069023
2024-09-24,0.069149
2024-09-25,0.069275
2024-09-26,0.069402
2024-09-27,0.069529
2024-09-28,0.069657
2024-09-29,0.069786
2024-09-30,0.069915
2024-10-01,0.070045
2024-10-02,0.070175
2024-10-03,0.070306
2024-10-04,0.070438
2024-10-05,0.070569
2024-10-06,0.070701
2024-10-07,0.070834
2024-10-08,0.070966
2024-10-09,0.071099
2024-10-10,0.071232
2024-10-11,0.071366
2024-10-12,0.071499
2024-10-13,0.071632
2024-10-14,0.071766
2024-10-15,0.071899
2024-10-16,0.072033
2024-10-17,0.072166
2024-10-18,0.072299
2024-10-19,0.072433
2024-10-20,0.072565
2024-10-21,0.072698
2024-10-22,0.072831
2024-10-23,0.072963
2024-10-24,0.073094
2024-10-25,0.073226
2024-10-26,0.073357
2024-10-27,0.073487
2024-10-28,0.073617
2024-10-29,0.073747
2024-10-30,0.073876
2024-10-31,0.074004
2024-11-01,0.074131
2024-11-02,0.074258
2024-11-03,0.074384
2024-11-04,0.074510
2024-11-05,0.074634
2024-11-06,0.074758
2024-11-07,0.074881
2024-11-08,0.075003
2024-11-09,0.075124
2024-11-10,0.075244
2024-11-11,0.075362
2024-11-12,0.075480
2024-11-13,0.075597
2024-11-14,0.075713
2024-11-15,0.075827
2024-11-16,0.075940
2024-11-17,0.076052
2024-11-18,0.076163
2024-11-19,0.076273
2024-11-20,0.076381
2024-11-21,0.076487
2024-11-22,0.076593
2024-11-23,0.076696
2024-11-24,0.076799
2024-11-25,0.076900
2024-11-26,0.076999
2024-11-27,0.077097
2024-11-28,0.077193
2024-11-29,0.077288
2024-11-30,0.077381
2024-12-01,0.077472
2024-12-02,0.077562
2024-12-03,0.077649
2024-12-04,0.077736
2024-12-05,0.077820
2024-12-06,0.077902
2024-12-07,0.077983
2024-12-08,0.078062
2024-12-09,0.078139
2024-12-10,0.078214
2024-12-11,0.078287
2024-12-12,0.078358
2024-12-13,0.078427
2024-12-14,0.078495
2024-12-15,0.078560
2024-12-16,0.078623
2024-12-17,0.078684
2024-12-18,0.078743
2024-12-19,0.078800
2024-12-20,0.078855
2024-12-21,0.078908
2024-12-22,0.078959
2024-12-23,0.079007
2024-12-24,0.079053
2024-12-25,0.079098
2024-12-26,0.079140
2024-12-27,0.079179
2024-12-28,0.079217
2024-12-29,0.079252
2024-12-30,0.079285
2024-12-31,0.079316
