date,price_eur_kwh
2024-01-01,0.071149
2024-01-02,0.071279
2024-01-03,0.071404
2024-01-04,0.071525
2024-01-05,0.071641
2024-01-06,0.071753
2024-01-07,0.071860
2024-01-08,0.071963
2024-01-09,0.072062
2024-01-10,0.072156
2024-01-11,0.072245
2024-01-12,0.072330
2024-01-13,0.072410
2024-01-14,0.072486
2024-01-15,0.072557
2024-01-16,0.072623
2024-01-17,0.072684
2024-01-18,0.072741
2024-01-19,0.072793
2024-01-20,0.072840
2024-01-21,0.072883
2024-01-22,0.072921
2024-01-23,0.072953
2024-01-24,0.072982
2024-01-25,0.073005
2024-01-26,0.073023
2024-01-27,0.073037
2024-01-28,0.073046
2024-01-29,0.073050
2024-01-30,0.073049
2024-01-31,0.073044
2024-02-01,0.073033
2024-02-02,0.073018
2024-02-03,0.072998
2024-02-04,0.072973
2024-02-05,0.072943
2024-02-06,0.072909
2024-02-07,0.072870
2024-02-08,0.072826
2024-02-09,0.072777
2024-02-10,0.072724
2024-02-11,0.072666
2024-02-12,0.072603
2024-02-13,0.072535
2024-02-14,0.072463
2024-02-15,0.072386
2024-02-16,0.072305
2024-02-17,0.072219
2024-02-18,0.072128
2024-02-19,0.072033
2024-02-20,0.071933
2024-02-21,0.071829
2024-02-22,0.071720
2024-02-23,0.071607
2024-02-24,0.071490
2024-02-25,0.071368
2024-02-26,0.071242
2024-02-27,0.071112
2024-02-28,0.070977
2024-02-29,0.070838
2024-03-01,0.070695
2024-03-02,0.070548
2024-03-03,0.070397
2024-03-04,0.070242
2024-03-05,0.070083
2024-03-06,0.069920
2024-03-07,0.069753
2024-03-08,0.069582
2024-03-09,0.069407
2024-03-10,0.069229
2024-03-11,0.069047
2024-03-12,0.068861
2024-03-13,0.068672
2024-03-14,0.068479
2024-03-15,0.068283
2024-03-16,0.068083
2024-03-17,0.067880
2024-03-18,0.067673
2024-03-19,0.067464
2024-03-20,0.067251
2024-03-21,0.067035
2024-03-22,0.066816
2024-03-23,0.066594
2024-03-24,0.066370
2024-03-25,0.066142
2024-03-26,0.065911
2024-03-27,0.065678
2024-03-28,0.065442
2024-03-29,0.065204
2024-03-30,0.064963
2024-03-31,0.064720
2024-04-01,0.064474
2024-04-02,0.064226
2024-04-03,0.063976
2024-04-04,0.063723
2024-04-05,0.063469
2024-04-06,0.063212
2024-04-07,0.062954
2024-04-08,0.062694
2024-04-09,0.062432
2024-04-10,0.062168
2024-04-11,0.061903
2024-04-12,0.061636
2024-04-13,0.061367
2024-04-14,0.061098
2024-04-15,0.060827
2024-04-16,0.060554
2024-04-17,0.060281
2024-04-18,0.060007
2024-04-19,0.059731
2024-04-20,0.059455
2024-04-21,0.059178
2024-04-22,0.058900
2024-04-23,0.058621
2024-04-24,0.058342
2024-04-25,0.058062
2024-04-26,0.057782
2024-04-27,0.057502
2024-04-28,0.057221
2024-04-29,0.056941
2024-04-30,0.056660
2024-05-01,0.056379
2024-05-02,0.056098
2024-05-03,0.055818
2024-05-04,0.055538
2024-05-05,0.055258
2024-05-06,0.054978
2024-05-07,0.054699
2024-05-08,0.054421
2024-05-09,0.054143
2024-05-10,0.053866
2024-05-11,0.053590
2024-05-12,0.053315
2024-05-13,0.053041
2024-05-14,0.052768
2024-05-15,0.052496
2024-05-16,0.052225
2024-05-17,0.051956
2024-05-18,0.051688
2024-05-19,0.051422
2024-05-20,0.051157
