date,water_m3_s,water_m3_day
1950-01-01,453.453491,39178381.622400
1950-01-02,453.453491,39178381.622400
1950-01-03,453.453491,39178381.622400
1950-01-04,453.453491,39178381.622400
1950-01-05,453.453491,39178381.622400
1950-01-06,453.453491,39178381.622400
1950-01-07,453.453491,39178381.622400
1950-01-08,453.453491,39178381.622400
1950-01-09,453.453491,39178381.622400
1950-01-10,453.453491,39178381.622400
1950-01-11,453.453491,39178381.622400
1950-01-12,453.453491,39178381.622400
1950-01-13,453.453491,39178381.622400
1950-01-14,453.453491,39178381.622400
1950-01-15,453.453491,39178381.622400
1950-01-16,455.464638,39352144.723200
1950-01-17,457.624897,39538791.100800
1950-01-18,459.930583,39738002.371200
1950-01-19,462.378015,39949460.496000
1950-01-20,464.963510,40172847.264000
1950-01-21,467.683385,40407844.464000
1950-01-22,470.533957,40654133.884800
1950-01-23,473.511544,40911397.401600
1950-01-24,476.612462,41179316.716800
1950-01-25,479.833030,41457573.792000
1950-01-26,483.169565,41745850.416000
1950-01-27,486.618383,42043828.291200
1950-01-28,490.175803,42351189.379200
1950-01-29,493.838142,42667615.468800
1950-01-30,497.601716,42992788.262400
1950-01-31,501.462843,43326389.635200
1950-02-01,505.417841,43668101.462400
1950-02-02,509.463026,44017605.446400
1950-02-03,513.594717,44374583.548800
1950-02-04,517.809230,44738717.472000
1950-02-05,522.102883,45109689.091200
1950-02-06,526.471993,45487180.195200
1950-02-07,530.912878,45870872.659200
1950-02-08,535.421854,46260448.185600
1950-02-09,539.995239,46655588.649600
1950-02-10,544.629350,47055975.840000
1950-02-11,549.320505,47461291.632000
1950-02-12,554.065021,47871217.814400
1950-02-13,558.859215,48285436.176000
1950-02-14,563.699405,48703628.592000
1950-02-15,568.581908,49125476.851200
1950-02-16,573.537291,49553621.942400
1950-02-17,578.593845,49990508.208000
1950-02-18,583.744427,50435518.492800
1950-02-19,588.981889,50888035.209600
1950-02-20,594.299141,51347445.782400
1950-02-21,599.689211,51813147.830400
1950-02-22,605.145301,52284554.006400
1950-02-23,610.660839,52761096.489600
1950-02-24,616.229529,53242231.305600
1950-02-25,621.845395,53727442.128000
1950-02-26,627.502825,54216244.080000
1950-02-27,633.196609,54708187.017600
1950-02-28,638.921973,55202858.467200
1950-03-01,644.674614,55699886.649600
1950-03-02,650.450723,56198942.467200
1950-03-03,656.247014,56699742.009600
1950-03-04,662.060743,57202048.195200
1950-03-05,667.889728,57705672.499200
1950-03-06,673.732358,58210475.731200
1950-03-07,679.587611,58716369.590400
1950-03-08,685.455056,59223316.838400
1950-03-09,691.334857,59731331.644800
1950-03-10,697.227776,60240479.846400
1950-03-11,703.135167,60750878.428800
1950-03-12,709.058971,61262695.094400
1950-03-13,715.001705,61776147.312000
1950-03-14,720.966447,62291501.020800
1950-03-15,726.956822,62809069.420800
1950-03-16,733.220571,63350257.334400
1950-03-17,739.968403,63933270.019200
1950-03-18,747.149069,64553679.561600
1950-03-19,754.711688,65207089.843200
1950-03-20,762.605741,65889136.022400
1950-03-21,770.781058,66595483.411200
1950-03-22,779.187813,67321827.043200
