date,water_m3_s,water_m3_day
1950-01-01,155.422078,13428467.539200
1950-01-02,156.164884,13492645.977600
1950-01-03,156.885474,13554904.953600
1950-01-04,157.583063,13615176.643200
1950-01-05,158.256868,13673393.395200
1950-01-06,158.906105,13729487.472000
1950-01-07,159.529988,13783390.963200
1950-01-08,160.127735,13835036.304000
1950-01-09,160.698562,13884355.756800
1950-01-10,161.241683,13931281.411200
1950-01-11,161.756315,13975745.616000
1950-01-12,162.241674,14017680.633600
1950-01-13,162.696976,14057018.726400
1950-01-14,163.121437,14093692.156800
1950-01-15,163.514272,14127633.100800
1950-01-16,165.170371,14270720.054400
1950-01-17,166.828363,14413970.563200
1950-01-18,168.487405,14557311.792000
1950-01-19,170.146627,14700668.572800
1950-01-20,171.805137,14843963.836800
1950-01-21,173.462019,14987118.441600
1950-01-22,175.116331,15130050.998400
1950-01-23,176.767111,15272678.390400
1950-01-24,178.413370,15414915.168000
1950-01-25,180.054098,15556674.067200
1950-01-26,181.688261,15697865.750400
1950-01-27,183.314801,15838398.806400
1950-01-28,184.932640,15978180.096000
1950-01-29,186.540674,16117114.233600
1950-01-30,188.137779,16255104.105600
1950-01-31,189.722808,16392050.611200
1950-02-01,191.294590,16527852.576000
1950-02-02,192.851934,16662407.097600
1950-02-03,194.393626,16795609.286400
1950-02-04,195.918431,16927352.438400
1950-02-05,197.425093,17057528.035200
1950-02-06,198.912332,17186025.484800
1950-02-07,200.378848,17312732.467200
1950-02-08,201.823322,17437535.020800
1950-02-09,203.244410,17560317.024000
1950-02-10,204.640751,17680960.886400
1950-02-11,206.010961,17799347.030400
1950-02-12,207.353636,17915354.150400
1950-02-13,208.667352,18028859.212800
1950-02-14,209.950664,18139737.369600
1950-02-15,211.202108,18247862.131200
1950-02-16,212.404670,18351763.488000
1950-02-17,213.542416,18450064.742400
1950-02-18,214.615527,18542781.532800
1950-02-19,215.624234,18629933.817600
1950-02-20,216.568820,18711546.048000
1950-02-21,217.449628,18787647.859200
1950-02-22,218.267059,18858273.897600
1950-02-23,219.021578,18923464.339200
1950-02-24,219.713716,18983265.062400
1950-02-25,220.344071,19037727.734400
1950-02-26,220.913313,19086910.243200
1950-02-27,221.422182,19130876.524800
1950-02-28,221.871491,19169696.822400
1950-03-01,222.262132,19203448.204800
1950-03-02,222.595069,19232213.961600
1950-03-03,222.871346,19256084.294400
1950-03-04,223.092086,19275156.230400
1950-03-05,223.258487,19289533.276800
1950-03-06,223.371830,19299326.112000
1950-03-07,223.433474,19304652.153600
1950-03-08,223.444857,19305635.644800
1950-03-09,223.407495,19302407.568000
1950-03-10,223.322984,19295105.817600
1950-03-11,223.192996,19283874.854400
1950-03-12,223.019281,19268865.878400
1950-03-13,222.803664,19250236.569600
1950-03-14,222.548042,19228150.828800
1950-03-15,222.254388,19202779.123200
1950-03-16,221.780566,19161840.902400
1950-03-17,220.993089,19093802.889600
1950-03-18,219.907157,18999978.364800
1950-03-19,218.538312,18881710.156800
1950-03-20,216.902523,18740377.987200
1950-03-21,215.016256,18577404.518400
1950-03-22,212.896541,18394261.142400
1950-03-23,210.561027,18192472.732800
1950-03-24,208.028028,17973621.619200
1950-03-25,205.316560,17739350.784000
1950-03-26,202.446372,17491366.540800
1950-03-27,199.437960,17231439.744000
1950-03-28,196.312580,16961406.912000
1950-03-29,193.092248,16683170.227200
1950-03-30,189.799733,16398696.931200
1950-03-31,186.458539,16110017.769600
1950-04-01,183.092875,15819224.400000
1950-04-02,179.727626,15528466.886400
1950-04-03,176.388302,15239949.292800
1950-04-04,173.100990,14955925.536000
1950-04-05,169.892284,14678693.337600
1950-04-06,166.789221,14410588.694400
1950-04-07,163.819191,14153978.102400
1950-04-08,161.009856,13911251.558400
1950-04-09,158.389044,13684813.401600
1950-04-10,155.984643,13477073.155200
1950-04-11,153.824483,13290435.331200
1950-04-12,151.936209,13127288.457600
1950-04-13,150.347147,12989993.500800
1950-04-14,149.084157,12880871.164800
1950-04-15,148.173479,12802188.585600
1950-04-16,147.434898,12738375.187200
1950-04-17,146.673167,12672561.628800
1950-04-18,145.891377,12605014.972800
1950-04-19,145.092557,12535996.924800
1950-04-20,144.279675,12465763.920000
1950-04-21,143.455639,12394567.209600
1950-04-22,142.623297,12322652.860800
1950-04-23,141.785442,12250262.188800
1950-04-24,140.944806,12177631.238400
1950-04-25,140.104069,12104991.561600
1950-04-26,139.265855,12032569.872000
