date,water_m3_s,water_m3_day
1950-01-01,157.590092,13615783.948800
1950-01-02,157.590092,13615783.948800
1950-01-03,157.590092,13615783.948800
1950-01-04,157.590092,13615783.948800
1950-01-05,157.590092,13615783.948800
1950-01-06,157.590092,13615783.948800
1950-01-07,157.590092,13615783.948800
1950-01-08,157.590092,13615783.948800
1950-01-09,157.590092,13615783.948800
1950-01-10,157.590092,13615783.948800
1950-01-11,157.590092,13615783.948800
1950-01-12,157.590092,13615783.948800
1950-01-13,157.590092,13615783.948800
1950-01-14,157.590092,13615783.948800
1950-01-15,157.590092,13615783.948800
1950-01-16,159.311506,13764514.118400
1950-01-17,160.988856,13909437.158400
1950-01-18,162.621304,14050480.665600
1950-01-19,164.208011,14187572.150400
1950-01-20,165.748136,14320638.950400
1950-01-21,167.240841,14449608.662400
1950-01-22,168.685287,14574408.796800
1950-01-23,170.080635,14694966.864000
1950-01-24,171.426045,14811210.288000
1950-01-25,172.720679,14923066.665600
1950-01-26,173.963696,15030463.334400
1950-01-27,175.154259,15133327.977600
1950-01-28,176.291528,15231588.019200
1950-01-29,177.374663,15325170.883200
1950-01-30,178.402826,15414004.166400
1950-01-31,179.375178,15498015.379200
1950-02-01,180.290878,15577131.859200
1950-02-02,181.149089,15651281.289600
1950-02-03,181.948971,15720391.094400
1950-02-04,182.689684,15784388.697600
1950-02-05,183.370391,15843201.782400
1950-02-06,183.990250,15896757.600000
1950-02-07,184.548424,15944983.833600
1950-02-08,185.044073,15987807.907200
1950-02-09,185.476359,16025157.417600
1950-02-10,185.844441,16056959.702400
1950-02-11,186.147481,16083142.358400
1950-02-12,186.384639,16103632.809600
1950-02-13,186.555077,16118358.652800
1950-02-14,186.657955,16127247.312000
1950-02-15,186.692434,16130226.297600
1950-02-16,186.603886,16122575.750400
1950-02-17,186.346369,16100326.281600
1950-02-18,185.932199,16064541.993600
1950-02-19,185.373825,16016298.480000
1950-02-20,184.683793,15956679.715200
1950-02-21,183.874706,15886774.598400
1950-02-22,182.959193,15807674.275200
1950-02-23,181.949876,15720469.286400
1950-02-24,180.859346,15626247.494400
1950-02-25,179.700132,15526091.404800
1950-02-26,178.484686,15421076.870400
1950-02-27,177.225358,15312270.931200
1950-02-28,175.934385,15200730.864000
1950-03-01,174.623873,15087502.627200
1950-03-02,173.305789,14973620.169600
1950-03-03,171.991954,14860104.825600
1950-03-04,170.694035,14747964.624000
1950-03-05,169.423548,14638194.547200
1950-03-06,168.191856,14531776.358400
1950-03-07,167.010173,14429678.947200
1950-03-08,165.889573,14332859.107200
1950-03-09,164.840996,14242262.054400
1950-03-10,163.875267,14158823.068800
1950-03-11,163.003105,14083468.272000
1950-03-12,162.235143,14017116.355200
1950-03-13,161.581954,13960680.825600
1950-03-14,161.054069,13915071.561600
1950-03-15,160.662009,13881197.577600
1950-03-16,160.496687,13866913.756800
1950-03-17,160.627167,13878187.228800
1950-03-18,161.031340,13913107.776000
1950-03-19,161.687274,13969780.473600
1950-03-20,162.573216,14046325.862400
1950-03-21,163.667579,14140878.825600
1950-03-22,164.948949,14251589.193600
1950-03-23,166.396070,14376620.448000
1950-03-24,167.987849,14514150.153600
1950-03-25,169.703347,14662369.180800
1950-03-26,171.521781,14819481.878400
1950-03-27,173.422519,14983705.641600
1950-03-28,175.385078,15153270.739200
1950-03-29,177.389124,15326420.313600
1950-03-30,179.414466,15501409.862400
1950-03-31,181.441063,15676507.843200
1950-04-01,183.449013,15849994.723200
1950-04-02,185.418562,16020163.756800
1950-04-03,187.330099,16185320.553600
1950-04-04,189.164156,16343783.078400
1950-04-05,190.901409,16493881.737600
1950-04-06,192.522682,16633959.724800
1950-04-07,194.008943,16762372.675200
1950-04-08,195.341310,16877489.184000
1950-04-09,196.501051,16977690.806400
1950-04-10,197.469584,17061372.057600
1950-04-11,198.228486,17126941.190400
1950-04-12,198.759487,17172819.676800
1950-04-13,199.044482,17197443.244800
1950-04-14,199.065526,17199261.446400
1950-04-15,198.804847,17176738.780800
1950-04-16,198.311084,17134077.657600
1950-04-17,197.651921,17077125.974400
1950-04-18,196.838307,17006829.724800
1950-04-19,195.881198,16924135.507200
1950-04-20,194.791535,16829988.624000
1950-04-21,193.580220,16725331.008000
1950-04-22,192.258094,16611099.321600
1950-04-23,190.835915,16488223.056000
1950-04-24,189.324342,16357623.148800
1950-04-25,187.733919,16220210.601600
1950-04-26,186.075059,16076885.097600
1950-04-27,184.358035,15928534.224000
1950-04-28,182.592967,15776032.348800
1950-04-29,180.789818,15620240.275200
1950-04-30,178.958383,15462004.291200
1950-05-01,177.108291,15302156.342400
1950-05-02,175.248999,15141513.513600
1950-05-03,173.389793,14980878.115200
1950-05-04,171.539792,14821038.028800
1950-05-05,169.707948,14662766.707200
1950-05-06,167.903060,14506824.384000
1950-05-07,166.133773,14353957.987200
1950-05-08,164.408597,14204902.780800
1950-05-09,162.735912,14060382.796800
1950-05-10,161.123986,13921112.390400
1950-05-11,159.580994,13787797.881600
1950-05-12,158.115030,13661138.592000
1950-05-13,156.734133,13541829.091200
1950-05-14,155.446307,13430560.924800
1950-05-15,154.259546,13328024.774400
1950-05-16,153.129826,13230416.966400
1950-05-17,152.007525,13133450.160000
1950-05-18,150.892251,13037090.486400
1950-05-19,149.783631,12941305.718400
1950-05-20,148.681303,12846064.579200
1950-05-21,147.584926,12751337.606400
1950-05-22,146.494175,12657096.720000
1950-05-23,145.408745,12563315.568000
1950-05-24,144.328354,12469969.785600
1950-05-25,143.252739,12377036.649600
1950-05-26,142.181661,12284495.510400
1950-05-27,141.114906,12192327.878400
1950-05-28,140.052283,12100517.251200
1950-05-29,138.993626,12009049.286400
1950-05-30,137.938796,11917911.974400
1950-05-31,136.887681,11827095.638400
1950-06-01,135.840195,11736592.848000
1950-06-02,134.796282,11646398.764800
1950-06-03,133.755911,11556510.710400
1950-06-04,132.719082,11466928.684800
1950-06-05,131.685822,11377655.020800
1950-06-06,130.656188,11288694.643200
1950-06-07,129.630267,11200055.068800
1950-06-08,128.608172,11111746.060800
1950-06-09,127.590048,11023780.147200
1950-06-10,126.576067,10936172.188800
1950-06-11,125.566433,10848939.811200
1950-06-12,124.561374,10762102.713600
1950-06-13,123.561149,10675683.273600
1950-06-14,122.566046,10589706.374400
1950-06-15,121.576378,10504199.059200
1950-06-16,120.568681,10417134.038400
1950-06-17,119.522146,10326713.414400
1950-06-18,118.441128,10233313.459200
1950-06-19,117.330032,10137314.764800
1950-06-20,116.193332,10039103.884800
1950-06-21,115.035580,9939074.112000
1950-06-22,113.861420,9837626.688000
1950-06-23,112.675591,9735171.062400
1950-06-24,111.482944,9632126.361600
1950-06-25,110.288442,9528921.388800
1950-06-26,109.097173,9425995.747200
1950-06-27,107.914350,9323799.840000
1950-06-28,106.745317,9222795.388800
1950-06-29,105.595557,9123456.124800
1950-06-30,104.470685,9026267.184000
1950-07-01,103.376457,8931725.884800
