date,water_m3_s,water_m3_day
1950-01-01,392.795629,33937542.345600
1950-01-02,394.672910,34099739.424000
1950-01-03,396.494044,34257085.401600
1950-01-04,398.257050,34409409.120000
1950-01-05,399.959946,34556539.334400
1950-01-06,401.600751,34698304.886400
1950-01-07,403.177482,34834534.444800
1950-01-08,404.688158,34965056.851200
1950-01-09,406.130797,35089700.860800
1950-01-10,407.503419,35208295.401600
1950-01-11,408.804040,35320669.056000
1950-01-12,410.030680,35426650.752000
1950-01-13,411.181357,35526069.244800
1950-01-14,412.254089,35618753.289600
1950-01-15,413.246895,35704531.728000
1950-01-16,416.620951,35996050.166400
1950-01-17,420.023114,36289997.049600
1950-01-18,423.451270,36586189.728000
1950-01-19,426.903259,36884441.577600
1950-01-20,430.376867,37184561.308800
1950-01-21,433.869829,37486353.225600
1950-01-22,437.379830,37789617.312000
1950-01-23,440.904500,38094148.800000
1950-01-24,444.441415,38399738.256000
1950-01-25,447.988098,38706171.667200
1950-01-26,451.542014,39013230.009600
1950-01-27,455.100575,39320689.680000
1950-01-28,458.661133,39628321.891200
1950-01-29,462.220985,39935893.104000
1950-01-30,465.777367,40243164.508800
1950-01-31,469.327460,40549892.544000
1950-02-01,472.868381,40855828.118400
1950-02-02,476.397190,41160717.216000
1950-02-03,479.910884,41464300.377600
1950-02-04,483.406400,41766312.960000
1950-02-05,486.880613,42066484.963200
1950-02-06,490.330335,42364540.944000
1950-02-07,493.752314,42660199.929600
1950-02-08,497.143236,42953175.590400
1950-02-09,500.499721,43243175.894400
1950-02-10,503.818326,43529903.366400
1950-02-11,507.095542,43813054.828800
1950-02-12,510.327796,44092321.574400
1950-02-13,513.511446,44367388.934400
1950-02-14,516.642786,44637936.710400
1950-02-15,519.718043,44903638.915200
1950-02-16,522.811622,45170924.140800
1950-02-17,525.983682,45444990.124800
1950-02-18,529.208814,45723641.529600
1950-02-19,532.461421,46004666.774400
1950-02-20,535.715824,46285847.193600
1950-02-21,538.946364,46564965.849600
1950-02-22,542.127496,46839815.654400
1950-02-23,545.233885,47108207.664000
1950-02-24,548.240483,47367977.731200
1950-02-25,551.122612,47616993.676800
1950-02-26,553.856030,47853160.992000
1950-02-27,556.417004,48074429.145600
1950-02-28,558.782361,48278795.990400
1950-03-01,560.929546,48464312.774400
1950-03-02,562.836668,48629088.115200
1950-03-03,564.482539,48771291.369600
1950-03-04,565.846713,48889156.003200
1950-03-05,566.909506,48980981.318400
1950-03-06,567.652027,49045135.132800
1950-03-07,568.056191,49080054.902400
1950-03-08,568.104725,49084248.240000
1950-03-09,567.781178,49056293.779200
1950-03-10,567.069914,48994840.569600
1950-03-11,565.956106,48898607.558400
1950-03-12,564.425718,48766382.035200
1950-03-13,562.465490,48597018.336000
1950-03-14,560.062903,48389434.819200
1950-03-15,557.206155,48142611.792000
1950-03-16,553.654587,47835756.316800
1950-03-17,549.217389,47452382.409600
1950-03-18,543.958364,46998002.649600
1950-03-19,537.941680,46478161.152000
1950-03-20,531.231787,45898426.396800
1950-03-21,523.893333,45264383.971200
1950-03-22,515.991089,44581630.089600
1950-03-23,507.589872,43855764.940800
1950-03-24,498.754476,43092386.726400
1950-03-25,489.549609,42297086.217600
1950-03-26,480.039827,41475441.052800
1950-03-27,470.289477,40633010.812800
1950-03-28,460.362643,39775332.355200
1950-03-29,450.323096,38907915.494400
1950-03-30,440.234248,38036239.027200
1950-03-31,430.159105,37165746.672000
1950-04-01,420.160234,36301844.217600
1950-04-02,410.299724,35449896.153600
1950-04-03,400.639159,34615223.337600
1950-04-04,391.239586,33803100.230400
1950-04-05,382.161495,33018753.168000
1950-04-06,373.464799,32267358.633600
1950-04-07,365.208819,31554041.961600
1950-04-08,357.452271,30883876.214400
1950-04-09,350.253261,30261881.750400
1950-04-10,343.669277,29693025.532800
1950-04-11,337.757195,29182221.648000
1950-04-12,332.573277,28734331.132800
1950-04-13,328.173184,28354163.097600
1950-04-14,324.611985,28046475.504000
1950-04-15,321.944171,27815976.374400
1950-04-16,319.732707,27624905.884800
1950-04-17,317.505962,27432515.116800
1950-04-18,315.266072,27238988.620800
1950-04-19,313.015127,27044506.972800
1950-04-20,310.755160,26849245.824000
1950-04-21,308.488151,26653376.246400
1950-04-22,306.216020,26457064.128000
1950-04-23,303.940630,26260470.432000
1950-04-24,301.663779,26063750.505600
1950-04-25,299.387203,25867054.339200
1950-04-26,297.112571,25670526.134400
1950-04-27,294.841484,25474304.217600
1950-04-28,292.575473,25278520.867200
1950-04-29,290.315996,25083302.054400
1950-04-30,288.064436,24888767.270400
1950-05-01,285.822101,24695029.526400
1950-05-02,283.590220,24502195.008000
1950-05-03,281.369941,24310362.902400
1950-05-04,279.162330,24119625.312000
1950-05-05,276.968368,23930066.995200
1950-05-06,274.788951,23741765.366400
1950-05-07,272.624886,23554790.150400
1950-05-08,270.476889,23369203.209600
1950-05-09,268.345585,23185058.544000
1950-05-10,266.231504,23002401.945600
1950-05-11,264.135081,22821270.998400
1950-05-12,262.056654,22641694.905600
1950-05-13,259.996460,22463694.144000
1950-05-14,257.954634,22287280.377600
1950-05-15,255.931211,22112456.630400
1950-05-16,254.072925,21951900.720000
1950-05-17,252.501687,21816145.756800
1950-05-18,251.174465,21701473.776000
1950-05-19,250.042380,21603661.632000
1950-05-20,249.052854,21518166.585600
1950-05-21,248.151597,21440297.980800
1950-05-22,247.284430,21365374.752000
1950-05-23,246.398967,21288870.748800
1950-05-24,245.446128,21206545.459200
1950-05-25,244.381500,21114561.600000
1950-05-26,243.166541,21009589.142400
1950-05-27,241.769629,20888895.945600
1950-05-28,240.166953,20750424.739200
1950-05-29,238.343246,20592856.454400
1950-05-30,236.292365,20415660.336000
1950-05-31,234.017712,20219130.316800
1950-06-01,231.532499,20004407.913600
1950-06-02,228.859858,19773491.731200
1950-06-03,226.032792,19529233.228800
1950-06-04,223.093971,19275319.094400
1950-06-05,220.095371,19016240.054400
1950-06-06,217.097758,18757246.291200
1950-06-07,214.170012,18504289.036800
1950-06-08,211.388300,18263949.120000
1950-06-09,208.835087,18043351.516800
1950-06-10,206.597993,17850066.595200
1950-06-11,204.768493,17691997.795200
1950-06-12,203.440463,17577256.003200
1950-06-13,202.708565,17514020.016000
1950-06-14,202.666477,17510383.612800
1950-06-15,203.404973,17574189.667200
1950-06-16,204.575822,17675351.020800
1950-06-17,205.770154,17778541.305600
1950-06-18,206.984334,17883446.457600
1950-06-19,208.214682,17989748.524800
1950-06-20,209.457464,18097124.889600
1950-06-21,210.708894,18205248.441600
1950-06-22,211.965124,18313786.713600
1950-06-23,213.222249,18422402.313600
1950-06-24,214.476298,18530752.147200
1950-06-25,215.723239,18638487.849600
1950-06-26,216.958970,18745255.008000
1950-06-27,218.179329,18850694.025600
1950-06-28,219.380082,18954439.084800
1950-06-29,220.556936,19056119.270400
1950-06-30,221.705530,19155357.792000
1950-07-01,222.821442,19251772.588800
1950-07-02,223.900191,19344976.502400
1950-07-03,224.937238,19434577.363200
1950-07-04,225.927991,19520178.422400
1950-07-05,226.867809,19601378.697600
1950-07-06,227.752004,19677773.145600
1950-07-07,228.575850,19748953.440000
1950-07-08,229.334586,19814508.230400
1950-07-09,230.023420,19874023.488000
1950-07-10,230.637542,19927083.628800
1950-07-11,231.172125,19973271.600000
1950-07-12,231.622336,20012169.830400
1950-07-13,231.983343,20043360.835200
1950-07-14,232.250325,20066428.080000
1950-07-15,232.418480,20080956.672000
1950-07-16,232.523223,20090006.467200
1950-07-17,232.603942,20096980.588800
1950-07-18,232.661841,20101983.062400
1950-07-19,232.698147,20105119.900800
1950-07-20,232.714115,20106499.536000
1950-07-21,232.711027,20106232.732800
1950-07-22,232.690189,20104432.329600
1950-07-23,232.652932,20101213.324800
1950-07-24,232.600612,20096692.876800
1950-07-25,232.534609,20090990.217600
1950-07-26,232.456325,20084226.480000
1950-07-27,232.367182,20076524.524800
1950-07-28,232.268624,20068009.113600
1950-07-29,232.162113,20058806.563200
1950-07-30,232.049129,20049044.745600
1950-07-31,231.931167,20038852.828800
1950-08-01,231.809734,20028361.017600
1950-08-02,231.686353,20017700.899200
1950-08-03,231.562552,20007004.492800
1950-08-04,231.439871,19996404.854400
1950-08-05,231.319851,19986035.126400
1950-08-06,231.204039,19976028.969600
1950-08-07,231.093980,19966519.872000
1950-08-08,230.991217,19957641.148800
1950-08-09,230.897289,19949525.769600
1950-08-10,230.813723,19942305.667200
1950-08-11,230.742037,19936111.996800
1950-08-12,230.683733,19931074.531200
1950-08-13,230.640293,19927321.315200
1950-08-14,230.613180,19924978.752000
1950-08-15,230.603828,19924170.739200
1950-08-16,230.890067,19948901.788800
1950-08-17,231.722703,20020841.539200
1950-08-18,233.062343,20136586.435200
1950-08-19,234.869281,20292705.878400
1950-08-20,237.103558,20485747.411200
1950-08-21,239.725023,20712241.987200
1950-08-22,242.693388,20968708.723200
1950-08-23,245.968279,21251659.305600
1950-08-24,249.509289,21557602.569600
1950-08-25,253.276025,21883048.560000
1950-08-26,257.228154,22224512.505600
1950-08-27,261.325448,22578518.707200
1950-08-28,265.527818,22941603.475200
1950-08-29,269.795361,23310319.190400
1950-08-30,274.088388,23681236.723200
1950-08-31,278.367460,24050948.544000
1950-09-01,282.593417,24416071.228800
1950-09-02,286.727410,24773248.224000
1950-09-03,290.730918,25119151.315200
1950-09-04,294.565779,25450483.305600
1950-09-05,298.194203,25763979.139200
1950-09-06,301.578795,26056407.888000
1950-09-07,304.682568,26324573.875200
1950-09-08,307.468955,26565317.712000
1950-09-09,309.901817,26775516.988800
1950-09-10,311.945456,26952087.398400
1950-09-11,313.564612,27091982.476800
1950-09-12,314.724472,27192194.380800
1950-09-13,315.390668,27249753.715200
1950-09-14,315.529269,27261728.841600
1950-09-15,315.106784,27225226.137600
1950-09-16,313.877099,27118981.353600
1950-09-17,311.666558,26927990.611200
1950-09-18,308.551775,26658873.360000
1950-09-19,304.610457,26318343.484800
1950-09-20,299.920973,25913172.067200
1950-09-21,294.561947,25450152.220800
1950-09-22,288.611883,24936066.691200
1950-09-23,282.148818,24377657.875200
1950-09-24,275.250008,23781600.691200
1950-09-25,267.991635,23154477.264000
1950-09-26,260.448550,22502754.720000
1950-09-27,252.694046,21832765.574400
1950-09-28,244.799653,21150690.019200
1950-09-29,236.834970,20462541.408000
1950-09-30,228.867521,19774153.814400
1950-10-01,220.962644,19091172.441600
1950-10-02,213.183406,18419046.278400
1950-10-03,205.590545,17763023.088000
1950-10-04,198.242454,17128148.025600
1950-10-05,191.195173,16519262.947200
1950-10-06,184.502432,15941010.124800
1950-10-07,178.215708,15397837.171200
1950-10-08,172.384315,14894004.816000
1950-10-09,167.055530,14433597.792000
1950-10-10,162.274738,14020537.363200
1950-10-11,158.085615,13658597.136000
1950-10-12,154.530330,13351420.512000
1950-10-13,151.649789,13102541.769600
1950-10-14,149.483898,12915408.787200
1950-10-15,148.071859,12793408.617600
1950-10-16,147.630242,12755252.908800
1950-10-17,148.285717,12811885.948800
1950-10-18,149.942189,12955005.129600
1950-10-19,152.504008,13176346.291200
1950-10-20,155.876660,13467743.424000
1950-10-21,159.967388,13821182.323200
1950-10-22,164.685751,14228848.886400
1950-10-23,169.944122,14683172.140800
1950-10-24,175.658123,15176861.827200
1950-10-25,181.746995,15702940.368000
1950-10-26,188.133907,16254769.564800
1950-10-27,194.746199,16826071.593600
1950-10-28,201.515566,17410944.902400
1950-10-29,208.378177,18003874.492800
1950-10-30,215.274726,18599736.326400
1950-10-31,222.150433,19193797.411200
1950-11-01,228.954964,19781708.889600
1950-11-02,235.642305,20359495.152000
1950-11-03,242.170563,20923536.643200
1950-11-04,248.501705,21470547.312000
1950-11-05,254.601236,21997546.790400
1950-11-06,260.437815,22501827.216000
1950-11-07,265.982804,22980914.265600
1950-11-08,271.209756,23432522.918400
1950-11-09,276.093843,23854508.035200
1950-11-10,280.611214,24244808.889600
1950-11-11,284.738296,24601388.774400
1950-11-12,288.451032,24922169.164800
1950-11-13,291.724048,25204957.747200
1950-11-14,294.529768,25447371.955200
1950-11-15,296.837459,25646756.457600
