date,water_m3_s,water_m3_day
1950-01-01,186.792669,16138886.601600
1950-01-02,186.792669,16138886.601600
1950-01-03,186.792669,16138886.601600
1950-01-04,186.792669,16138886.601600
1950-01-05,186.792669,16138886.601600
1950-01-06,186.792669,16138886.601600
1950-01-07,186.792669,16138886.601600
1950-01-08,186.792669,16138886.601600
1950-01-09,186.792669,16138886.601600
1950-01-10,186.792669,16138886.601600
1950-01-11,186.792669,16138886.601600
1950-01-12,186.792669,16138886.601600
1950-01-13,186.792669,16138886.601600
1950-01-14,186.792669,16138886.601600
1950-01-15,186.792669,16138886.601600
1950-01-16,188.328542,16271586.028800
1950-01-17,189.819222,16400380.780800
1950-01-18,191.264359,16525240.617600
1950-01-19,192.663602,16646135.212800
1950-01-20,194.016601,16763034.326400
1950-01-21,195.323007,16875907.804800
1950-01-22,196.582469,16984725.321600
1950-01-23,197.794638,17089456.723200
1950-01-24,198.959162,17190071.596800
1950-01-25,200.075693,17286539.875200
1950-01-26,201.143880,17378831.232000
1950-01-27,202.163372,17466915.340800
1950-01-28,203.133821,17550762.134400
1950-01-29,204.054875,17630341.200000
1950-01-30,204.926185,17705622.384000
1950-01-31,205.747400,17776575.360000
1950-02-01,206.518171,17843169.974400
1950-02-02,207.238148,17905375.987200
1950-02-03,207.906979,17963162.985600
1950-02-04,208.524316,18016500.902400
1950-02-05,209.089808,18065359.411200
1950-02-06,209.603106,18109708.358400
1950-02-07,210.063858,18149517.331200
1950-02-08,210.471715,18184756.176000
1950-02-09,210.826327,18215394.652800
1950-02-10,211.127344,18241402.521600
1950-02-11,211.374415,18262749.456000
1950-02-12,211.567192,18279405.388800
1950-02-13,211.705322,18291339.820800
1950-02-14,211.788457,18298522.684800
1950-02-15,211.816247,18300923.740800
1950-02-16,211.720953,18292690.339200
1950-02-17,211.443779,18268742.505600
1950-02-18,210.997918,18230220.115200
1950-02-19,210.396705,18178275.312000
1950-02-20,209.653574,18114068.793600
1950-02-21,208.782021,18038766.614400
1950-02-22,207.795567,17953536.988800
1950-02-23,206.707730,17859547.872000
1950-02-24,205.531989,17757963.849600
1950-02-25,204.281765,17649944.496000
1950-02-26,202.970393,17536641.955200
1950-02-27,201.611104,17419199.385600
1950-02-28,200.217006,17298749.318400
1950-03-01,198.801074,17176412.793600
1950-03-02,197.376133,17053297.891200
1950-03-03,195.954857,16930499.644800
1950-03-04,194.549758,16809099.091200
1950-03-05,193.173189,16690163.529600
1950-03-06,191.837341,16574746.262400
1950-03-07,190.554250,16463887.200000
1950-03-08,189.335804,16358613.465600
1950-03-09,188.193751,16259940.086400
1950-03-10,187.139716,16168871.462400
1950-03-11,186.185214,16086402.489600
1950-03-12,185.341672,16013520.460800
1950-03-13,184.620449,15951206.793600
1950-03-14,184.032864,15900439.449600
1950-03-15,183.590223,15862195.267200
1950-03-16,183.423684,15847806.297600
1950-03-17,183.637775,15866303.760000
1950-03-18,184.204039,15915228.969600
1950-03-19,185.094252,15992143.372800
1950-03-20,186.280414,16094627.769600
1950-03-21,187.734749,16220282.313600
1950-03-22,189.429691,16366725.302400
1950-03-23,191.337889,16531593.609600
1950-03-24,193.432193,16712541.475200
1950-03-25,195.685659,16907240.937600
1950-03-26,198.071538,17113380.883200
1950-03-27,200.563278,17328667.219200
1950-03-28,203.134519,17550822.441600
1950-03-29,205.759091,17777585.462400
1950-03-30,208.411012,18006711.436800
1950-03-31,211.064488,18235971.763200
1950-04-01,213.693910,18463153.824000
1950-04-02,216.273855,18686061.072000
1950-04-03,218.779084,18902512.857600
1950-04-04,221.184544,19110344.601600
1950-04-05,223.465370,19307407.968000
1950-04-06,225.596882,19491570.604800
1950-04-07,227.554590,19660716.576000
1950-04-08,229.314194,19812746.361600
1950-04-09,230.851589,19945577.289600
1950-04-10,232.142864,20057143.449600
1950-04-11,233.164310,20145396.384000
1950-04-12,233.892418,20208304.915200
1950-04-13,234.303887,20243855.836800
1950-04-14,234.375630,20250054.432000
1950-04-15,234.084773,20224924.387200
1950-04-16,233.546342,20178403.948800
1950-04-17,232.895068,20122133.875200
1950-04-18,232.137830,20056708.512000
1950-04-19,231.281526,19982723.846400
1950-04-20,230.333056,19900776.038400
1950-04-21,229.299315,19811460.816000
1950-04-22,228.187170,19715371.488000
1950-04-23,227.003460,19613098.944000
1950-04-24,225.754977,19505230.012800
1950-04-25,224.448456,19392346.598400
1950-04-26,223.090572,19275025.420800
1950-04-27,221.687924,19153836.633600
1950-04-28,220.247033,19029343.651200
1950-04-29,218.774332,18902102.284800
1950-04-30,217.276163,18772660.483200
1950-05-01,215.758769,18641557.641600
1950-05-02,214.228290,18509324.256000
1950-05-03,212.690762,18376481.836800
1950-05-04,211.152114,18243542.649600
1950-05-05,209.618164,18111009.369600
1950-05-06,208.094619,17979375.081600
1950-05-07,206.587078,17849123.539200
1950-05-08,205.101029,17720728.905600
1950-05-09,203.641852,17594656.012800
1950-05-10,202.214824,17471360.793600
1950-05-11,200.825117,17351290.108800
1950-05-12,199.477807,17234882.524800
1950-05-13,198.177879,17122568.745600
1950-05-14,196.930229,17014771.785600
1950-05-15,195.739675,16911907.920000
1950-05-16,194.457022,16801086.700800
1950-05-17,192.942400,16670223.360000
1950-05-18,191.214438,16520927.443200
1950-05-19,189.291646,16354798.214400
1950-05-20,187.192447,16173427.420800
1950-05-21,184.935209,15978402.057600
1950-05-22,182.538278,15771307.219200
1950-05-23,180.020009,15553728.777600
1950-05-24,177.398788,15327255.283200
1950-05-25,174.693060,15093480.384000
1950-05-26,171.921357,14854005.244800
1950-05-27,169.102310,14610439.584000
1950-05-28,166.254680,14364404.352000
1950-05-29,163.397365,14117532.336000
1950-05-30,160.549424,13871470.233600
1950-05-31,157.730086,13627879.430400
1950-06-01,154.958767,13388437.468800
1950-06-02,152.255073,13154838.307200
1950-06-03,149.638816,12928793.702400
1950-06-04,147.130015,12712033.296000
1950-06-05,144.748903,12506305.219200
1950-06-06,142.515930,12313376.352000
1950-06-07,140.451759,12135031.977600
1950-06-08,138.577273,11973076.387200
1950-06-09,136.913563,11829331.843200
1950-06-10,135.481931,11705638.838400
1950-06-11,134.303876,11603854.886400
1950-06-12,133.401091,11525854.262400
1950-06-13,132.795448,11473526.707200
1950-06-14,132.508987,11448776.476800
1950-06-15,132.563902,11453521.132800
1950-06-16,132.833609,11476823.817600
1950-06-17,133.174070,11506239.648000
1950-06-18,133.581420,11541434.688000
1950-06-19,134.051807,11582076.124800
1950-06-20,134.581383,11627831.491200
1950-06-21,135.166300,11678368.320000
1950-06-22,135.802697,11733353.020800
1950-06-23,136.486699,11792450.793600
1950-06-24,137.214405,11855324.592000
1950-06-25,137.981888,11921635.123200
1950-06-26,138.785186,11991040.070400
1950-06-27,139.620300,12063193.920000
1950-06-28,140.483186,12137747.270400
1950-06-29,141.369756,12214346.918400
1950-06-30,142.275871,12292635.254400
