date,water_m3_s,water_m3_day
1950-01-01,135.551395,11711640.528000
1950-01-02,135.551395,11711640.528000
1950-01-03,135.551395,11711640.528000
1950-01-04,135.551395,11711640.528000
1950-01-05,135.551395,11711640.528000
1950-01-06,135.551395,11711640.528000
1950-01-07,135.551395,11711640.528000
1950-01-08,135.551395,11711640.528000
1950-01-09,135.551395,11711640.528000
1950-01-10,135.551395,11711640.528000
1950-01-11,135.551395,11711640.528000
1950-01-12,135.551395,11711640.528000
1950-01-13,135.551395,11711640.528000
1950-01-14,135.551395,11711640.528000
1950-01-15,135.551395,11711640.528000
1950-01-16,137.138302,11848749.292800
1950-01-17,138.717615,11985201.936000
1950-01-18,140.286416,12120746.342400
1950-01-19,141.841783,12255130.051200
1950-01-20,143.380798,12388100.947200
1950-01-21,144.900540,12519406.656000
1950-01-22,146.398090,12648794.976000
1950-01-23,147.870528,12776013.619200
1950-01-24,149.314935,12900810.384000
1950-01-25,150.728391,13022932.982400
1950-01-26,152.107975,13142129.040000
1950-01-27,153.450769,13258146.441600
1950-01-28,154.753853,13370732.899200
1950-01-29,156.014306,13479636.038400
1950-01-30,157.229210,13584603.744000
1950-01-31,158.395644,13685383.641600
1950-02-01,159.510689,13781723.529600
1950-02-02,160.571425,13873371.120000
1950-02-03,161.574932,13960074.124800
1950-02-04,162.518291,14041580.342400
1950-02-05,163.398581,14117637.398400
1950-02-06,164.212884,14187993.177600
1950-02-07,164.958279,14252395.305600
1950-02-08,165.631847,14310591.580800
1950-02-09,166.230668,14362329.715200
1950-02-10,166.751822,14407357.420800
1950-02-11,167.192390,14445422.496000
1950-02-12,167.549452,14476272.652800
1950-02-13,167.820088,14499655.603200
1950-02-14,168.001378,14515319.059200
1950-02-15,168.090403,14523010.819200
1950-02-16,168.227877,14534888.572800
1950-02-17,168.550220,14562739.008000
1950-02-18,169.048051,14605751.606400
1950-02-19,169.711957,14663113.084800
1950-02-20,170.532504,14734008.345600
1950-02-21,171.500236,14817620.390400
1950-02-22,172.605686,14913131.270400
1950-02-23,173.839376,15019722.086400
1950-02-24,175.191820,15136573.248000
1950-02-25,176.653533,15262865.251200
1950-02-26,178.215028,15397778.419200
1950-02-27,179.866822,15540493.420800
1950-02-28,181.599438,15690191.443200
1950-03-01,183.403406,15846054.278400
1950-03-02,185.269266,16007264.582400
1950-03-03,187.187568,16173005.875200
1950-03-04,189.148875,16342462.800000
1950-03-05,191.143760,16514820.864000
1950-03-06,193.162812,16689266.956800
1950-03-07,195.196628,16864988.659200
1950-03-08,197.235821,17041174.934400
1950-03-09,199.271012,17217015.436800
1950-03-10,201.292833,17391700.771200
1950-03-11,203.291924,17564422.233600
1950-03-12,205.258932,17734371.724800
1950-03-13,207.184506,17900741.318400
1950-03-14,209.059299,18062723.433600
1950-03-15,210.873959,18219510.057600
1950-03-16,212.834437,18388895.356800
1950-03-17,215.143522,18588400.300800
1950-03-18,217.786697,18816770.620800
1950-03-19,220.748869,19072702.281600
1950-03-20,224.014344,19354839.321600
1950-03-21,227.566812,19661772.556800
1950-03-22,231.389323,19992037.507200
1950-03-23,235.464274,20344113.273600
1950-03-24,239.773380,20716420.032000
1950-03-25,244.297664,21107318.169600
1950-03-26,249.017427,21515105.692800
1950-03-27,253.912233,21938016.931200
1950-03-28,258.960889,22374220.809600
1950-03-29,264.141420,22821818.688000
1950-03-30,269.431050,23278842.720000
1950-03-31,274.806183,23743254.211200
1950-04-01,280.242375,24212941.200000
1950-04-02,285.714320,24685717.248000
1950-04-03,291.195824,25159319.193600
1950-04-04,296.659782,25631405.164800
1950-04-05,302.078159,26099552.937600
1950-04-06,307.421965,26561257.776000
1950-04-07,312.661233,27013930.531200
1950-04-08,317.764998,27454895.827200
1950-04-09,322.701269,27881389.641600
1950-04-10,327.437013,28290557.923200
1950-04-11,331.938125,28679454.000000
1950-04-12,336.169408,29045036.851200
1950-04-13,340.094550,29384169.120000
1950-04-14,343.676096,29693614.694400
1950-04-15,346.875427,29970036.892800
1950-04-16,349.819219,30224380.521600
1950-04-17,352.660852,30469897.612800
1950-04-18,355.400972,30706643.980800
1950-04-19,358.040382,30934689.004800
1950-04-20,360.580073,31154118.307200
1950-04-21,363.021269,31365037.641600
1950-04-22,365.365449,31567574.793600
1950-04-23,367.614388,31761883.123200
1950-04-24,369.770177,31948143.292800
1950-04-25,371.835254,32126565.945600
1950-04-26,373.812426,32297393.606400
1950-04-27,375.704892,32460902.668800
1950-04-28,377.516261,32617404.950400
1950-04-29,379.250572,32767249.420800
1950-04-30,380.912304,32910823.065600
1950-05-01,382.506394,33048552.441600
1950-05-02,384.038246,33180904.454400
1950-05-03,385.513738,33308386.963200
1950-05-04,386.939229,33431549.385600
1950-05-05,388.321565,33550983.216000
1950-05-06,389.668076,33667321.766400
1950-05-07,390.986579,33781240.425600
1950-05-08,392.285377,33893456.572800
1950-05-09,393.573249,34004728.713600
1950-05-10,394.859447,34115856.220800
1950-05-11,396.153682,34227678.124800
1950-05-12,397.466120,34341072.768000
1950-05-13,398.807359,34456955.817600
1950-05-14,400.188421,34576279.574400
1950-05-15,401.620729,34700030.985600
1950-05-16,403.133139,34830703.209600
1950-05-17,404.739104,34969458.585600
1950-05-18,406.427177,35115308.092800
1950-05-19,408.185827,35267255.452800
1950-05-20,410.003426,35424296.006400
1950-05-21,411.868233,35585415.331200
1950-05-22,413.768387,35749588.636800
1950-05-23,415.691891,35915779.382400
1950-05-24,417.626614,36082939.449600
1950-05-25,419.560274,36250007.673600
1950-05-26,421.480443,36415910.275200
1950-05-27,423.374542,36579560.428800
1950-05-28,425.229842,36739858.348800
1950-05-29,427.033462,36895691.116800
1950-05-30,428.772379,37045933.545600
1950-05-31,430.433430,37189448.352000
1950-06-01,432.003320,37325086.848000
1950-06-02,433.468631,37451689.718400
1950-06-03,434.815835,37568088.144000
1950-06-04,436.031307,37673104.924800
1950-06-05,437.101341,37765555.862400
1950-06-06,438.012162,37844250.796800
1950-06-07,438.749953,37907995.939200
1950-06-08,439.300869,37955595.081600
1950-06-09,439.651066,37985852.102400
1950-06-10,439.786718,37997572.435200
1950-06-11,439.694051,37989566.006400
1950-06-12,439.359368,37960649.395200
1950-06-13,438.769079,37909648.425600
1950-06-14,437.909734,37835401.017600
1950-06-15,436.768060,37736760.384000
1950-06-16,434.886669,37574208.201600
1950-06-17,431.861401,37312825.046400
1950-06-18,427.759990,36958463.136000
1950-06-19,422.651690,36517106.016000
1950-06-20,416.607453,35994883.939200
1950-06-21,409.700090,35398087.776000
1950-06-22,402.004398,34733179.987200
1950-06-23,393.597263,34006803.523200
1950-06-24,384.557741,33225788.822400
1950-06-25,374.967112,32397158.476800
1950-06-26,364.908906,31528129.478400
1950-06-27,354.468908,30626113.651200
1950-06-28,343.735132,29698715.404800
1950-06-29,332.797774,28753727.673600
1950-06-30,321.749139,27799125.609600
1950-07-01,310.683541,26843057.942400
1950-07-02,299.697176,25893836.006400
1950-07-03,288.887972,24959920.780800
1950-07-04,278.355417,24049908.028800
1950-07-05,268.200351,23172510.326400
1950-07-06,258.524744,22336537.881600
1950-07-07,249.431443,21550876.675200
1950-07-08,241.023888,20824463.923200
1950-07-09,233.405819,20166262.761600
1950-07-10,226.680936,19585232.870400
1950-07-11,220.952553,19090300.579200
1950-07-12,216.323212,18690325.516800
1950-07-13,212.894281,18394065.878400
1950-07-14,210.765521,18210141.014400
1950-07-15,210.034631,18146992.118400
1950-07-16,210.200963,18161363.203200
1950-07-17,210.685746,18203248.454400
1950-07-18,211.467482,18270790.444800
1950-07-19,212.524458,18362113.171200
1950-07-20,213.834791,18475325.942400
1950-07-21,215.376468,18608526.835200
1950-07-22,217.127379,18759805.545600
1950-07-23,219.065358,18927246.931200
1950-07-24,221.168211,19108933.430400
1950-07-25,223.413753,19302948.259200
1950-07-26,225.779831,19507377.398400
1950-07-27,228.244361,19720312.790400
1950-07-28,230.785343,19939853.635200
1950-07-29,233.380893,20164109.155200
1950-07-30,236.009261,20391200.150400
1950-07-31,238.648854,20619260.985600
1950-08-01,241.278249,20846440.713600
1950-08-02,243.876214,21070904.889600
1950-08-03,246.421721,21290836.694400
1950-08-04,248.893956,21504437.798400
1950-08-05,251.272333,21709929.571200
1950-08-06,253.536497,21905553.340800
1950-08-07,255.666338,22089571.603200
1950-08-08,257.641990,22260267.936000
1950-08-09,259.443832,22415947.084800
1950-08-10,261.052497,22554935.740800
1950-08-11,262.448862,22675581.676800
1950-08-12,263.614049,22776253.833600
1950-08-13,264.529420,22855341.888000
1950-08-14,265.176568,22911255.475200
1950-08-15,265.537311,22942423.670400
1950-08-16,265.682825,22954996.080000
1950-08-17,265.700902,22956557.932800
1950-08-18,265.598501,22947710.486400
1950-08-19,265.382656,22929061.478400
1950-08-20,265.060459,22901223.657600
1950-08-21,264.639042,22864813.228800
1950-08-22,264.125570,22820449.248000
1950-08-23,263.527226,22768752.326400
1950-08-24,262.851196,22710343.334400
1950-08-25,262.104664,22645842.969600
1950-08-26,261.294802,22575870.892800
1950-08-27,260.428758,22501044.691200
1950-08-28,259.513650,22421979.360000
1950-08-29,258.556561,22339286.870400
1950-08-30,257.564532,22253575.564800
1950-08-31,256.544557,22165449.724800
1950-09-01,255.503582,22075509.484800
1950-09-02,254.448496,21984350.054400
1950-09-03,253.386137,21892562.236800
1950-09-04,252.323285,21800731.824000
1950-09-05,251.266667,21709440.028800
1950-09-06,250.222952,21619263.052800
1950-09-07,249.198759,21530772.777600
1950-09-08,248.200657,21444536.764800
1950-09-09,247.235169,21361118.601600
1950-09-10,246.308778,21281078.419200
1950-09-11,245.427930,21204973.152000
1950-09-12,244.599044,21133357.401600
1950-09-13,243.828519,21066784.041600
1950-09-14,243.122743,21005804.995200
1950-09-15,242.488098,20950971.667200
1950-09-16,241.937764,20903422.809600
1950-09-17,241.476518,20863571.155200
1950-09-18,241.098200,20830884.480000
1950-09-19,240.796716,20804836.262400
1950-09-20,240.566034,20784905.337600
1950-09-21,240.400172,20770574.860800
1950-09-22,240.293193,20761331.875200
1950-09-23,240.239201,20756666.966400
1950-09-24,240.232333,20756073.571200
1950-09-25,240.266756,20759047.718400
1950-09-26,240.336662,20765087.596800
1950-09-27,240.436260,20773692.864000
1950-09-28,240.559780,20784364.992000
1950-09-29,240.701464,20796606.489600
1950-09-30,240.855564,20809920.729600
1950-10-01,241.016342,20823811.948800
1950-10-02,241.178069,20837785.161600
1950-10-03,241.335019,20851345.641600
1950-10-04,241.481475,20863999.440000
1950-10-05,241.611725,20875253.040000
1950-10-06,241.720061,20884613.270400
1950-10-07,241.800784,20891587.737600
1950-10-08,241.848203,20895684.739200
1950-10-09,241.856636,20896413.350400
1950-10-10,241.820415,20893283.856000
1950-10-11,241.733886,20885807.750400
1950-10-12,241.591415,20873498.256000
1950-10-13,241.387390,20855870.496000
1950-10-14,241.116225,20832441.840000
1950-10-15,240.772368,20802732.595200
1950-10-16,240.371109,20768063.817600
1950-10-17,239.928849,20729852.553600
1950-10-18,239.441867,20687777.308800
1950-10-19,238.906676,20641536.806400
1950-10-20,238.320069,20590853.961600
1950-10-21,237.679167,20535480.028800
1950-10-22,236.981461,20475198.230400
1950-10-23,236.224850,20409827.040000
1950-10-24,235.407670,20339222.688000
1950-10-25,234.528732,20263282.444800
1950-10-26,233.587339,20181946.089600
