date,water_m3_day
1950-01-01,227014446.873600
1950-01-02,227636080.963200
1950-01-03,228239122.896000
1950-01-04,228822916.377600
1950-01-05,229386805.459200
1950-01-06,229930133.846400
1950-01-07,230452245.158400
1950-01-08,230952483.446400
1950-01-09,231430192.416000
1950-01-10,231884715.859200
1950-01-11,232315397.568000
1950-01-12,232721581.420800
1950-01-13,233102611.209600
1950-01-14,233457830.726400
1950-01-15,233786583.763200
1950-01-16,235606614.364800
1950-01-17,237449174.630400
1950-01-18,239312679.638400
1950-01-19,241195524.422400
1950-01-20,243096082.675200
1950-01-21,245012706.489600
1950-01-22,246943726.012800
1950-01-23,248887448.928000
1950-01-24,250842159.676800
1950-01-25,252806118.940800
1950-01-26,254777563.296000
1950-01-27,256754705.472000
1950-01-28,258735732.278400
1950-01-29,260718805.296000
1950-01-30,262702060.876800
1950-01-31,264683608.588800
1950-02-01,266661531.561600
1950-02-02,268633885.708800
1950-02-03,270598700.160000
1950-02-04,272553975.532800
1950-02-05,274497685.401600
1950-02-06,276427774.483200
1950-02-07,278342158.550400
1950-02-08,280238725.296000
1950-02-09,282115332.432000
1950-02-10,283969808.985600
1950-02-11,285799954.003200
1950-02-12,287603536.723200
1950-02-13,289378296.230400
1950-02-14,291121941.369600
1950-02-15,292832151.091200
1950-02-16,294541853.212800
1950-02-17,296280273.916800
1950-02-18,298039457.318400
1950-02-19,299811402.259200
1950-02-20,301588099.113600
1950-02-21,303361565.126400
1950-02-22,305123877.158400
1950-02-23,306867203.481600
1950-02-24,308583832.550400
1950-02-25,310266200.563200
1950-02-26,311906916.172800
1950-02-27,313498783.728000
1950-02-28,315034824.700800
1950-03-01,316508297.472000
1950-03-02,317912712.796800
1950-03-03,319241850.912000
1950-03-04,320489773.632000
1950-03-05,321650835.926400
1950-03-06,322719695.078400
1950-03-07,323691317.942400
1950-03-08,324560986.387200
1950-03-09,325324299.283200
1950-03-10,325977176.131200
1950-03-11,326515853.865600
1950-03-12,326936885.731200
1950-03-13,327237135.408000
1950-03-14,327413771.222400
1950-03-15,327464256.816000
1950-03-16,327374255.404800
1950-03-17,327137561.395200
1950-03-18,326764196.409600
1950-03-19,326264344.761600
1950-03-20,325648314.748800
1950-03-21,324926499.772800
1950-03-22,324109343.260800
1950-03-23,323207302.723200
1950-03-24,322230818.736000
1950-03-25,321190282.281600
1950-03-26,320096005.977600
1950-03-27,318958195.996800
1950-03-28,317786925.369600
1950-03-29,316592110.569600
1950-03-30,315383486.889600
1950-03-31,314170589.606400
1950-04-01,312962730.652800
1950-04-02,311768984.707200
1950-04-03,310598170.704000
1950-04-04,309458836.454400
1950-04-05,308359247.673600
1950-04-06,307307375.452800
1950-04-07,306310885.718400
1950-04-08,305377133.702400
1950-04-09,304513154.524800
1950-04-10,303725660.428800
1950-04-11,303021037.411200
1950-04-12,302405342.976000
1950-04-13,301884306.739200
1950-04-14,301463332.848000
1950-04-15,301147502.227200
1950-04-16,300846497.414400
1950-04-17,300470459.817600
1950-04-18,300024916.617600
1950-04-19,299515388.601600
1950-04-20,298947388.867200
1950-04-21,298326425.846400
1950-04-22,297658001.145600
1950-04-23,296947613.347200
1950-04-24,296200756.540800
1950-04-25,295422923.433600
1950-04-26,294619605.523200
1950-04-27,293796295.257600
1950-04-28,292958487.676800
1950-04-29,292111683.436800
1950-04-30,291261388.723200
1950-05-01,290413120.262400
1950-05-02,289572405.926400
1950-05-03,288744788.448000
1950-05-04,287935828.444800
1950-05-05,287151106.838400
1950-05-06,286396228.483200
1950-05-07,285676826.659200
1950-05-08,284998564.972800
1950-05-09,284367142.713600
1950-05-10,283788298.396800
1950-05-11,283267813.564800
1950-05-12,282811518.144000
1950-05-13,282425295.369600
1950-05-14,282115084.377600
1950-05-15,281886888.412800
1950-05-16,281889774.086400
1950-05-17,282251581.430400
1950-05-18,282946415.587200
1950-05-19,283948322.515200
1950-05-20,285231385.238400
1950-05-21,286769813.097600
1950-05-22,288538025.817600
1950-05-23,290510728.588800
1950-05-24,292662982.742400
1950-05-25,294970266.921600
1950-05-26,297408536.265600
1950-05-27,299954268.374400
1950-05-28,302584509.532800
1950-05-29,305276908.406400
1950-05-30,308009746.972800
1950-05-31,310761963.331200
1950-06-01,313513166.822400
1950-06-02,316243648.915200
1950-06-03,318934384.588800
1950-06-04,321567029.740800
1950-06-05,324123910.300800
1950-06-06,326588004.086400
1950-06-07,328942917.734400
1950-06-08,331172856.460800
1950-06-09,333262586.044800
1950-06-10,335197389.369600
1950-06-11,336963015.014400
1950-06-12,338545621.094400
1950-06-13,339931710.460800
1950-06-14,341108059.852800
1950-06-15,342061644.124800
1950-06-16,342715022.352000
1950-06-17,343008580.003200
1950-06-18,342956737.411200
1950-06-19,342574769.750400
1950-06-20,341878845.744000
1950-06-21,340886066.889600
1950-06-22,339614493.638400
1950-06-23,338083164.921600
1950-06-24,336312114.134400
1950-06-25,334322372.419200
1950-06-26,332135967.974400
1950-06-27,329775918.451200
1950-06-28,327266211.859200
1950-06-29,324631786.003200
1950-06-30,321898495.046400
1950-07-01,319093072.185600
1950-07-02,316243083.427200
1950-07-03,313376874.883200
1950-07-04,310523511.859200
1950-07-05,307712710.512000
1950-07-06,304974763.459200
1950-07-07,302340456.230400
1950-07-08,299840977.411200
1950-07-09,297507821.616000
1950-07-10,295372683.820800
1950-07-11,293467347.820800
1950-07-12,291823566.739200
1950-07-13,290472934.550400
1950-07-14,289446754.233600
1950-07-15,288775893.398400
1950-07-16,288285191.078400
1950-07-17,287779963.449600
1950-07-18,287261373.369600
1950-07-19,286730572.636800
1950-07-20,286188706.828800
1950-07-21,285636918.499200
1950-07-22,285076346.832000
1950-07-23,284508134.553600
1950-07-24,283933426.550400
1950-07-25,283353374.275200
1950-07-26,282769136.611200
1950-07-27,282181881.945600
1950-07-28,281592789.984000
1950-07-29,281003052.960000
1950-07-30,280413876.240000
1950-07-31,279826480.396800
1950-08-01,279242101.036800
1950-08-02,278661989.664000
1950-08-03,278087414.371200
1950-08-04,277519660.358400
1950-08-05,276960028.550400
1950-08-06,276409836.806400
1950-08-07,275870419.401600
1950-08-08,275343125.212800
1950-08-09,274829318.582400
1950-08-10,274330378.022400
1950-08-11,273847693.622400
1950-08-12,273382667.654400
1950-08-13,272936711.721600
1950-08-14,272511246.326400
1950-08-15,272107696.896000
1950-08-16,271797396.912000
1950-08-17,271643333.616000
1950-08-18,271634309.827200
1950-08-19,271759004.121600
1950-08-20,272005991.395200
1950-08-21,272363764.809600
1950-08-22,272820756.441600
1950-08-23,273365355.859200
1950-08-24,273985928.438400
1950-08-25,274670833.334400
1950-08-26,275408439.897600
1950-08-27,276187143.225600
1950-08-28,276995377.987200
1950-08-29,277821633.369600
1950-08-30,278654464.656000
1950-08-31,279482506.099200
1950-09-01,280294480.944000
1950-09-02,281079211.622400
1950-09-03,281825628.912000
1950-09-04,282522780.057600
1950-09-05,283159835.251200
1950-09-06,283726094.976000
1950-09-07,284210993.548800
1950-09-08,284604105.513600
1950-09-09,284895146.764800
1950-09-10,285073979.731200
1950-09-11,285130611.907200
1950-09-12,285055197.580800
1950-09-13,284838038.870400
1950-09-14,284469582.873600
1950-09-15,283940418.988800
1950-09-16,283231865.289600
1950-09-17,282340380.758400
1950-09-18,281279438.870400
1950-09-19,280062570.297600
1950-09-20,278703323.251200
1950-09-21,277215228.662400
1950-09-22,275611765.622400
1950-09-23,273906330.883200
1950-09-24,272112209.481600
1950-09-25,270242547.955200
1950-09-26,268310329.891200
1950-09-27,266328354.326400
1950-09-28,264309216.393600
1950-09-29,262265288.572800
1950-09-30,260208706.694400
1950-10-01,258151356.892800
1950-10-02,256104865.670400
1950-10-03,254080590.739200
1950-10-04,252089616.355200
1950-10-05,250142749.948800
1950-10-06,248250519.619200
1950-10-07,246423177.072000
1950-10-08,244670699.520000
1950-10-09,243002797.200000
1950-10-10,241428920.198400
1950-10-11,239958270.547200
1950-10-12,238599812.851200
1950-10-13,237362291.481600
1950-10-14,236254246.387200
1950-10-15,235284034.780800
1950-10-16,234449390.822400
1950-10-17,233733845.894400
1950-10-18,233124398.265600
1950-10-19,232608259.267200
1950-10-20,232172989.113600
1950-10-21,231806621.577600
1950-10-22,231497772.940800
1950-10-23,231235741.267200
1950-10-24,231010588.828800
1950-10-25,230813215.113600
1950-10-26,230635413.676800
1950-10-27,230469918.192000
1950-10-28,230310434.073600
1950-10-29,230151658.089600
1950-10-30,229989282.854400
1950-10-31,229819991.644800
1950-11-01,229641436.195200
1950-11-02,229452205.420800
1950-11-03,229251777.379200
1950-11-04,229040460.777600
1950-11-05,228819322.569600
1950-11-06,228590101.641600
1950-11-07,228355110.662400
1950-11-08,228117124.368000
1950-11-09,227879254.886400
1950-11-10,227644814.188800
1950-11-11,227417161.593600
1950-11-12,227199542.544000
1950-11-13,226994908.464000
1950-11-14,226805729.270400
1950-11-15,226633788.777600
1950-11-16,226486649.059200
1950-11-17,226371730.838400
1950-11-18,226289864.678400
1950-11-19,226241759.318400
1950-11-20,226228014.288000
1950-11-21,226249129.324800
1950-11-22,226305515.433600
1950-11-23,226397505.340800
1950-11-24,226525362.480000
1950-11-25,226689287.644800
1950-11-26,226889429.184000
1950-11-27,227125889.481600
1950-11-28,227398730.572800
1950-11-29,227707981.056000
1950-11-30,228053641.622400
1950-12-01,228435688.684800
1950-12-02,228854079.043200
1950-12-03,229308753.254400
1950-12-04,229799638.742400
1950-12-05,230326650.921600
1950-12-06,230889694.838400
1950-12-07,231488667.849600
1950-12-08,232123457.203200
1950-12-09,232793940.729600
1950-12-10,233499987.273600
1950-12-11,234241451.251200
1950-12-12,235018175.328000
1950-12-13,235829982.038400
1950-12-14,236676675.081600
1950-12-15,237558031.632000
1950-12-16,238482081.360000
1950-12-17,239454927.302400
1950-12-18,240473407.305600
1950-12-19,241534323.014400
1950-12-20,242634439.267200
1950-12-21,243770484.009600
