date,price_eur_kwh
1950-01-01,0.195121
1950-01-02,0.195482
1950-01-03,0.195831
1950-01-04,0.196167
1950-01-05,0.196490
1950-01-06,0.196800
1950-01-07,0.197098
1950-01-08,0.197382
1950-01-09,0.197654
1950-01-10,0.197912
1950-01-11,0.198157
1950-01-12,0.198389
1950-01-13,0.198608
1950-01-14,0.198813
1950-01-15,0.199004
1950-01-16,0.199182
1950-01-17,0.199347
1950-01-18,0.199498
1950-01-19,0.199635
1950-01-20,0.199758
1950-01-21,0.199868
1950-01-22,0.199964
1950-01-23,0.200046
1950-01-24,0.200114
1950-01-25,0.200169
1950-01-26,0.200209
1950-01-27,0.200236
1950-01-28,0.200248
1950-01-29,0.200247
1950-01-30,0.200232
1950-01-31,0.200203
1950-02-01,0.200160
1950-02-02,0.200103
1950-02-03,0.200033
1950-02-04,0.199948
1950-02-05,0.199850
1950-02-06,0.199738
1950-02-07,0.199612
1950-02-08,0.199473
1950-02-09,0.199319
1950-02-10,0.199153
1950-02-11,0.198972
1950-02-12,0.198778
1950-02-13,0.198571
1950-02-14,0.198350
1950-02-15,0.198116
1950-02-16,0.197869
1950-02-17,0.197608
1950-02-18,0.197334
1950-02-19,0.197047
1950-02-20,0.196748
1950-02-21,0.196435
1950-02-22,0.196110
1950-02-23,0.195772
1950-02-24,0.195421
1950-02-25,0.195058
1950-02-26,0.194682
1950-02-27,0.194295
1950-02-28,0.193895
1950-03-01,0.193483
1950-03-02,0.193059
1950-03-03,0.192624
1950-03-04,0.192176
1950-03-05,0.191718
1950-03-06,0.191248
1950-03-07,0.190766
1950-03-08,0.190274
1950-03-09,0.189771
1950-03-10,0.189256
1950-03-11,0.188732
1950-03-12,0.188196
1950-03-13,0.187651
1950-03-14,0.187095
1950-03-15,0.186529
1950-03-16,0.185953
1950-03-17,0.185368
1950-03-18,0.184773
1950-03-19,0.184169
1950-03-20,0.183556
1950-03-21,0.182934
1950-03-22,0.182303
1950-03-23,0.181663
1950-03-24,0.181015
1950-03-25,0.180359
1950-03-26,0.179695
