date,evaporation_m3_day
1950-01-01,158866.122365
1950-01-02,158866.122365
1950-01-03,158866.122365
1950-01-04,158866.122365
1950-01-05,158866.122365
1950-01-06,158866.122365
1950-01-07,158866.122365
1950-01-08,158866.122365
1950-01-09,158866.122365
1950-01-10,158866.122365
1950-01-11,158866.122365
1950-01-12,158866.122365
1950-01-13,158866.122365
1950-01-14,158866.122365
1950-01-15,158866.122365
1950-01-16,158866.122365
1950-01-17,158866.122365
1950-01-18,158866.122365
1950-01-19,158866.122365
1950-01-20,158866.122365
1950-01-21,158866.122365
1950-01-22,158866.122365
1950-01-23,158866.122365
1950-01-24,158866.122365
1950-01-25,158866.122365
1950-01-26,158866.122365
1950-01-27,158866.122365
1950-01-28,158866.122365
1950-01-29,158866.122365
1950-01-30,158866.122365
1950-01-31,158866.122365
1950-02-01,216087.938419
1950-02-02,216087.938419
1950-02-03,216087.938419
1950-02-04,216087.938419
1950-02-05,216087.938419
1950-02-06,216087.938419
1950-02-07,216087.938419
1950-02-08,216087.938419
1950-02-09,216087.938419
1950-02-10,216087.938419
1950-02-11,216087.938419
1950-02-12,216087.938419
1950-02-13,216087.938419
1950-02-14,216087.938419
1950-02-15,216087.938419
1950-02-16,216087.938419
1950-02-17,216087.938419
1950-02-18,216087.938419
1950-02-19,216087.938419
1950-02-20,216087.938419
1950-02-21,216087.938419
1950-02-22,216087.938419
1950-02-23,216087.938419
1950-02-24,216087.938419
1950-02-25,216087.938419
1950-02-26,216087.938419
1950-02-27,216087.938419
1950-02-28,216087.938419
1950-03-01,226695.853616
1950-03-02,226695.853616
1950-03-03,226695.853616
1950-03-04,226695.853616
1950-03-05,226695.853616
1950-03-06,226695.853616
1950-03-07,226695.853616
1950-03-08,226695.853616
1950-03-09,226695.853616
1950-03-10,226695.853616
1950-03-11,226695.853616
1950-03-12,226695.853616
1950-03-13,226695.853616
1950-03-14,226695.853616
1950-03-15,226695.853616
1950-03-16,226695.853616
1950-03-17,226695.853616
1950-03-18,226695.853616
1950-03-19,226695.853616
1950-03-20,226695.853616
1950-03-21,226695.853616
1950-03-22,226695.853616
1950-03-23,226695.853616
1950-03-24,226695.853616
1950-03-25,226695.853616
1950-03-26,226695.853616
1950-03-27,226695.853616
1950-03-28,226695.853616
1950-03-29,226695.853616
1950-03-30,226695.853616
1950-03-31,226695.853616
1950-04-01,188060.849905
1950-04-02,188060.849905
1950-04-03,188060.849905
1950-04-04,188060.849905
1950-04-05,188060.849905
1950-04-06,188060.849905
1950-04-07,188060.849905
1950-04-08,188060.849905
1950-04-09,188060.849905
1950-04-10,188060.849905
1950-04-11,188060.849905
1950-04-12,188060.849905
1950-04-13,188060.849905
1950-04-14,188060.849905
1950-04-15,188060.849905
1950-04-16,188060.849905
1950-04-17,188060.849905
1950-04-18,188060.849905
1950-04-19,188060.849905
1950-04-20,188060.849905
1950-04-21,188060.849905
1950-04-22,188060.849905
1950-04-23,188060.849905
1950-04-24,188060.849905
1950-04-25,188060.849905
1950-04-26,188060.849905
1950-04-27,188060.849905
1950-04-28,188060.849905
1950-04-29,188060.849905
1950-04-30,188060.849905
1950-05-01,113664.276057
1950-05-02,113664.276057
1950-05-03,113664.276057
1950-05-04,113664.276057
1950-05-05,113664.276057
1950-05-06,113664.276057
1950-05-07,113664.276057
1950-05-08,113664.276057
1950-05-09,113664.276057
1950-05-10,113664.276057
1950-05-11,113664.276057
1950-05-12,113664.276057
1950-05-13,113664.276057
1950-05-14,113664.276057
1950-05-15,113664.276057
1950-05-16,113664.276057
1950-05-17,113664.276057
1950-05-18,113664.276057
1950-05-19,113664.276057
1950-05-20,113664.276057
1950-05-21,113664.276057
1950-05-22,113664.276057
1950-05-23,113664.276057
1950-05-24,113664.276057
1950-05-25,113664.276057
1950-05-26,113664.276057
1950-05-27,113664.276057
1950-05-28,113664.276057
1950-05-29,113664.276057
1950-05-30,113664.276057
1950-05-31,113664.276057
1950-06-01,99961.478263
1950-06-02,99961.478263
1950-06-03,99961.478263
1950-06-04,99961.478263
1950-06-05,99961.478263
1950-06-06,99961.478263
1950-06-07,99961.478263
1950-06-08,99961.478263
1950-06-09,99961.478263
1950-06-10,99961.478263
1950-06-11,99961.478263
1950-06-12,99961.478263
1950-06-13,99961.478263
1950-06-14,99961.478263
1950-06-15,99961.478263
1950-06-16,99961.478263
1950-06-17,99961.478263
1950-06-18,99961.478263
1950-06-19,99961.478263
1950-06-20,99961.478263
1950-06-21,99961.478263
1950-06-22,99961.478263
1950-06-23,99961.478263
1950-06-24,99961.478263
1950-06-25,99961.478263
1950-06-26,99961.478263
1950-06-27,99961.478263
1950-06-28,99961.478263
1950-06-29,99961.478263
1950-06-30,99961.478263
1950-07-01,84310.076049
1950-07-02,84310.076049
1950-07-03,84310.076049
1950-07-04,84310.076049
1950-07-05,84310.076049
1950-07-06,84310.076049
1950-07-07,84310.076049
1950-07-08,84310.076049
1950-07-09,84310.076049
1950-07-10,84310.076049
1950-07-11,84310.076049
1950-07-12,84310.076049
1950-07-13,84310.076049
1950-07-14,84310.076049
1950-07-15,84310.076049
1950-07-16,84310.076049
1950-07-17,84310.076049
1950-07-18,84310.076049
1950-07-19,84310.076049
1950-07-20,84310.076049
1950-07-21,84310.076049
1950-07-22,84310.076049
1950-07-23,84310.076049
1950-07-24,84310.076049
1950-07-25,84310.076049
1950-07-26,84310.076049
1950-07-27,84310.076049
1950-07-28,84310.076049
1950-07-29,84310.076049
1950-07-30,84310.076049
1950-07-31,84310.076049
1950-08-01,76124.561770
1950-08-02,76124.561770
1950-08-03,76124.561770
1950-08-04,76124.561770
1950-08-05,76124.561770
1950-08-06,76124.561770
1950-08-07,76124.561770
1950-08-08,76124.561770
1950-08-09,76124.561770
1950-08-10,76124.561770
1950-08-11,76124.561770
1950-08-12,76124.561770
1950-08-13,76124.561770
1950-08-14,76124.561770
1950-08-15,76124.561770
1950-08-16,76124.561770
1950-08-17,76124.561770
1950-08-18,76124.561770
1950-08-19,76124.561770
1950-08-20,76124.561770
1950-08-21,76124.561770
1950-08-22,76124.561770
1950-08-23,76124.561770
1950-08-24,76124.561770
1950-08-25,76124.561770
1950-08-26,76124.561770
1950-08-27,76124.561770
1950-08-28,76124.561770
1950-08-29,76124.561770
1950-08-30,76124.561770
1950-08-31,76124.561770
1950-09-01,81608.928740
1950-09-02,81608.928740
1950-09-03,81608.928740
1950-09-04,81608.928740
1950-09-05,81608.928740
1950-09-06,81608.928740
1950-09-07,81608.928740
1950-09-08,81608.928740
1950-09-09,81608.928740
1950-09-10,81608.928740
1950-09-11,81608.928740
1950-09-12,81608.928740
1950-09-13,81608.928740
1950-09-14,81608.928740
1950-09-15,81608.928740
1950-09-16,81608.928740
1950-09-17,81608.928740
1950-09-18,81608.928740
1950-09-19,81608.928740
1950-09-20,81608.928740
1950-09-21,81608.928740
1950-09-22,81608.928740
1950-09-23,81608.928740
1950-09-24,81608.928740
1950-09-25,81608.928740
1950-09-26,81608.928740
1950-09-27,81608.928740
1950-09-28,81608.928740
1950-09-29,81608.928740
1950-09-30,81608.928740
1950-10-01,56226.676210
1950-10-02,56226.676210
1950-10-03,56226.676210
1950-10-04,56226.676210
1950-10-05,56226.676210
1950-10-06,56226.676210
1950-10-07,56226.676210
1950-10-08,56226.676210
1950-10-09,56226.676210
1950-10-10,56226.676210
1950-10-11,56226.676210
1950-10-12,56226.676210
1950-10-13,56226.676210
1950-10-14,56226.676210
1950-10-15,56226.676210
1950-10-16,56226.676210
1950-10-17,56226.676210
1950-10-18,56226.676210
1950-10-19,56226.676210
1950-10-20,56226.676210
1950-10-21,56226.676210
1950-10-22,56226.676210
1950-10-23,56226.676210
1950-10-24,56226.676210
1950-10-25,56226.676210
1950-10-26,56226.676210
1950-10-27,56226.676210
1950-10-28,56226.676210
