# Cairo	Aswand	Merowe	Karthoum	Singa	Kashm	Tsengh	Ozentari	Tana	Roseires	GERD	SouthWest	Victoria
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
8464.01250	22716.98713	10447.06916	7853.78044	4881.54448	1032.11217	2652.29918	1075.67467	770.39670	548.89875	6921.87944	50819.09121	11150.76582
7912.26258	21103.48634	9624.53506	7154.77600	4427.35045	936.80511	2418.05116	998.89386	709.89591	496.51771	6362.21198	46155.52196	10401.06908
7373.85261	19526.69559	8827.91586	6495.66764	3999.91390	847.75475	2196.87434	924.98306	652.86986	447.14022	5835.53201	41768.29225	9608.55582
6884.39522	18037.63617	8066.68395	5878.07886	3599.63328	762.72753	1986.24101	862.96630	598.51775	400.97417	5332.51032	37600.47839	8820.12811
6420.42731	16604.47548	7324.11320	5290.04997	3211.39398	680.08197	1784.35418	795.11442	546.32335	356.93344	4853.13179	33725.62926	8214.48138
5958.92848	15212.82387	6602.68372	4706.68577	2829.85926	599.12299	1590.65881	730.99961	498.49362	313.69145	4399.75656	30039.42919	7889.58827
5522.15992	13874.33011	5904.84920	4144.13253	2465.85232	521.25590	1403.84489	669.89208	453.76784	272.16442	3994.30853	26463.77799	7509.83225
5122.73526	12619.90296	5245.70632	3615.79170	2126.74649	448.40536	1225.75861	612.39175	410.66905	233.38011	3585.73288	23005.77227	7178.26092
4759.38387	11479.77222	4631.07225	3118.98318	1805.28950	379.87887	1058.07688	568.54469	370.56801	196.71335	3206.82043	19816.15786	7002.01391
4402.53393	10399.37841	4055.06359	2638.05363	1495.40413	315.88171	897.69319	528.36134	328.83391	161.03487	2818.86285	16671.04322	6496.65755
4036.96659	9325.50963	3503.65802	2172.86155	1198.68766	255.38089	746.58288	496.46796	290.17701	127.05693	2456.26400	13705.12309	6217.32489
3676.54699	8260.51339	2980.17150	1732.25873	921.79337	199.24575	604.64440	460.26729	252.76130	94.79248	2104.96903	10999.24346	6138.57350
3330.20812	7208.08804	2472.99852	1311.38976	655.62857	145.59071	468.70260	427.90882	218.96260	64.09845	1798.99500	8438.37361	5998.86126
2985.82877	6153.51890	1973.60088	894.51328	396.58839	93.28981	337.80822	384.86874	184.80621	34.34587	1485.32147	5834.65420	5524.25246
2626.81645	5097.95946	1481.33133	484.55464	146.05512	40.89167	211.53248	344.01745	152.65446	5.55721	1180.49620	3441.59964	5256.44315
2288.06407	4061.92916	1000.47052	90.29761	0.00000	0.00000	88.18690	301.35800	121.57554	0.00000	885.27428	971.49656	4817.45991
1968.13046	3044.50266	533.38259	0.00000	0.00000	0.00000	0.00000	265.37413	94.03525	0.00000	605.17766	0.00000	4295.44874
1684.25854	2079.82562	92.00052	0.00000	0.00000	0.00000	0.00000	243.82324	67.19223	0.00000	334.91416	0.00000	4141.59080
1472.34813	1323.94673	0.00000	0.00000	0.00000	0.00000	0.00000	230.27120	43.06314	0.00000	81.11149	0.00000	3832.24174
1280.75382	707.45212	0.00000	0.00000	0.00000	0.00000	0.00000	224.87208	19.12642	0.00000	0.00000	0.00000	3912.02014
1099.59030	126.71559	0.00000	0.00000	0.00000	0.00000	0.00000	210.00094	0.00000	0.00000	0.00000	0.00000	4011.37366
944.99292	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	187.69251	0.00000	0.00000	0.00000	0.00000	4985.14414
765.54130	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	151.43227	0.00000	0.00000	0.00000	0.00000	5340.44872
524.63101	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	120.69349	0.00000	0.00000	0.00000	0.00000	5536.92670
304.38251	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	86.77525	0.00000	0.00000	0.00000	0.00000	5473.95474
115.36713	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	52.72109	0.00000	0.00000	0.00000	0.00000	5435.30392
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	22.43925	0.00000	0.00000	0.00000	0.00000	5830.40791
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	6057.65505
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	5563.66590
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	5346.72847
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2.38097	0.00000	0.00000	0.00000	0.00000	5786.99429
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	68.44718	0.00000	0.00000	0.00000	0.00000	6389.79298
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	174.75655	40.97624	0.00000	340.71451	0.00000	6208.09592
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	205.76115	29.77442	0.00000	402.09136	0.00000	7695.33695
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	234.42094	33.45501	0.00000	693.81594	0.00000	11116.96913
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	345.48871	91.41466	0.00000	1218.38458	528.09940	12778.54439
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	345.58530	88.60099	0.00000	1382.66710	0.00000	12539.36536
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	350.57642	89.38925	0.00000	1217.72160	0.00000	12520.93678
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	348.84794	77.09122	0.00000	960.02873	0.00000	12493.38378
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	341.91645	97.10500	0.00000	701.46523	0.00000	12364.13383
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	303.79712	80.64360	0.00000	468.91471	0.00000	12341.24968
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	264.32860	98.45594	0.00000	263.47714	0.00000	13195.55667
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	225.82888	73.75597	0.00000	62.05394	0.00000	13958.51803
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	189.50486	49.39608	0.00000	0.00000	0.00000	13400.14750
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	154.72608	25.23170	0.00000	0.00000	0.00000	12691.87066
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	121.86683	1.63888	0.00000	0.00000	0.00000	12866.65681
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	94.49299	0.00000	0.00000	0.00000	0.00000	12648.46427
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	73.84900	0.00000	0.00000	0.00000	0.00000	12336.49336
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	76.99563	0.00000	0.00000	0.00000	0.00000	13105.76066
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	64.37655	0.00000	0.00000	0.00000	0.00000	13229.97168
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	51.00167	0.00000	0.00000	0.00000	0.00000	12849.97264
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	34.42534	0.00000	0.00000	0.00000	0.00000	12297.73077
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	9.63932	0.00000	0.00000	0.00000	0.00000	11871.92651
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	5.34060	0.00000	0.00000	0.00000	0.00000	11411.20219
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	11400.59629
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	36.00622	0.00000	0.00000	0.00000	11732.26305
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	63.31316	0.00000	0.00000	0.00000	11797.54643
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	71.47032	0.00000	0.00000	533.10953	13223.66630
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	74.57612	0.00000	0.00000	0.00000	14156.31902
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	55.12559	0.00000	0.00000	0.00000	14997.32041
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	27.69455	0.00000	0.00000	0.00000	15335.32276
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.83981	0.00000	0.00000	0.00000	15419.94382
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	14870.11215
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	13847.81104
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	12866.96546
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	11862.87189
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	10889.14287
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	9977.53181
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	9447.14512
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	6.07402	0.00000	0.00000	0.00000	0.00000	9274.04175
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	74.84003	0.00000	0.00000	0.00000	0.00000	10836.50367
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	103.79031	0.00000	0.00000	0.00000	0.00000	12800.05828
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	267.31718	0.00000	0.00000	201.37921	0.00000	13840.08925
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	275.88689	0.00000	0.00000	400.79768	0.00000	13841.38944
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	265.87418	0.00000	0.00000	239.11072	0.00000	13478.79682
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	258.37259	20.40220	0.00000	151.53111	0.00000	12795.22197
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	136.83573	397.93258	10.40895	0.00000	607.72877	0.00000	13357.92914
