NodeNr	Lat	Lon
0	27.74	31.67
0	25.42	32.65
0	24.65	33.20
1	23.21	32.94
1	21.67	33.55
1	20.04	30.38
1	17.78	28.81
1	14.74	29.42
1	17.06	31.99
2	19.63	32.54
2	18.35	35.83
2	16.45	33.86
2	14.81	38.27
3	14.88	32.31
3	12.54	30.55
3	11.25	33.29
3	13.13	33.05
4	14.94	34.08
4	13.45	34.69
4	11.84	36.04
5	15.23	35.38
5	14.73	36.41
6	13.39	36.38
6	13.92	39.16
6	13.91	36.21
7	12.88	38.07
7	12.75	39.26
8	12.28	37.40
8	11.41	37.11
9	11.69	34.36
9	10.91	34.56
10	10.91	34.56
10	10.12	36.86
10	11.80	39.01
10	9.31	37.73
11	14.03	26.35
11	9.32	27.41
11	5.68	30.90
11	2.48	33.54
11	7.92	34.78
11	9.69	31.27
12	-0.17	31.37
12	-1.83	30.42
12	-1.86	34.52
12	-1.94	35.10
