# era5_prcp_-0.17_31.37  era5_prcp_-1.86_34.52  era5_prcp_-1.94_35.1  era5_prcp_-1.83_30.42
7.737 8.871 10.477 6.539
1.407 23.796 32.654 7.392
0.136 2.857 10.850 2.113
5.126 9.820 15.903 5.259
5.884 10.494 21.624 0.797
0.965 6.219 11.571 1.710
3.590 5.935 10.776 0.804
0.092 13.096 11.409 7.393
1.435 3.755 9.122 0.318
4.027 2.332 8.030 1.009
2.361 5.368 10.154 8.165
1.196 2.114 0.491 8.298
6.615 0.850 1.436 14.518
9.475 0.487 0.061 6.997
7.612 0.248 0.041 12.971
2.627 0.113 0.139 3.091
0.248 0.054 0.121 0.743
1.334 1.584 0.271 0.095
0.824 0.008 0.067 1.048
5.137 0.060 0.025 1.715
0.412 0.074 0.071 0.433
6.951 3.832 7.164 10.828
4.771 3.170 7.872 0.679
3.669 0.987 0.169 0.651
0.719 0.237 0.272 0.384
0.361 0.008 0.016 0.106
0.060 0.009 0.001 0.019
0.001 0.023 0.002 0.002
0.580 0.003 0.006 0.002
0.753 0.033 0.003 0.004
0.373 0.003 0.003 0.151
0.035 0.003 0.011 0.005
0.418 0.005 0.004 0.033
0.409 3.651 1.388 2.251
4.830 16.651 10.622 9.894
6.225 2.340 8.369 4.809
17.750 10.070 19.596 6.658
0.598 12.132 18.518 12.730
9.256 8.683 0.074 9.169
3.865 0.070 0.001 6.022
0.412 0.001 0.001 0.764
0.488 0.029 0.002 0.267
2.050 0.012 0.005 0.342
1.475 0.011 0.044 0.195
1.298 0.440 0.034 4.962
2.372 1.692 0.011 11.808
14.822 18.248 11.534 21.094
2.644 9.045 9.152 3.186
2.261 7.406 5.611 0.431
1.800 2.373 8.658 1.148
8.671 10.147 12.153 10.787
3.631 6.936 5.959 2.287
5.401 15.382 4.604 10.024
7.490 3.104 4.439 4.978
4.035 1.055 0.001 5.015
4.935 11.250 0.557 4.689
14.811 12.606 15.570 11.423
0.314 5.809 13.704 0.261
1.484 11.620 13.422 1.513
15.257 10.300 4.657 20.123
0.317 4.753 2.825 3.741
6.792 4.608 1.799 2.209
5.109 12.223 19.147 3.511
0.299 7.768 2.989 2.707
3.767 13.477 0.626 1.695
2.030 7.004 0.716 0.570
4.462 3.340 1.334 5.391
2.794 1.103 0.935 0.637
6.257 0.318 0.148 5.212
1.017 0.009 0.214 0.350
0.311 0.000 0.000 0.609
0.464 0.004 0.054 0.465
0.329 0.007 0.029 0.010
0.843 0.001 0.026 3.866
0.950 4.831 2.607 0.355
4.866 0.320 0.091 4.512
10.502 0.000 0.000 3.777
1.081 3.944 0.028 0.985
0.173 8.564 5.349 1.950
0.782 6.889 17.343 3.853
1.085 10.667 4.180 0.379
26.102 19.379 78.710 19.441
3.111 45.671 120.355 2.345
4.756 1.731 1.081 3.730
4.858 13.279 15.936 7.156
13.517 12.382 23.384 17.853
11.274 29.771 21.791 5.806
0.094 7.417 12.387 1.955
0.948 3.497 7.389 6.457
2.075 7.575 16.674 1.151
3.117 8.773 3.513 4.632
3.276 8.471 3.651 4.661
4.942 1.322 0.114 8.837
3.044 10.981 1.583 1.493
3.945 0.264 0.323 0.861
4.698 0.206 0.128 1.726
0.668 0.558 0.147 0.404
4.945 7.054 1.595 1.536
2.544 7.791 0.868 1.343
3.085 0.124 0.049 7.591
0.733 0.059 0.078 1.705
3.015 1.434 0.482 0.638
4.299 0.328 0.226 2.927
4.255 0.326 0.268 1.852
12.900 8.273 1.882 13.508
3.192 8.171 14.258 15.256
7.470 5.888 14.629 6.089
8.595 4.038 2.653 7.975
6.711 3.720 0.880 0.426
3.305 2.984 0.834 2.246
11.839 0.178 0.085 4.110
5.647 0.352 0.082 0.490
5.360 2.237 0.265 6.000
3.725 2.829 1.896 9.908
2.056 0.220 0.068 9.337
3.489 0.056 0.031 0.543
3.586 0.093 0.125 1.611
4.288 0.910 0.180 1.012
4.813 2.501 0.203 5.442
9.362 11.229 1.135 3.097
2.890 4.064 2.971 7.512
4.595 14.946 5.384 5.873
5.021 9.733 11.813 1.826
0.966 13.731 7.374 4.236
2.459 0.390 0.424 4.909
2.010 0.186 0.241 1.215
2.551 4.501 2.842 0.726
4.848 1.137 3.486 0.930
1.006 3.650 1.763 0.450
4.261 5.744 8.095 4.409
5.070 11.258 12.104 15.500
3.129 1.991 2.791 5.188
6.556 0.406 0.464 1.687
7.959 0.502 0.267 13.103
7.695 0.066 0.002 5.305
0.800 0.015 0.274 1.470
0.243 2.889 0.564 0.106
0.412 0.416 5.303 0.016
4.639 0.277 0.727 0.349
1.311 0.070 0.072 0.166
1.185 0.003 0.001 0.001
0.379 0.048 0.083 0.102
2.163 0.843 0.135 1.806
2.732 0.605 0.184 6.832
4.725 0.270 0.206 0.772
4.269 0.012 0.006 0.480
3.416 0.133 0.008 0.000
0.614 0.167 0.369 0.000
0.628 0.060 0.082 0.432
1.343 0.003 0.002 0.000
1.957 0.000 0.000 0.000
0.400 0.002 0.049 0.004
0.550 0.311 1.916 0.074
3.214 0.686 6.347 0.134
2.592 5.555 6.840 0.475
2.735 4.603 12.071 12.059
4.046 4.540 5.379 2.987
2.567 7.541 2.532 6.085
0.500 0.064 0.025 0.216
1.453 0.022 0.427 0.016
1.144 0.550 0.312 0.281
0.443 0.149 0.373 0.007
0.464 0.120 0.240 0.011
0.237 0.083 0.280 0.001
4.082 0.433 0.175 0.000
0.002 0.404 0.557 0.000
0.108 0.202 0.280 0.000
7.312 0.019 0.051 0.003
8.988 0.003 0.000 0.114
1.277 0.018 0.049 0.026
0.988 0.052 0.136 0.213
0.770 0.001 0.026 0.001
0.004 0.001 0.070 0.001
0.093 0.003 0.043 0.002
0.018 0.058 0.107 0.002
0.016 0.002 0.023 0.002
0.048 0.996 0.037 0.001
0.504 0.102 0.632 0.001
3.762 0.005 0.025 0.025
1.941 0.000 0.000 0.013
1.200 0.001 0.016 0.002
0.030 0.006 0.002 0.002
0.107 0.001 0.001 0.021
0.002 0.000 0.002 0.000
0.001 0.001 0.001 0.001
0.001 0.001 0.003 0.001
0.001 0.006 0.046 0.001
0.129 0.027 0.067 0.000
0.006 0.007 0.000 0.001
0.001 0.036 0.034 0.000
0.006 0.102 0.237 0.003
0.036 0.141 0.056 0.003
1.715 0.034 0.033 0.001
2.574 0.001 0.001 0.040
0.082 0.000 0.000 0.000
0.013 0.002 0.033 0.001
0.501 0.013 0.160 0.002
0.018 0.003 0.069 0.000
0.351 0.053 0.233 0.002
0.176 0.003 0.001 0.001
0.192 0.001 0.001 0.001
0.425 0.206 0.077 0.007
0.482 0.002 0.002 0.004
0.250 0.000 0.019 0.000
0.381 0.016 0.305 0.003
0.219 0.325 0.488 0.002
0.572 0.191 0.021 0.007
1.592 0.004 0.005 0.007
0.915 0.392 1.157 0.004
0.050 0.162 0.112 0.001
0.674 0.001 0.016 0.001
0.200 0.006 0.003 0.001
0.751 0.021 0.046 0.000
7.862 0.024 0.070 0.000
0.285 0.001 0.001 0.001
0.000 0.000 0.000 0.000
0.803 0.001 0.001 0.001
0.741 0.008 0.252 0.003
1.177 0.028 0.310 0.000
0.030 0.069 0.146 0.001
0.023 0.111 0.172 0.000
6.045 0.053 0.113 0.006
11.321 0.002 0.002 0.162
0.002 0.001 0.001 0.001
0.589 0.001 0.014 0.000
0.773 0.012 0.002 0.000
0.018 0.001 0.068 0.001
0.177 0.000 0.000 0.000
0.001 0.118 0.034 0.001
0.001 0.001 0.001 0.001
0.000 0.000 0.003 0.000
0.001 0.483 0.139 0.001
0.026 0.012 0.620 0.002
0.058 0.022 0.042 0.002
0.144 0.002 0.002 0.002
0.366 0.268 1.186 0.000
8.969 0.437 0.533 0.031
0.828 0.005 0.037 0.023
4.513 0.022 0.100 0.010
0.604 0.492 0.580 0.068
14.485 0.027 0.164 8.921
11.480 0.001 0.004 0.886
4.253 0.000 0.002 0.004
3.162 0.015 0.026 0.006
5.276 0.038 0.019 0.863
2.978 1.911 0.563 3.659
5.701 1.319 3.429 9.371
