date,river_discharge_m3s,quality_flag
2005-01-01,442.05267786615536,stub
2005-01-02,484.2347036076504,stub
2005-01-03,466.2874611555697,stub
2005-01-04,477.882544778737,stub
2005-01-05,403.39018446133355,stub
2005-01-06,438.74843289221803,stub
2005-01-07,455.9866243783546,stub
2005-01-08,434.85730893749997,stub
2005-01-09,451.65095292818006,stub
2005-01-10,473.1940199225982,stub
2005-01-11,419.5067633331597,stub
2005-01-12,417.1190939276974,stub
2005-01-13,441.9709425827323,stub
2005-01-14,426.660178586392,stub
2005-01-15,419.3643746883442,stub
2005-01-16,409.05933627691115,stub
2005-01-17,424.965056498537,stub
2005-01-18,406.33058903868096,stub
2005-01-19,429.81885122263867,stub
2005-01-20,421.8016599329297,stub
2005-01-21,426.6209063260071,stub
2005-01-22,424.0339464224887,stub
2005-01-23,393.2716900653592,stub
2005-01-24,401.49202574940756,stub
2005-01-25,399.8698065205494,stub
2005-01-26,404.1217589660609,stub
2005-01-27,392.73478084469883,stub
2005-01-28,378.5982307542896,stub
2005-01-29,355.8020374247979,stub
2005-01-30,392.12388331760224,stub
2005-01-31,340.8441445085987,stub
