date,river_discharge_m3s,quality_flag
2005-01-01,1392.1654306711857,stub
2005-01-02,1333.1704704432045,stub
2005-01-03,1389.7039136995725,stub
2005-01-04,1225.3013211975133,stub
2005-01-05,1352.7538430817588,stub
2005-01-06,1292.2317344873675,stub
2005-01-07,1245.0137082662802,stub
2005-01-08,1305.0269480197373,stub
2005-01-09,1219.5456326601247,stub
2005-01-10,1363.6039494788595,stub
2005-01-11,1203.8147817814172,stub
2005-01-12,1182.0366567841352,stub
2005-01-13,1221.2281788396576,stub
2005-01-14,1263.6546469262057,stub
2005-01-15,1146.7514360138375,stub
2005-01-16,1216.8550789947099,stub
2005-01-17,1192.032076081101,stub
2005-01-18,1143.962207647858,stub
2005-01-19,1205.574288636261,stub
2005-01-20,1125.9447213680664,stub
2005-01-21,1201.7775862385417,stub
2005-01-22,1197.3752280735341,stub
2005-01-23,1141.7909845768954,stub
2005-01-24,1099.4984468462833,stub
2005-01-25,1215.6748541355025,stub
2005-01-26,1216.0575712459658,stub
2005-01-27,1068.3809065605765,stub
2005-01-28,1160.793609383373,stub
2005-01-29,1025.5657447995802,stub
2005-01-30,1035.9180944284303,stub
2005-01-31,1096.3926047012542,stub
