date,river_discharge_m3s,quality_flag
2005-01-01,847.8859469651591,stub
2005-01-02,832.0234406976307,stub
2005-01-03,834.8171231927774,stub
2005-01-04,887.0720078884499,stub
2005-01-05,887.2233916667536,stub
2005-01-06,892.1031621240693,stub
2005-01-07,866.672190664821,stub
2005-01-08,834.0508497607243,stub
2005-01-09,881.543606258632,stub
2005-01-10,745.7901834606952,stub
2005-01-11,852.9818858210624,stub
2005-01-12,807.4123456688174,stub
2005-01-13,782.6002520100002,stub
2005-01-14,785.7012380493156,stub
2005-01-15,764.1641939211972,stub
2005-01-16,807.9662947876925,stub
2005-01-17,733.8794214261205,stub
2005-01-18,795.5205721831302,stub
2005-01-19,736.8907453982957,stub
2005-01-20,780.387039822855,stub
2005-01-21,769.1990153434045,stub
2005-01-22,657.8783448029731,stub
2005-01-23,735.8994391200757,stub
2005-01-24,708.9967921126744,stub
2005-01-25,706.7081230070663,stub
2005-01-26,749.4885289704604,stub
2005-01-27,809.0699338285268,stub
2005-01-28,723.3839062517784,stub
2005-01-29,751.9242501802357,stub
2005-01-30,700.9983827561992,stub
2005-01-31,733.602589273622,stub
