date,river_discharge_m3s,quality_flag
2005-01-01,1602.4699451572797,stub
2005-01-02,1643.2569968671771,stub
2005-01-03,1737.7501543375065,stub
2005-01-04,1597.4861796443113,stub
2005-01-05,1640.0816567985225,stub
2005-01-06,1544.2274244947237,stub
2005-01-07,1595.3223342626268,stub
2005-01-08,1514.2584846319544,stub
2005-01-09,1438.6570631183115,stub
2005-01-10,1394.674413110045,stub
2005-01-11,1406.7948102036096,stub
2005-01-12,1487.2518649217861,stub
2005-01-13,1431.1260810616327,stub
2005-01-14,1585.6328754356994,stub
2005-01-15,1433.6824475029644,stub
2005-01-16,1550.9925123787405,stub
2005-01-17,1356.9474905530453,stub
2005-01-18,1461.6069355286743,stub
2005-01-19,1370.9036485893719,stub
2005-01-20,1423.8073609011985,stub
2005-01-21,1360.3049388497245,stub
2005-01-22,1205.6689436272125,stub
2005-01-23,1333.1184088284717,stub
2005-01-24,1319.9070739655942,stub
2005-01-25,1232.1083115451702,stub
2005-01-26,1278.329677722819,stub
2005-01-27,1291.202255547499,stub
2005-01-28,1231.5353982503073,stub
2005-01-29,1181.4012209600194,stub
2005-01-30,1082.386518849974,stub
2005-01-31,1105.8640850437348,stub
