edge_id,from_node_id,to_node_id,flow_share,travel_time_days,travel_time_months,muskingum_k,muskingum_x
victoria__southwest,victoria,southwest,1.0,18,,,
southwest__karthoum,southwest,karthoum,1.0,13,,,
karthoum__merowe,karthoum,merowe,1.0,6,,,
merowe__aswand,merowe,aswand,1.0,10,,,
aswand__cairo,aswand,cairo,1.0,13,,,
singa__merowe,singa,merowe,1.0,1,,,
roseires__singa,roseires,singa,1.0,2,,,
gerd__roseires,gerd,roseires,1.0,2,,,
tana__gerd,tana,gerd,1.0,2,,,
kashm__merowe,kashm,merowe,1.0,2,,,
tsengh__kashm,tsengh,kashm,1.0,1,,,
ozentari__tsengh,ozentari,tsengh,1.0,1,,,
