date,river_discharge_m3s,quality_flag
2005-01-01,753.9628195148341,stub
2005-01-02,702.7042251977368,stub
2005-01-03,669.455051897636,stub
2005-01-04,705.2474273607843,stub
2005-01-05,687.5207288462037,stub
2005-01-06,664.3768708210392,stub
2005-01-07,698.0666471739639,stub
2005-01-08,689.1092865745234,stub
2005-01-09,696.3285433090218,stub
2005-01-10,621.1098739393294,stub
2005-01-11,662.2401570756389,stub
2005-01-12,666.6718431381529,stub
2005-01-13,581.5771661413504,stub
2005-01-14,701.9291631702515,stub
2005-01-15,642.5866350275888,stub
2005-01-16,641.9169758863023,stub
2005-01-17,628.162842175785,stub
2005-01-18,598.5058069095193,stub
2005-01-19,661.7158031859217,stub
2005-01-20,586.6535281085274,stub
2005-01-21,573.979884579654,stub
2005-01-22,685.6969224743378,stub
2005-01-23,565.985640524754,stub
2005-01-24,591.9150130805363,stub
2005-01-25,571.0029109447385,stub
2005-01-26,595.4055366914496,stub
2005-01-27,584.8550645541255,stub
2005-01-28,536.5913466655654,stub
2005-01-29,558.5446810173398,stub
2005-01-30,582.0293034222196,stub
2005-01-31,540.8625572374308,stub
