date,river_discharge_m3s,quality_flag
2005-01-01,488.3921787210682,stub
2005-01-02,513.4790020853726,stub
2005-01-03,518.7828004989653,stub
2005-01-04,488.98084322434704,stub
2005-01-05,473.3690976475545,stub
2005-01-06,491.83231011011287,stub
2005-01-07,465.247653926602,stub
2005-01-08,468.1067476540356,stub
2005-01-09,474.8149098339503,stub
2005-01-10,452.8440907072808,stub
2005-01-11,514.8235059537598,stub
2005-01-12,454.2362434445819,stub
2005-01-13,453.7233296456948,stub
2005-01-14,445.22283615610866,stub
2005-01-15,479.0077561955299,stub
2005-01-16,405.7003289052003,stub
2005-01-17,448.30233291487525,stub
2005-01-18,454.67275491348937,stub
2005-01-19,408.61728108800475,stub
2005-01-20,432.67682763072094,stub
2005-01-21,429.75397317149145,stub
2005-01-22,414.8811310957921,stub
2005-01-23,358.9733499123037,stub
2005-01-24,421.7207971653067,stub
2005-01-25,403.5358604934128,stub
2005-01-26,359.7295577011584,stub
2005-01-27,386.5372784039595,stub
2005-01-28,433.98857609933134,stub
2005-01-29,377.99030709745784,stub
2005-01-30,370.15445703826305,stub
2005-01-31,356.8995620704747,stub
