date,river_discharge_m3s,quality_flag
2005-01-01,915.39071509732,stub
2005-01-02,875.6326033292646,stub
2005-01-03,901.9670604085844,stub
2005-01-04,927.5201624220734,stub
2005-01-05,884.375469613183,stub
2005-01-06,874.8307190743413,stub
2005-01-07,837.4126741188605,stub
2005-01-08,858.223886077878,stub
2005-01-09,838.0151196332,stub
2005-01-10,881.4221098857003,stub
2005-01-11,790.5663492872038,stub
2005-01-12,804.2793077387371,stub
2005-01-13,825.3927883791242,stub
2005-01-14,767.8424629412287,stub
2005-01-15,758.6801449670867,stub
2005-01-16,774.1769000055417,stub
2005-01-17,783.9724599245664,stub
2005-01-18,791.8856006798055,stub
2005-01-19,748.3224546542598,stub
2005-01-20,766.0085181792194,stub
2005-01-21,700.0295806921727,stub
2005-01-22,758.3505647698987,stub
2005-01-23,782.1010821672994,stub
2005-01-24,726.9760580581766,stub
2005-01-25,776.834943288768,stub
2005-01-26,741.6604551906289,stub
2005-01-27,790.2634929662476,stub
2005-01-28,760.0203978387308,stub
2005-01-29,745.0293537213478,stub
2005-01-30,820.1936876322076,stub
2005-01-31,768.7272290803634,stub
