date,river_discharge_m3s,quality_flag
2005-01-01,758.5019125520311,stub
2005-01-02,677.0666779394674,stub
2005-01-03,767.2008754697995,stub
2005-01-04,799.1441268100623,stub
2005-01-05,765.6629424637017,stub
2005-01-06,677.5828551636464,stub
2005-01-07,759.2718637745022,stub
2005-01-08,670.979381613105,stub
2005-01-09,749.8433481140503,stub
2005-01-10,734.6764813992894,stub
2005-01-11,742.5300903726451,stub
2005-01-12,780.4823781806225,stub
2005-01-13,649.6258866199795,stub
2005-01-14,712.7277379168936,stub
2005-01-15,697.646788499174,stub
2005-01-16,714.596286522857,stub
2005-01-17,649.3626459345719,stub
2005-01-18,681.5370529474691,stub
2005-01-19,686.8596677278834,stub
2005-01-20,675.0973217744261,stub
2005-01-21,663.2469077503974,stub
2005-01-22,623.0284129494166,stub
2005-01-23,579.2346490481837,stub
2005-01-24,654.6873389424608,stub
2005-01-25,613.8376996110414,stub
2005-01-26,615.1089506649439,stub
2005-01-27,653.4538302273415,stub
2005-01-28,570.937310756664,stub
2005-01-29,663.5720000311296,stub
2005-01-30,546.2426947832788,stub
2005-01-31,568.0094958064786,stub
