date,river_discharge_m3s,quality_flag
2005-01-01,437.2648824789635,stub
2005-01-02,446.75902579213255,stub
2005-01-03,465.4982134666367,stub
2005-01-04,476.76553952884234,stub
2005-01-05,474.68873327851503,stub
2005-01-06,418.7064811129433,stub
2005-01-07,427.29821290377373,stub
2005-01-08,421.8148658233743,stub
2005-01-09,431.48159983059753,stub
2005-01-10,436.7798793831763,stub
2005-01-11,435.65021276451887,stub
2005-01-12,441.93034820322674,stub
2005-01-13,457.11718110538186,stub
2005-01-14,459.9661310319436,stub
2005-01-15,411.08861705305236,stub
2005-01-16,421.6947249782443,stub
2005-01-17,428.13310289684364,stub
2005-01-18,421.6081615800794,stub
2005-01-19,423.17246395133276,stub
2005-01-20,413.7461870908843,stub
2005-01-21,418.76228304785184,stub
2005-01-22,417.93186007611797,stub
2005-01-23,393.60101225703653,stub
2005-01-24,400.86675340784825,stub
2005-01-25,350.38056977852915,stub
2005-01-26,408.64169620440475,stub
2005-01-27,323.1414069037736,stub
2005-01-28,396.55247542970875,stub
2005-01-29,324.7631638684114,stub
2005-01-30,413.8523701331898,stub
2005-01-31,388.3299685109427,stub
