date,river_discharge_m3s,quality_flag
2005-01-01,652.9981365498923,stub
2005-01-02,602.5752115449326,stub
2005-01-03,581.2441368957886,stub
2005-01-04,587.8958391396304,stub
2005-01-05,576.860160237063,stub
2005-01-06,593.2236517072746,stub
2005-01-07,601.974354911226,stub
2005-01-08,561.6012810750802,stub
2005-01-09,567.4133614791292,stub
2005-01-10,553.5683476971831,stub
2005-01-11,561.8928302436477,stub
2005-01-12,602.387899356968,stub
2005-01-13,598.4029648311514,stub
2005-01-14,559.6318426612094,stub
2005-01-15,594.0948388325454,stub
2005-01-16,548.9324736093168,stub
2005-01-17,588.789721040048,stub
2005-01-18,535.0768617168798,stub
2005-01-19,528.275264600904,stub
2005-01-20,573.4941040250884,stub
2005-01-21,490.0767245948876,stub
2005-01-22,495.46560808318173,stub
2005-01-23,603.4984300904188,stub
2005-01-24,473.33332037565447,stub
2005-01-25,522.3526558099876,stub
2005-01-26,512.6220217752823,stub
2005-01-27,551.0867267840266,stub
2005-01-28,490.42672060185896,stub
2005-01-29,461.7588455279269,stub
2005-01-30,474.57951466584524,stub
2005-01-31,511.6466005286998,stub
