date,river_discharge_m3s,quality_flag
2005-01-01,734.3729651806705,stub
2005-01-02,701.4523517004292,stub
2005-01-03,736.2117086303672,stub
2005-01-04,636.2139215084692,stub
2005-01-05,705.1908972889292,stub
2005-01-06,679.8485685051552,stub
2005-01-07,649.4569098068163,stub
2005-01-08,669.359477208487,stub
2005-01-09,652.7683293375176,stub
2005-01-10,667.6354236364625,stub
2005-01-11,726.203868020534,stub
2005-01-12,652.9993397521292,stub
2005-01-13,675.203650325128,stub
2005-01-14,620.4509041487131,stub
2005-01-15,659.8687555390679,stub
2005-01-16,591.5644901620254,stub
2005-01-17,649.9153036636352,stub
2005-01-18,558.6770699991949,stub
2005-01-19,642.4655174202833,stub
2005-01-20,620.4778729323033,stub
2005-01-21,604.8391830704353,stub
2005-01-22,582.3545890277608,stub
2005-01-23,608.1372581018661,stub
2005-01-24,556.3555703320212,stub
2005-01-25,584.651892136212,stub
2005-01-26,599.3596838733163,stub
2005-01-27,611.4989213509233,stub
2005-01-28,579.8436079695291,stub
2005-01-29,581.8863671584498,stub
2005-01-30,581.6695160033003,stub
2005-01-31,554.0722979052721,stub
