date,river_discharge_m3s,quality_flag
2005-01-01,1102.9505169409376,stub
2005-01-02,1156.7686311346235,stub
2005-01-03,1156.3062681006518,stub
2005-01-04,994.0630365691891,stub
2005-01-05,1155.5120939515418,stub
2005-01-06,1093.3731201265027,stub
2005-01-07,989.9464703039948,stub
2005-01-08,1125.7569094800863,stub
2005-01-09,1063.4156102191625,stub
2005-01-10,1084.215188365371,stub
2005-01-11,1016.7215646774018,stub
2005-01-12,1095.732423984033,stub
2005-01-13,1095.3712219738275,stub
2005-01-14,929.5872786146208,stub
2005-01-15,914.8903836522653,stub
2005-01-16,959.9320058528205,stub
2005-01-17,911.0044967450904,stub
2005-01-18,982.9762396802438,stub
2005-01-19,947.4561937733647,stub
2005-01-20,934.8766465746695,stub
2005-01-21,997.3326830356584,stub
2005-01-22,960.6685757430296,stub
2005-01-23,912.1880860923419,stub
2005-01-24,954.4197236370081,stub
2005-01-25,910.978382980685,stub
2005-01-26,949.7356076078386,stub
2005-01-27,910.726635715946,stub
2005-01-28,834.5608072254357,stub
2005-01-29,832.339762377985,stub
2005-01-30,926.2659019676497,stub
2005-01-31,919.8444673664536,stub
