date,river_discharge_m3s,quality_flag
2005-01-01,1226.1072535174003,stub
2005-01-02,1145.5217897123052,stub
2005-01-03,1267.3246491194477,stub
2005-01-04,1401.6254228191635,stub
2005-01-05,1146.440092875568,stub
2005-01-06,1253.2083915965845,stub
2005-01-07,1199.3819060056517,stub
2005-01-08,1141.101016997935,stub
2005-01-09,1276.7508019542572,stub
2005-01-10,1145.0559410092715,stub
2005-01-11,1205.9513959687545,stub
2005-01-12,1182.9248022554125,stub
2005-01-13,1255.0440563148857,stub
2005-01-14,1156.24980203351,stub
2005-01-15,1115.8799431784612,stub
2005-01-16,1235.3178974266564,stub
2005-01-17,1182.0001805583126,stub
2005-01-18,1101.9433205103555,stub
2005-01-19,1068.4826585588673,stub
2005-01-20,1238.6280348191372,stub
2005-01-21,1135.5003322959944,stub
2005-01-22,1099.3397539020602,stub
2005-01-23,996.0306495458908,stub
2005-01-24,942.317841944176,stub
2005-01-25,1124.9917590541133,stub
2005-01-26,1182.8258820399449,stub
2005-01-27,1118.9181949000244,stub
2005-01-28,1007.8495497459734,stub
2005-01-29,1123.900923543717,stub
2005-01-30,1009.1925318691102,stub
2005-01-31,1039.762445933894,stub
