week,w1950,w1951,w1952,w1953,w1954,w1955,w1956,w1957,w1958,w1959,w1960,w1961,w1962,w1963,w1964,w1965,w1966,w1967,w1968,w1969,w1970,w1971,w1972,w1973,w1974,w1975,w1976,w1977,w1978,w1979,w1980,w1981,w1982,w1983,w1984,w1985,w1986,w1987,w1988,w1989,w1990,w1991,w1992,w1993,w1994,w1995,w1996,w1997,w1998,w1999,w2000,w2001,w2002,w2003,w2004,w2005,w2006,w2007,w2008,w2009
0,35.948,66.625,46.986,41.550,41.540,28.757,48.071,42.292,41.541,27.635,63.522,69.255,38.496,32.150,41.392,45.720,40.175,49.762,49.681,30.129,66.600,72.684,32.196,56.943,34.938,52.234,71.429,47.119,36.574,44.111,27.390,35.136,43.325,52.011,51.004,37.019,32.051,33.334,52.303,49.347,60.220,45.450,53.804,47.372,31.990,54.433,37.670,60.207,28.732,45.193,38.127,57.398,25.760,50.231,40.347,42.633,51.925,36.927,20.283,53.768
1,35.948,66.625,46.986,41.550,41.540,28.757,48.071,42.292,41.541,27.635,63.522,69.255,38.496,32.150,41.392,45.720,40.175,49.762,49.681,30.129,66.600,72.684,32.196,56.943,34.938,52.234,71.429,47.119,36.574,44.111,27.390,35.136,43.325,52.011,51.004,37.019,32.051,33.334,52.303,49.347,60.220,45.450,53.804,47.372,31.990,54.433,37.670,60.207,28.732,45.193,38.127,57.398,25.760,50.231,40.347,42.633,51.925,36.927,20.283,53.768
2,35.948,66.625,46.986,41.550,41.540,28.757,48.071,42.292,41.541,27.635,63.522,69.255,38.496,32.150,41.392,45.720,40.175,49.762,49.681,30.129,66.600,72.684,32.196,56.943,34.938,52.234,71.429,47.119,36.574,44.111,27.390,35.136,43.325,52.011,51.004,37.019,32.051,33.334,52.303,49.347,60.220,45.450,53.804,47.372,31.990,54.433,37.670,60.207,28.732,45.193,38.127,57.398,25.760,50.231,40.347,42.633,51.925,36.927,20.283,53.768
3,35.948,66.625,46.986,41.550,41.540,28.757,48.071,42.292,41.541,27.635,63.522,69.255,38.496,32.150,41.392,45.720,40.175,49.762,49.681,30.129,66.600,72.684,32.196,56.943,34.938,52.234,71.429,47.119,36.574,44.111,27.390,35.136,43.325,52.011,51.004,37.019,32.051,33.334,52.303,49.347,60.220,45.450,53.804,47.372,31.990,54.433,37.670,60.207,28.732,45.193,38.127,57.398,25.760,50.231,40.347,42.633,51.925,36.927,20.283,53.768
4,35.948,66.625,46.986,41.550,41.540,28.757,48.071,42.292,41.541,27.635,63.522,69.255,38.496,32.150,41.392,45.720,40.175,49.762,49.681,30.129,66.600,72.684,32.196,56.943,34.938,52.234,71.429,47.119,36.574,44.111,27.390,35.136,43.325,52.011,51.004,37.019,32.051,33.334,52.303,49.347,60.220,45.450,53.804,47.372,31.990,54.433,37.670,60.207,28.732,45.193,38.127,57.398,25.760,50.231,40.347,42.633,51.925,36.927,20.283,53.768
5,30.418,56.375,39.757,35.158,35.150,24.333,40.675,35.786,35.150,23.383,53.750,58.600,32.573,27.204,35.024,38.686,33.994,42.107,42.037,25.494,56.353,61.502,27.243,48.183,29.563,44.198,60.440,39.870,30.947,37.325,23.176,29.730,36.660,44.010,43.157,31.323,27.120,28.206,44.257,41.755,50.956,38.458,45.526,40.084,27.068,46.059,31.875,50.944,24.312,38.240,32.261,48.568,21.797,42.504,34.140,36.074,43.936,31.246,17.163,45.496
6,30.418,56.375,39.757,35.158,35.150,24.333,40.675,35.786,35.150,23.383,53.750,58.600,32.573,27.204,35.024,38.686,33.994,42.107,42.037,25.494,56.353,61.502,27.243,48.183,29.563,44.198,60.440,39.870,30.947,37.325,23.176,29.730,36.660,44.010,43.157,31.323,27.120,28.206,44.257,41.755,50.956,38.458,45.526,40.084,27.068,46.059,31.875,50.944,24.312,38.240,32.261,48.568,21.797,42.504,34.140,36.074,43.936,31.246,17.163,45.496
7,30.418,56.375,39.757,35.158,35.150,24.333,40.675,35.786,35.150,23.383,53.750,58.600,32.573,27.204,35.024,38.686,33.994,42.107,42.037,25.494,56.353,61.502,27.243,48.183,29.563,44.198,60.440,39.870,30.947,37.325,23.176,29.730,36.660,44.010,43.157,31.323,27.120,28.206,44.257,41.755,50.956,38.458,45.526,40.084,27.068,46.059,31.875,50.944,24.312,38.240,32.261,48.568,21.797,42.504,34.140,36.074,43.936,31.246,17.163,45.496
8,30.418,56.375,39.757,35.158,35.150,24.333,40.675,35.786,35.150,23.383,53.750,58.600,32.573,27.204,35.024,38.686,33.994,42.107,42.037,25.494,56.353,61.502,27.243,48.183,29.563,44.198,60.440,39.870,30.947,37.325,23.176,29.730,36.660,44.010,43.157,31.323,27.120,28.206,44.257,41.755,50.956,38.458,45.526,40.084,27.068,46.059,31.875,50.944,24.312,38.240,32.261,48.568,21.797,42.504,34.140,36.074,43.936,31.246,17.163,45.496
9,33.183,61.500,43.371,38.354,38.345,26.545,44.373,39.039,38.346,25.509,58.636,63.928,35.534,29.677,38.208,42.203,37.085,45.934,45.859,27.811,61.476,67.093,29.720,52.563,32.250,48.216,65.934,43.495,33.760,40.718,25.283,32.433,39.992,48.010,47.080,34.171,29.585,30.770,48.280,45.551,55.588,41.954,49.665,43.728,29.529,50.246,34.773,55.575,26.522,41.717,35.194,52.983,23.778,46.368,37.244,39.353,47.931,34.086,18.723,49.632
10,33.183,61.500,43.371,38.354,38.345,26.545,44.373,39.039,38.346,25.509,58.636,63.928,35.534,29.677,38.208,42.203,37.085,45.934,45.859,27.811,61.476,67.093,29.720,52.563,32.250,48.216,65.934,43.495,33.760,40.718,25.283,32.433,39.992,48.010,47.080,34.171,29.585,30.770,48.280,45.551,55.588,41.954,49.665,43.728,29.529,50.246,34.773,55.575,26.522,41.717,35.194,52.983,23.778,46.368,37.244,39.353,47.931,34.086,18.723,49.632
11,33.183,61.500,43.371,38.354,38.345,26.545,44.373,39.039,38.346,25.509,58.636,63.928,35.534,29.677,38.208,42.203,37.085,45.934,45.859,27.811,61.476,67.093,29.720,52.563,32.250,48.216,65.934,43.495,33.760,40.718,25.283,32.433,39.992,48.010,47.080,34.171,29.585,30.770,48.280,45.551,55.588,41.954,49.665,43.728,29.529,50.246,34.773,55.575,26.522,41.717,35.194,52.983,23.778,46.368,37.244,39.353,47.931,34.086,18.723,49.632
12,33.183,61.500,43.371,38.354,38.345,26.545,44.373,39.039,38.346,25.509,58.636,63.928,35.534,29.677,38.208,42.203,37.085,45.934,45.859,27.811,61.476,67.093,29.720,52.563,32.250,48.216,65.934,43.495,33.760,40.718,25.283,32.433,39.992,48.010,47.080,34.171,29.585,30.770,48.280,45.551,55.588,41.954,49.665,43.728,29.529,50.246,34.773,55.575,26.522,41.717,35.194,52.983,23.778,46.368,37.244,39.353,47.931,34.086,18.723,49.632
13,48.115,89.175,62.888,55.613,55.600,38.490,64.341,56.606,55.601,36.988,85.022,92.695,51.525,43.032,55.402,61.194,53.773,66.605,66.495,40.326,89.141,97.284,43.094,76.217,46.763,69.913,95.605,63.067,48.952,59.041,36.661,47.028,57.989,69.615,68.266,49.548,42.899,44.617,70.006,66.050,80.602,60.833,72.014,63.405,42.817,72.856,50.420,80.584,38.457,60.489,51.031,76.825,34.478,67.233,54.003,57.062,69.499,49.425,27.148,71.967
14,48.115,89.175,62.888,55.613,55.600,38.490,64.341,56.606,55.601,36.988,85.022,92.695,51.525,43.032,55.402,61.194,53.773,66.605,66.495,40.326,89.141,97.284,43.094,76.217,46.763,69.913,95.605,63.067,48.952,59.041,36.661,47.028,57.989,69.615,68.266,49.548,42.899,44.617,70.006,66.050,80.602,60.833,72.014,63.405,42.817,72.856,50.420,80.584,38.457,60.489,51.031,76.825,34.478,67.233,54.003,57.062,69.499,49.425,27.148,71.967
15,48.115,89.175,62.888,55.613,55.600,38.490,64.341,56.606,55.601,36.988,85.022,92.695,51.525,43.032,55.402,61.194,53.773,66.605,66.495,40.326,89.141,97.284,43.094,76.217,46.763,69.913,95.605,63.067,48.952,59.041,36.661,47.028,57.989,69.615,68.266,49.548,42.899,44.617,70.006,66.050,80.602,60.833,72.014,63.405,42.817,72.856,50.420,80.584,38.457,60.489,51.031,76.825,34.478,67.233,54.003,57.062,69.499,49.425,27.148,71.967
16,48.115,89.175,62.888,55.613,55.600,38.490,64.341,56.606,55.601,36.988,85.022,92.695,51.525,43.032,55.402,61.194,53.773,66.605,66.495,40.326,89.141,97.284,43.094,76.217,46.763,69.913,95.605,63.067,48.952,59.041,36.661,47.028,57.989,69.615,68.266,49.548,42.899,44.617,70.006,66.050,80.602,60.833,72.014,63.405,42.817,72.856,50.420,80.584,38.457,60.489,51.031,76.825,34.478,67.233,54.003,57.062,69.499,49.425,27.148,71.967
17,48.115,89.175,62.888,55.613,55.600,38.490,64.341,56.606,55.601,36.988,85.022,92.695,51.525,43.032,55.402,61.194,53.773,66.605,66.495,40.326,89.141,97.284,43.094,76.217,46.763,69.913,95.605,63.067,48.952,59.041,36.661,47.028,57.989,69.615,68.266,49.548,42.899,44.617,70.006,66.050,80.602,60.833,72.014,63.405,42.817,72.856,50.420,80.584,38.457,60.489,51.031,76.825,34.478,67.233,54.003,57.062,69.499,49.425,27.148,71.967
18,67.472,125.050,88.188,77.986,77.968,53.974,90.225,79.379,77.970,51.868,119.227,129.986,72.253,60.343,77.690,85.813,75.406,93.400,93.247,56.549,125.002,136.422,60.430,106.878,65.575,98.039,134.066,88.439,68.646,82.794,51.409,65.948,81.318,97.621,95.730,69.481,60.157,62.566,98.169,92.621,113.029,85.306,100.986,88.913,60.043,102.166,70.704,113.003,53.928,84.824,71.561,107.732,48.349,94.281,75.729,80.019,97.459,69.309,38.070,100.919
19,67.472,125.050,88.188,77.986,77.968,53.974,90.225,79.379,77.970,51.868,119.227,129.986,72.253,60.343,77.690,85.813,75.406,93.400,93.247,56.549,125.002,136.422,60.430,106.878,65.575,98.039,134.066,88.439,68.646,82.794,51.409,65.948,81.318,97.621,95.730,69.481,60.157,62.566,98.169,92.621,113.029,85.306,100.986,88.913,60.043,102.166,70.704,113.003,53.928,84.824,71.561,107.732,48.349,94.281,75.729,80.019,97.459,69.309,38.070,100.919
20,67.472,125.050,88.188,77.986,77.968,53.974,90.225,79.379,77.970,51.868,119.227,129.986,72.253,60.343,77.690,85.813,75.406,93.400,93.247,56.549,125.002,136.422,60.430,106.878,65.575,98.039,134.066,88.439,68.646,82.794,51.409,65.948,81.318,97.621,95.730,69.481,60.157,62.566,98.169,92.621,113.029,85.306,100.986,88.913,60.043,102.166,70.704,113.003,53.928,84.824,71.561,107.732,48.349,94.281,75.729,80.019,97.459,69.309,38.070,100.919
21,67.472,125.050,88.188,77.986,77.968,53.974,90.225,79.379,77.970,51.868,119.227,129.986,72.253,60.343,77.690,85.813,75.406,93.400,93.247,56.549,125.002,136.422,60.430,106.878,65.575,98.039,134.066,88.439,68.646,82.794,51.409,65.948,81.318,97.621,95.730,69.481,60.157,62.566,98.169,92.621,113.029,85.306,100.986,88.913,60.043,102.166,70.704,113.003,53.928,84.824,71.561,107.732,48.349,94.281,75.729,80.019,97.459,69.309,38.070,100.919
22,95.125,176.301,124.331,109.947,109.923,76.095,127.203,111.911,109.925,73.125,168.090,183.260,101.865,85.074,109.530,120.982,106.310,131.679,131.462,79.725,176.233,192.333,85.197,150.681,92.450,138.218,189.011,124.685,96.779,116.725,72.478,92.975,114.644,137.630,134.963,97.957,84.811,88.208,138.402,130.581,159.352,120.267,142.373,125.353,84.650,144.038,99.681,159.316,76.029,119.588,100.889,151.884,68.164,132.920,106.765,112.813,137.401,97.714,53.672,142.279
23,95.125,176.301,124.331,109.947,109.923,76.095,127.203,111.911,109.925,73.125,168.090,183.260,101.865,85.074,109.530,120.982,106.310,131.679,131.462,79.725,176.233,192.333,85.197,150.681,92.450,138.218,189.011,124.685,96.779,116.725,72.478,92.975,114.644,137.630,134.963,97.957,84.811,88.208,138.402,130.581,159.352,120.267,142.373,125.353,84.650,144.038,99.681,159.316,76.029,119.588,100.889,151.884,68.164,132.920,106.765,112.813,137.401,97.714,53.672,142.279
24,95.125,176.301,124.331,109.947,109.923,76.095,127.203,111.911,109.925,73.125,168.090,183.260,101.865,85.074,109.530,120.982,106.310,131.679,131.462,79.725,176.233,192.333,85.197,150.681,92.450,138.218,189.011,124.685,96.779,116.725,72.478,92.975,114.644,137.630,134.963,97.957,84.811,88.208,138.402,130.581,159.352,120.267,142.373,125.353,84.650,144.038,99.681,159.316,76.029,119.588,100.889,151.884,68.164,132.920,106.765,112.813,137.401,97.714,53.672,142.279
25,95.125,176.301,124.331,109.947,109.923,76.095,127.203,111.911,109.925,73.125,168.090,183.260,101.865,85.074,109.530,120.982,106.310,131.679,131.462,79.725,176.233,192.333,85.197,150.681,92.450,138.218,189.011,124.685,96.779,116.725,72.478,92.975,114.644,137.630,134.963,97.957,84.811,88.208,138.402,130.581,159.352,120.267,142.373,125.353,84.650,144.038,99.681,159.316,76.029,119.588,100.889,151.884,68.164,132.920,106.765,112.813,137.401,97.714,53.672,142.279
