week,w1950,w1951,w1952,w1953,w1954,w1955,w1956,w1957,w1958,w1959,w1960,w1961,w1962,w1963,w1964,w1965,w1966,w1967,w1968,w1969,w1970,w1971,w1972,w1973,w1974,w1975,w1976,w1977,w1978,w1979,w1980,w1981,w1982,w1983,w1984,w1985,w1986,w1987,w1988,w1989,w1990,w1991,w1992,w1993,w1994,w1995,w1996,w1997,w1998,w1999,w2000,w2001,w2002,w2003,w2004,w2005,w2006,w2007,w2008,w2009
0,36.233,42.962,41.465,41.010,43.707,47.854,45.025,37.872,45.111,35.707,52.077,48.638,49.021,35.633,38.595,33.091,32.776,51.576,35.640,44.214,47.117,46.836,35.559,52.453,47.273,38.442,42.121,42.786,44.973,39.081,39.482,38.883,49.960,52.797,32.594,31.828,40.335,41.149,44.456,35.393,35.011,36.978,39.889,41.385,49.970,36.173,33.892,41.362,47.959,45.493,45.359,40.813,47.077,43.002,50.174,45.941,42.770,37.632,33.254,47.666
1,36.233,42.962,41.465,41.010,43.707,47.854,45.025,37.872,45.111,35.707,52.077,48.638,49.021,35.633,38.595,33.091,32.776,51.576,35.640,44.214,47.117,46.836,35.559,52.453,47.273,38.442,42.121,42.786,44.973,39.081,39.482,38.883,49.960,52.797,32.594,31.828,40.335,41.149,44.456,35.393,35.011,36.978,39.889,41.385,49.970,36.173,33.892,41.362,47.959,45.493,45.359,40.813,47.077,43.002,50.174,45.941,42.770,37.632,33.254,47.666
2,36.233,42.962,41.465,41.010,43.707,47.854,45.025,37.872,45.111,35.707,52.077,48.638,49.021,35.633,38.595,33.091,32.776,51.576,35.640,44.214,47.117,46.836,35.559,52.453,47.273,38.442,42.121,42.786,44.973,39.081,39.482,38.883,49.960,52.797,32.594,31.828,40.335,41.149,44.456,35.393,35.011,36.978,39.889,41.385,49.970,36.173,33.892,41.362,47.959,45.493,45.359,40.813,47.077,43.002,50.174,45.941,42.770,37.632,33.254,47.666
3,36.233,42.962,41.465,41.010,43.707,47.854,45.025,37.872,45.111,35.707,52.077,48.638,49.021,35.633,38.595,33.091,32.776,51.576,35.640,44.214,47.117,46.836,35.559,52.453,47.273,38.442,42.121,42.786,44.973,39.081,39.482,38.883,49.960,52.797,32.594,31.828,40.335,41.149,44.456,35.393,35.011,36.978,39.889,41.385,49.970,36.173,33.892,41.362,47.959,45.493,45.359,40.813,47.077,43.002,50.174,45.941,42.770,37.632,33.254,47.666
4,36.233,42.962,41.465,41.010,43.707,47.854,45.025,37.872,45.111,35.707,52.077,48.638,49.021,35.633,38.595,33.091,32.776,51.576,35.640,44.214,47.117,46.836,35.559,52.453,47.273,38.442,42.121,42.786,44.973,39.081,39.482,38.883,49.960,52.797,32.594,31.828,40.335,41.149,44.456,35.393,35.011,36.978,39.889,41.385,49.970,36.173,33.892,41.362,47.959,45.493,45.359,40.813,47.077,43.002,50.174,45.941,42.770,37.632,33.254,47.666
5,34.151,40.493,39.082,38.653,41.195,45.104,42.438,35.696,42.519,33.655,49.084,45.843,46.203,33.585,36.376,31.189,30.892,48.612,33.592,41.673,44.409,44.144,33.516,49.438,44.556,36.233,39.700,40.327,42.388,36.835,37.213,36.648,47.089,49.763,30.721,29.999,38.017,38.784,41.901,33.359,32.999,34.852,37.596,39.006,47.098,34.094,31.944,38.985,45.203,42.879,42.752,38.467,44.371,40.531,47.291,43.300,40.312,35.469,31.343,44.927
6,34.151,40.493,39.082,38.653,41.195,45.104,42.438,35.696,42.519,33.655,49.084,45.843,46.203,33.585,36.376,31.189,30.892,48.612,33.592,41.673,44.409,44.144,33.516,49.438,44.556,36.233,39.700,40.327,42.388,36.835,37.213,36.648,47.089,49.763,30.721,29.999,38.017,38.784,41.901,33.359,32.999,34.852,37.596,39.006,47.098,34.094,31.944,38.985,45.203,42.879,42.752,38.467,44.371,40.531,47.291,43.300,40.312,35.469,31.343,44.927
7,34.151,40.493,39.082,38.653,41.195,45.104,42.438,35.696,42.519,33.655,49.084,45.843,46.203,33.585,36.376,31.189,30.892,48.612,33.592,41.673,44.409,44.144,33.516,49.438,44.556,36.233,39.700,40.327,42.388,36.835,37.213,36.648,47.089,49.763,30.721,29.999,38.017,38.784,41.901,33.359,32.999,34.852,37.596,39.006,47.098,34.094,31.944,38.985,45.203,42.879,42.752,38.467,44.371,40.531,47.291,43.300,40.312,35.469,31.343,44.927
8,34.151,40.493,39.082,38.653,41.195,45.104,42.438,35.696,42.519,33.655,49.084,45.843,46.203,33.585,36.376,31.189,30.892,48.612,33.592,41.673,44.409,44.144,33.516,49.438,44.556,36.233,39.700,40.327,42.388,36.835,37.213,36.648,47.089,49.763,30.721,29.999,38.017,38.784,41.901,33.359,32.999,34.852,37.596,39.006,47.098,34.094,31.944,38.985,45.203,42.879,42.752,38.467,44.371,40.531,47.291,43.300,40.312,35.469,31.343,44.927
9,36.650,43.456,41.942,41.481,44.210,48.404,45.543,38.307,45.630,36.118,52.676,49.197,49.584,36.043,39.038,33.471,33.153,52.169,36.050,44.723,47.658,47.374,35.968,53.056,47.816,38.884,42.605,43.278,45.490,39.530,39.936,39.330,50.535,53.404,32.969,32.194,40.799,41.622,44.967,35.800,35.413,37.403,40.347,41.860,50.544,36.589,34.282,41.837,48.510,46.016,45.881,41.282,47.618,43.496,50.751,46.469,43.262,38.065,33.636,48.214
