week,w1950,w1951,w1952,w1953,w1954,w1955,w1956,w1957,w1958,w1959,w1960,w1961,w1962,w1963,w1964,w1965,w1966,w1967,w1968,w1969,w1970,w1971,w1972,w1973,w1974,w1975,w1976,w1977,w1978,w1979,w1980,w1981,w1982,w1983,w1984,w1985,w1986,w1987,w1988,w1989,w1990,w1991,w1992,w1993,w1994,w1995,w1996,w1997,w1998,w1999,w2000,w2001,w2002,w2003,w2004,w2005,w2006,w2007,w2008,w2009
0,39.411,37.197,34.937,25.509,44.961,25.912,35.364,34.121,33.492,37.188,49.480,32.854,39.611,26.327,54.323,28.301,33.879,30.710,22.322,26.548,54.691,37.638,25.982,29.604,31.131,36.966,35.468,38.457,29.235,33.615,48.016,32.860,26.511,28.866,45.378,46.271,27.881,41.529,31.970,41.683,33.104,22.945,24.528,20.770,33.608,24.961,17.801,40.343,20.525,28.527,31.822,24.744,52.851,30.746,32.823,47.766,24.243,44.055,48.203,36.427
1,39.411,37.197,34.937,25.509,44.961,25.912,35.364,34.121,33.492,37.188,49.480,32.854,39.611,26.327,54.323,28.301,33.879,30.710,22.322,26.548,54.691,37.638,25.982,29.604,31.131,36.966,35.468,38.457,29.235,33.615,48.016,32.860,26.511,28.866,45.378,46.271,27.881,41.529,31.970,41.683,33.104,22.945,24.528,20.770,33.608,24.961,17.801,40.343,20.525,28.527,31.822,24.744,52.851,30.746,32.823,47.766,24.243,44.055,48.203,36.427
2,39.411,37.197,34.937,25.509,44.961,25.912,35.364,34.121,33.492,37.188,49.480,32.854,39.611,26.327,54.323,28.301,33.879,30.710,22.322,26.548,54.691,37.638,25.982,29.604,31.131,36.966,35.468,38.457,29.235,33.615,48.016,32.860,26.511,28.866,45.378,46.271,27.881,41.529,31.970,41.683,33.104,22.945,24.528,20.770,33.608,24.961,17.801,40.343,20.525,28.527,31.822,24.744,52.851,30.746,32.823,47.766,24.243,44.055,48.203,36.427
3,39.411,37.197,34.937,25.509,44.961,25.912,35.364,34.121,33.492,37.188,49.480,32.854,39.611,26.327,54.323,28.301,33.879,30.710,22.322,26.548,54.691,37.638,25.982,29.604,31.131,36.966,35.468,38.457,29.235,33.615,48.016,32.860,26.511,28.866,45.378,46.271,27.881,41.529,31.970,41.683,33.104,22.945,24.528,20.770,33.608,24.961,17.801,40.343,20.525,28.527,31.822,24.744,52.851,30.746,32.823,47.766,24.243,44.055,48.203,36.427
4,39.411,37.197,34.937,25.509,44.961,25.912,35.364,34.121,33.492,37.188,49.480,32.854,39.611,26.327,54.323,28.301,33.879,30.710,22.322,26.548,54.691,37.638,25.982,29.604,31.131,36.966,35.468,38.457,29.235,33.615,48.016,32.860,26.511,28.866,45.378,46.271,27.881,41.529,31.970,41.683,33.104,22.945,24.528,20.770,33.608,24.961,17.801,40.343,20.525,28.527,31.822,24.744,52.851,30.746,32.823,47.766,24.243,44.055,48.203,36.427
5,27.587,26.038,24.456,17.856,31.473,18.138,24.755,23.885,23.445,26.032,34.636,22.998,27.728,18.429,38.026,19.811,23.715,21.497,15.625,18.584,38.284,26.347,18.187,20.723,21.792,25.876,24.828,26.920,20.464,23.531,33.611,23.002,18.557,20.206,31.764,32.390,19.517,29.070,22.379,29.178,23.173,16.061,17.169,14.539,23.525,17.472,12.461,28.240,14.368,19.969,22.276,17.321,36.996,21.522,22.976,33.436,16.970,30.838,33.742,25.499
6,27.587,26.038,24.456,17.856,31.473,18.138,24.755,23.885,23.445,26.032,34.636,22.998,27.728,18.429,38.026,19.811,23.715,21.497,15.625,18.584,38.284,26.347,18.187,20.723,21.792,25.876,24.828,26.920,20.464,23.531,33.611,23.002,18.557,20.206,31.764,32.390,19.517,29.070,22.379,29.178,23.173,16.061,17.169,14.539,23.525,17.472,12.461,28.240,14.368,19.969,22.276,17.321,36.996,21.522,22.976,33.436,16.970,30.838,33.742,25.499
7,27.587,26.038,24.456,17.856,31.473,18.138,24.755,23.885,23.445,26.032,34.636,22.998,27.728,18.429,38.026,19.811,23.715,21.497,15.625,18.584,38.284,26.347,18.187,20.723,21.792,25.876,24.828,26.920,20.464,23.531,33.611,23.002,18.557,20.206,31.764,32.390,19.517,29.070,22.379,29.178,23.173,16.061,17.169,14.539,23.525,17.472,12.461,28.240,14.368,19.969,22.276,17.321,36.996,21.522,22.976,33.436,16.970,30.838,33.742,25.499
8,27.587,26.038,24.456,17.856,31.473,18.138,24.755,23.885,23.445,26.032,34.636,22.998,27.728,18.429,38.026,19.811,23.715,21.497,15.625,18.584,38.284,26.347,18.187,20.723,21.792,25.876,24.828,26.920,20.464,23.531,33.611,23.002,18.557,20.206,31.764,32.390,19.517,29.070,22.379,29.178,23.173,16.061,17.169,14.539,23.525,17.472,12.461,28.240,14.368,19.969,22.276,17.321,36.996,21.522,22.976,33.436,16.970,30.838,33.742,25.499
9,27.587,26.038,24.456,17.856,31.473,18.138,24.755,23.885,23.445,26.032,34.636,22.998,27.728,18.429,38.026,19.811,23.715,21.497,15.625,18.584,38.284,26.347,18.187,20.723,21.792,25.876,24.828,26.920,20.464,23.531,33.611,23.002,18.557,20.206,31.764,32.390,19.517,29.070,22.379,29.178,23.173,16.061,17.169,14.539,23.525,17.472,12.461,28.240,14.368,19.969,22.276,17.321,36.996,21.522,22.976,33.436,16.970,30.838,33.742,25.499
