week,w1950,w1951,w1952,w1953,w1954,w1955,w1956,w1957,w1958,w1959,w1960,w1961,w1962,w1963,w1964,w1965,w1966,w1967,w1968,w1969,w1970,w1971,w1972,w1973,w1974,w1975,w1976,w1977,w1978,w1979,w1980,w1981,w1982,w1983,w1984,w1985,w1986,w1987,w1988,w1989,w1990,w1991,w1992,w1993,w1994,w1995,w1996,w1997,w1998,w1999,w2000,w2001,w2002,w2003,w2004,w2005,w2006,w2007,w2008,w2009
0,141.735,102.053,108.587,116.627,114.774,143.345,101.778,80.814,95.596,126.822,136.324,104.039,102.644,133.084,106.324,111.946,121.521,117.646,100.979,107.344,108.034,126.793,155.431,123.658,116.159,101.662,118.345,109.739,92.585,99.052,106.880,110.800,89.836,115.603,93.409,113.857,131.356,105.334,115.057,121.947,107.579,133.371,103.515,102.999,103.456,93.277,123.951,117.808,155.788,123.474,106.926,105.685,108.238,125.123,150.130,109.967,119.320,89.667,108.012,87.843
1,141.735,102.053,108.587,116.627,114.774,143.345,101.778,80.814,95.596,126.822,136.324,104.039,102.644,133.084,106.324,111.946,121.521,117.646,100.979,107.344,108.034,126.793,155.431,123.658,116.159,101.662,118.345,109.739,92.585,99.052,106.880,110.800,89.836,115.603,93.409,113.857,131.356,105.334,115.057,121.947,107.579,133.371,103.515,102.999,103.456,93.277,123.951,117.808,155.788,123.474,106.926,105.685,108.238,125.123,150.130,109.967,119.320,89.667,108.012,87.843
2,141.735,102.053,108.587,116.627,114.774,143.345,101.778,80.814,95.596,126.822,136.324,104.039,102.644,133.084,106.324,111.946,121.521,117.646,100.979,107.344,108.034,126.793,155.431,123.658,116.159,101.662,118.345,109.739,92.585,99.052,106.880,110.800,89.836,115.603,93.409,113.857,131.356,105.334,115.057,121.947,107.579,133.371,103.515,102.999,103.456,93.277,123.951,117.808,155.788,123.474,106.926,105.685,108.238,125.123,150.130,109.967,119.320,89.667,108.012,87.843
3,141.735,102.053,108.587,116.627,114.774,143.345,101.778,80.814,95.596,126.822,136.324,104.039,102.644,133.084,106.324,111.946,121.521,117.646,100.979,107.344,108.034,126.793,155.431,123.658,116.159,101.662,118.345,109.739,92.585,99.052,106.880,110.800,89.836,115.603,93.409,113.857,131.356,105.334,115.057,121.947,107.579,133.371,103.515,102.999,103.456,93.277,123.951,117.808,155.788,123.474,106.926,105.685,108.238,125.123,150.130,109.967,119.320,89.667,108.012,87.843
4,141.735,102.053,108.587,116.627,114.774,143.345,101.778,80.814,95.596,126.822,136.324,104.039,102.644,133.084,106.324,111.946,121.521,117.646,100.979,107.344,108.034,126.793,155.431,123.658,116.159,101.662,118.345,109.739,92.585,99.052,106.880,110.800,89.836,115.603,93.409,113.857,131.356,105.334,115.057,121.947,107.579,133.371,103.515,102.999,103.456,93.277,123.951,117.808,155.788,123.474,106.926,105.685,108.238,125.123,150.130,109.967,119.320,89.667,108.012,87.843
5,133.397,96.050,102.200,109.767,108.023,134.913,95.791,76.060,89.972,119.362,128.305,97.919,96.606,125.256,100.069,105.361,114.373,110.725,95.039,101.030,101.679,119.334,146.288,116.384,109.326,95.682,111.383,103.284,87.138,93.225,100.593,104.283,84.551,108.803,87.915,107.160,123.630,99.138,108.289,114.774,101.251,125.526,97.426,96.940,97.371,87.790,116.660,110.878,146.624,116.211,100.637,99.468,101.871,117.763,141.299,103.498,112.301,84.392,101.658,82.676
6,133.397,96.050,102.200,109.767,108.023,134.913,95.791,76.060,89.972,119.362,128.305,97.919,96.606,125.256,100.069,105.361,114.373,110.725,95.039,101.030,101.679,119.334,146.288,116.384,109.326,95.682,111.383,103.284,87.138,93.225,100.593,104.283,84.551,108.803,87.915,107.160,123.630,99.138,108.289,114.774,101.251,125.526,97.426,96.940,97.371,87.790,116.660,110.878,146.624,116.211,100.637,99.468,101.871,117.763,141.299,103.498,112.301,84.392,101.658,82.676
7,133.397,96.050,102.200,109.767,108.023,134.913,95.791,76.060,89.972,119.362,128.305,97.919,96.606,125.256,100.069,105.361,114.373,110.725,95.039,101.030,101.679,119.334,146.288,116.384,109.326,95.682,111.383,103.284,87.138,93.225,100.593,104.283,84.551,108.803,87.915,107.160,123.630,99.138,108.289,114.774,101.251,125.526,97.426,96.940,97.371,87.790,116.660,110.878,146.624,116.211,100.637,99.468,101.871,117.763,141.299,103.498,112.301,84.392,101.658,82.676
8,133.397,96.050,102.200,109.767,108.023,134.913,95.791,76.060,89.972,119.362,128.305,97.919,96.606,125.256,100.069,105.361,114.373,110.725,95.039,101.030,101.679,119.334,146.288,116.384,109.326,95.682,111.383,103.284,87.138,93.225,100.593,104.283,84.551,108.803,87.915,107.160,123.630,99.138,108.289,114.774,101.251,125.526,97.426,96.940,97.371,87.790,116.660,110.878,146.624,116.211,100.637,99.468,101.871,117.763,141.299,103.498,112.301,84.392,101.658,82.676
9,146.737,105.655,112.420,120.743,118.825,148.404,105.370,83.666,98.970,131.298,141.136,107.711,106.267,137.781,110.076,115.897,125.810,121.798,104.543,111.133,111.847,131.268,160.917,128.023,120.259,105.251,122.522,113.612,95.852,102.548,110.653,114.711,93.006,119.683,96.706,117.876,135.992,109.052,119.118,126.251,111.376,138.078,107.169,106.634,107.108,96.569,128.325,121.966,161.286,127.832,110.700,109.415,112.058,129.539,155.429,113.848,123.531,92.831,111.824,90.944
10,146.737,105.655,112.420,120.743,118.825,148.404,105.370,83.666,98.970,131.298,141.136,107.711,106.267,137.781,110.076,115.897,125.810,121.798,104.543,111.133,111.847,131.268,160.917,128.023,120.259,105.251,122.522,113.612,95.852,102.548,110.653,114.711,93.006,119.683,96.706,117.876,135.992,109.052,119.118,126.251,111.376,138.078,107.169,106.634,107.108,96.569,128.325,121.966,161.286,127.832,110.700,109.415,112.058,129.539,155.429,113.848,123.531,92.831,111.824,90.944
11,146.737,105.655,112.420,120.743,118.825,148.404,105.370,83.666,98.970,131.298,141.136,107.711,106.267,137.781,110.076,115.897,125.810,121.798,104.543,111.133,111.847,131.268,160.917,128.023,120.259,105.251,122.522,113.612,95.852,102.548,110.653,114.711,93.006,119.683,96.706,117.876,135.992,109.052,119.118,126.251,111.376,138.078,107.169,106.634,107.108,96.569,128.325,121.966,161.286,127.832,110.700,109.415,112.058,129.539,155.429,113.848,123.531,92.831,111.824,90.944
12,146.737,105.655,112.420,120.743,118.825,148.404,105.370,83.666,98.970,131.298,141.136,107.711,106.267,137.781,110.076,115.897,125.810,121.798,104.543,111.133,111.847,131.268,160.917,128.023,120.259,105.251,122.522,113.612,95.852,102.548,110.653,114.711,93.006,119.683,96.706,117.876,135.992,109.052,119.118,126.251,111.376,138.078,107.169,106.634,107.108,96.569,128.325,121.966,161.286,127.832,110.700,109.415,112.058,129.539,155.429,113.848,123.531,92.831,111.824,90.944
13,186.756,134.470,143.079,153.674,151.232,188.878,134.108,106.484,125.961,167.107,179.627,137.086,135.249,175.358,140.097,147.505,160.122,155.015,133.055,141.442,142.350,167.068,204.803,162.938,153.057,133.955,155.936,144.597,121.994,130.516,140.831,145.996,118.372,152.324,123.081,150.024,173.081,138.793,151.604,160.683,141.751,175.736,136.397,135.717,136.319,122.906,163.323,155.229,205.273,162.695,140.891,139.256,142.619,164.868,197.819,144.897,157.221,118.149,142.321,115.747
14,186.756,134.470,143.079,153.674,151.232,188.878,134.108,106.484,125.961,167.107,179.627,137.086,135.249,175.358,140.097,147.505,160.122,155.015,133.055,141.442,142.350,167.068,204.803,162.938,153.057,133.955,155.936,144.597,121.994,130.516,140.831,145.996,118.372,152.324,123.081,150.024,173.081,138.793,151.604,160.683,141.751,175.736,136.397,135.717,136.319,122.906,163.323,155.229,205.273,162.695,140.891,139.256,142.619,164.868,197.819,144.897,157.221,118.149,142.321,115.747
15,186.756,134.470,143.079,153.674,151.232,188.878,134.108,106.484,125.961,167.107,179.627,137.086,135.249,175.358,140.097,147.505,160.122,155.015,133.055,141.442,142.350,167.068,204.803,162.938,153.057,133.955,155.936,144.597,121.994,130.516,140.831,145.996,118.372,152.324,123.081,150.024,173.081,138.793,151.604,160.683,141.751,175.736,136.397,135.717,136.319,122.906,163.323,155.229,205.273,162.695,140.891,139.256,142.619,164.868,197.819,144.897,157.221,118.149,142.321,115.747
16,186.756,134.470,143.079,153.674,151.232,188.878,134.108,106.484,125.961,167.107,179.627,137.086,135.249,175.358,140.097,147.505,160.122,155.015,133.055,141.442,142.350,167.068,204.803,162.938,153.057,133.955,155.936,144.597,121.994,130.516,140.831,145.996,118.372,152.324,123.081,150.024,173.081,138.793,151.604,160.683,141.751,175.736,136.397,135.717,136.319,122.906,163.323,155.229,205.273,162.695,140.891,139.256,142.619,164.868,197.819,144.897,157.221,118.149,142.321,115.747
17,186.756,134.470,143.079,153.674,151.232,188.878,134.108,106.484,125.961,167.107,179.627,137.086,135.249,175.358,140.097,147.505,160.122,155.015,133.055,141.442,142.350,167.068,204.803,162.938,153.057,133.955,155.936,144.597,121.994,130.516,140.831,145.996,118.372,152.324,123.081,150.024,173.081,138.793,151.604,160.683,141.751,175.736,136.397,135.717,136.319,122.906,163.323,155.229,205.273,162.695,140.891,139.256,142.619,164.868,197.819,144.897,157.221,118.149,142.321,115.747
18,196.761,141.673,150.744,161.906,159.334,198.996,141.292,112.189,132.709,176.059,189.250,144.430,142.494,184.752,147.602,155.407,168.700,163.320,140.183,149.019,149.976,176.018,215.775,171.667,161.256,141.131,164.290,152.343,128.529,137.507,148.375,153.817,124.713,160.484,129.674,158.061,182.354,146.229,159.726,169.291,149.345,185.151,143.704,142.987,143.622,129.490,172.073,163.545,216.270,171.411,148.439,146.716,150.259,173.701,208.416,152.660,165.644,124.478,149.946,121.947
19,196.761,141.673,150.744,161.906,159.334,198.996,141.292,112.189,132.709,176.059,189.250,144.430,142.494,184.752,147.602,155.407,168.700,163.320,140.183,149.019,149.976,176.018,215.775,171.667,161.256,141.131,164.290,152.343,128.529,137.507,148.375,153.817,124.713,160.484,129.674,158.061,182.354,146.229,159.726,169.291,149.345,185.151,143.704,142.987,143.622,129.490,172.073,163.545,216.270,171.411,148.439,146.716,150.259,173.701,208.416,152.660,165.644,124.478,149.946,121.947
20,196.761,141.673,150.744,161.906,159.334,198.996,141.292,112.189,132.709,176.059,189.250,144.430,142.494,184.752,147.602,155.407,168.700,163.320,140.183,149.019,149.976,176.018,215.775,171.667,161.256,141.131,164.290,152.343,128.529,137.507,148.375,153.817,124.713,160.484,129.674,158.061,182.354,146.229,159.726,169.291,149.345,185.151,143.704,142.987,143.622,129.490,172.073,163.545,216.270,171.411,148.439,146.716,150.259,173.701,208.416,152.660,165.644,124.478,149.946,121.947
21,196.761,141.673,150.744,161.906,159.334,198.996,141.292,112.189,132.709,176.059,189.250,144.430,142.494,184.752,147.602,155.407,168.700,163.320,140.183,149.019,149.976,176.018,215.775,171.667,161.256,141.131,164.290,152.343,128.529,137.507,148.375,153.817,124.713,160.484,129.674,158.061,182.354,146.229,159.726,169.291,149.345,185.151,143.704,142.987,143.622,129.490,172.073,163.545,216.270,171.411,148.439,146.716,150.259,173.701,208.416,152.660,165.644,124.478,149.946,121.947
22,175.084,126.065,134.137,144.069,141.780,177.073,125.726,99.829,118.089,156.663,168.401,128.518,126.796,164.398,131.341,138.286,150.115,145.327,124.739,132.602,133.454,156.626,192.003,152.754,143.491,125.583,146.190,135.560,114.369,122.358,132.029,136.871,110.973,142.804,115.388,140.647,162.264,130.119,142.129,150.641,132.892,164.753,127.872,127.234,127.799,115.224,153.116,145.527,192.444,152.527,132.085,130.552,133.705,154.564,185.455,135.841,147.395,110.765,133.426,108.512
23,175.084,126.065,134.137,144.069,141.780,177.073,125.726,99.829,118.089,156.663,168.401,128.518,126.796,164.398,131.341,138.286,150.115,145.327,124.739,132.602,133.454,156.626,192.003,152.754,143.491,125.583,146.190,135.560,114.369,122.358,132.029,136.871,110.973,142.804,115.388,140.647,162.264,130.119,142.129,150.641,132.892,164.753,127.872,127.234,127.799,115.224,153.116,145.527,192.444,152.527,132.085,130.552,133.705,154.564,185.455,135.841,147.395,110.765,133.426,108.512
24,175.084,126.065,134.137,144.069,141.780,177.073,125.726,99.829,118.089,156.663,168.401,128.518,126.796,164.398,131.341,138.286,150.115,145.327,124.739,132.602,133.454,156.626,192.003,152.754,143.491,125.583,146.190,135.560,114.369,122.358,132.029,136.871,110.973,142.804,115.388,140.647,162.264,130.119,142.129,150.641,132.892,164.753,127.872,127.234,127.799,115.224,153.116,145.527,192.444,152.527,132.085,130.552,133.705,154.564,185.455,135.841,147.395,110.765,133.426,108.512
25,175.084,126.065,134.137,144.069,141.780,177.073,125.726,99.829,118.089,156.663,168.401,128.518,126.796,164.398,131.341,138.286,150.115,145.327,124.739,132.602,133.454,156.626,192.003,152.754,143.491,125.583,146.190,135.560,114.369,122.358,132.029,136.871,110.973,142.804,115.388,140.647,162.264,130.119,142.129,150.641,132.892,164.753,127.872,127.234,127.799,115.224,153.116,145.527,192.444,152.527,132.085,130.552,133.705,154.564,185.455,135.841,147.395,110.765,133.426,108.512
26,153.407,110.457,117.530,126.232,124.226,155.150,110.160,87.469,103.468,137.267,147.551,112.606,111.097,144.044,115.080,121.165,131.529,127.334,109.295,116.184,116.931,137.234,168.231,133.842,125.725,110.035,128.091,118.776,100.209,107.209,115.682,119.925,97.234,125.123,101.102,123.234,142.174,114.009,124.532,131.990,116.439,144.355,112.040,111.482,111.976,100.958,134.158,127.510,168.617,133.643,115.732,114.389,117.151,135.428,162.494,119.023,129.146,97.051,116.907,95.078
27,153.407,110.457,117.530,126.232,124.226,155.150,110.160,87.469,103.468,137.267,147.551,112.606,111.097,144.044,115.080,121.165,131.529,127.334,109.295,116.184,116.931,137.234,168.231,133.842,125.725,110.035,128.091,118.776,100.209,107.209,115.682,119.925,97.234,125.123,101.102,123.234,142.174,114.009,124.532,131.990,116.439,144.355,112.040,111.482,111.976,100.958,134.158,127.510,168.617,133.643,115.732,114.389,117.151,135.428,162.494,119.023,129.146,97.051,116.907,95.078
28,153.407,110.457,117.530,126.232,124.226,155.150,110.160,87.469,103.468,137.267,147.551,112.606,111.097,144.044,115.080,121.165,131.529,127.334,109.295,116.184,116.931,137.234,168.231,133.842,125.725,110.035,128.091,118.776,100.209,107.209,115.682,119.925,97.234,125.123,101.102,123.234,142.174,114.009,124.532,131.990,116.439,144.355,112.040,111.482,111.976,100.958,134.158,127.510,168.617,133.643,115.732,114.389,117.151,135.428,162.494,119.023,129.146,97.051,116.907,95.078
29,153.407,110.457,117.530,126.232,124.226,155.150,110.160,87.469,103.468,137.267,147.551,112.606,111.097,144.044,115.080,121.165,131.529,127.334,109.295,116.184,116.931,137.234,168.231,133.842,125.725,110.035,128.091,118.776,100.209,107.209,115.682,119.925,97.234,125.123,101.102,123.234,142.174,114.009,124.532,131.990,116.439,144.355,112.040,111.482,111.976,100.958,134.158,127.510,168.617,133.643,115.732,114.389,117.151,135.428,162.494,119.023,129.146,97.051,116.907,95.078
30,153.407,110.457,117.530,126.232,124.226,155.150,110.160,87.469,103.468,137.267,147.551,112.606,111.097,144.044,115.080,121.165,131.529,127.334,109.295,116.184,116.931,137.234,168.231,133.842,125.725,110.035,128.091,118.776,100.209,107.209,115.682,119.925,97.234,125.123,101.102,123.234,142.174,114.009,124.532,131.990,116.439,144.355,112.040,111.482,111.976,100.958,134.158,127.510,168.617,133.643,115.732,114.389,117.151,135.428,162.494,119.023,129.146,97.051,116.907,95.078
31,146.737,105.655,112.420,120.743,118.825,148.404,105.370,83.666,98.970,131.298,141.136,107.711,106.267,137.781,110.076,115.897,125.810,121.798,104.543,111.133,111.847,131.268,160.917,128.023,120.259,105.251,122.522,113.612,95.852,102.548,110.653,114.711,93.006,119.683,96.706,117.876,135.992,109.052,119.118,126.251,111.376,138.078,107.169,106.634,107.108,96.569,128.325,121.966,161.286,127.832,110.700,109.415,112.058,129.539,155.429,113.848,123.531,92.831,111.824,90.944
32,146.737,105.655,112.420,120.743,118.825,148.404,105.370,83.666,98.970,131.298,141.136,107.711,106.267,137.781,110.076,115.897,125.810,121.798,104.543,111.133,111.847,131.268,160.917,128.023,120.259,105.251,122.522,113.612,95.852,102.548,110.653,114.711,93.006,119.683,96.706,117.876,135.992,109.052,119.118,126.251,111.376,138.078,107.169,106.634,107.108,96.569,128.325,121.966,161.286,127.832,110.700,109.415,112.058,129.539,155.429,113.848,123.531,92.831,111.824,90.944
33,146.737,105.655,112.420,120.743,118.825,148.404,105.370,83.666,98.970,131.298,141.136,107.711,106.267,137.781,110.076,115.897,125.810,121.798,104.543,111.133,111.847,131.268,160.917,128.023,120.259,105.251,122.522,113.612,95.852,102.548,110.653,114.711,93.006,119.683,96.706,117.876,135.992,109.052,119.118,126.251,111.376,138.078,107.169,106.634,107.108,96.569,128.325,121.966,161.286,127.832,110.700,109.415,112.058,129.539,155.429,113.848,123.531,92.831,111.824,90.944
34,146.737,105.655,112.420,120.743,118.825,148.404,105.370,83.666,98.970,131.298,141.136,107.711,106.267,137.781,110.076,115.897,125.810,121.798,104.543,111.133,111.847,131.268,160.917,128.023,120.259,105.251,122.522,113.612,95.852,102.548,110.653,114.711,93.006,119.683,96.706,117.876,135.992,109.052,119.118,126.251,111.376,138.078,107.169,106.634,107.108,96.569,128.325,121.966,161.286,127.832,110.700,109.415,112.058,129.539,155.429,113.848,123.531,92.831,111.824,90.944
35,140.067,100.852,107.310,115.255,113.424,141.658,100.581,79.863,94.471,125.330,134.721,102.815,101.437,131.519,105.073,110.629,120.092,116.261,99.791,106.081,106.763,125.301,153.602,122.203,114.793,100.466,116.952,108.448,91.495,97.887,105.623,109.497,88.779,114.243,92.310,112.518,129.811,104.095,113.703,120.512,106.314,131.802,102.298,101.787,102.239,92.179,122.492,116.422,153.955,122.021,105.668,104.442,106.964,123.651,148.364,108.673,117.916,88.612,106.741,86.810
36,140.067,100.852,107.310,115.255,113.424,141.658,100.581,79.863,94.471,125.330,134.721,102.815,101.437,131.519,105.073,110.629,120.092,116.261,99.791,106.081,106.763,125.301,153.602,122.203,114.793,100.466,116.952,108.448,91.495,97.887,105.623,109.497,88.779,114.243,92.310,112.518,129.811,104.095,113.703,120.512,106.314,131.802,102.298,101.787,102.239,92.179,122.492,116.422,153.955,122.021,105.668,104.442,106.964,123.651,148.364,108.673,117.916,88.612,106.741,86.810
37,140.067,100.852,107.310,115.255,113.424,141.658,100.581,79.863,94.471,125.330,134.721,102.815,101.437,131.519,105.073,110.629,120.092,116.261,99.791,106.081,106.763,125.301,153.602,122.203,114.793,100.466,116.952,108.448,91.495,97.887,105.623,109.497,88.779,114.243,92.310,112.518,129.811,104.095,113.703,120.512,106.314,131.802,102.298,101.787,102.239,92.179,122.492,116.422,153.955,122.021,105.668,104.442,106.964,123.651,148.364,108.673,117.916,88.612,106.741,86.810
38,140.067,100.852,107.310,115.255,113.424,141.658,100.581,79.863,94.471,125.330,134.721,102.815,101.437,131.519,105.073,110.629,120.092,116.261,99.791,106.081,106.763,125.301,153.602,122.203,114.793,100.466,116.952,108.448,91.495,97.887,105.623,109.497,88.779,114.243,92.310,112.518,129.811,104.095,113.703,120.512,106.314,131.802,102.298,101.787,102.239,92.179,122.492,116.422,153.955,122.021,105.668,104.442,106.964,123.651,148.364,108.673,117.916,88.612,106.741,86.810
39,150.072,108.056,114.975,123.488,121.526,151.777,107.765,85.568,101.219,134.282,144.344,110.158,108.682,140.913,112.578,118.531,128.670,124.566,106.919,113.659,114.389,134.251,164.574,130.932,122.992,107.643,125.306,116.194,98.031,104.879,113.167,117.318,95.120,122.403,98.904,120.555,139.083,111.530,121.825,129.120,113.907,141.216,109.605,109.058,109.542,98.763,131.242,124.738,164.952,130.737,113.216,111.902,114.604,132.483,158.962,116.435,126.339,94.941,114.365,93.011
40,150.072,108.056,114.975,123.488,121.526,151.777,107.765,85.568,101.219,134.282,144.344,110.158,108.682,140.913,112.578,118.531,128.670,124.566,106.919,113.659,114.389,134.251,164.574,130.932,122.992,107.643,125.306,116.194,98.031,104.879,113.167,117.318,95.120,122.403,98.904,120.555,139.083,111.530,121.825,129.120,113.907,141.216,109.605,109.058,109.542,98.763,131.242,124.738,164.952,130.737,113.216,111.902,114.604,132.483,158.962,116.435,126.339,94.941,114.365,93.011
41,150.072,108.056,114.975,123.488,121.526,151.777,107.765,85.568,101.219,134.282,144.344,110.158,108.682,140.913,112.578,118.531,128.670,124.566,106.919,113.659,114.389,134.251,164.574,130.932,122.992,107.643,125.306,116.194,98.031,104.879,113.167,117.318,95.120,122.403,98.904,120.555,139.083,111.530,121.825,129.120,113.907,141.216,109.605,109.058,109.542,98.763,131.242,124.738,164.952,130.737,113.216,111.902,114.604,132.483,158.962,116.435,126.339,94.941,114.365,93.011
