date,price_eur_kwh
1950-01-01,0.021781
1950-01-02,0.021788
1950-01-03,0.021794
1950-01-04,0.021800
1950-01-05,0.021805
1950-01-06,0.021809
1950-01-07,0.021812
1950-01-08,0.021815
1950-01-09,0.021817
1950-01-10,0.021818
1950-01-11,0.021818
1950-01-12,0.021818
1950-01-13,0.021818
1950-01-14,0.021816
1950-01-15,0.021814
1950-01-16,0.021811
1950-01-17,0.021807
1950-01-18,0.021803
1950-01-19,0.021798
1950-01-20,0.021793
1950-01-21,0.021786
1950-01-22,0.021779
1950-01-23,0.021772
1950-01-24,0.021763
1950-01-25,0.021754
1950-01-26,0.021745
1950-01-27,0.021734
1950-01-28,0.021723
1950-01-29,0.021712
1950-01-30,0.021699
1950-01-31,0.021686
1950-02-01,0.021673
1950-02-02,0.021659
1950-02-03,0.021644
1950-02-04,0.021628
1950-02-05,0.021612
1950-02-06,0.021595
1950-02-07,0.021578
1950-02-08,0.021560
1950-02-09,0.021542
1950-02-10,0.021523
1950-02-11,0.021503
1950-02-12,0.021482
1950-02-13,0.021462
1950-02-14,0.021440
1950-02-15,0.021418
1950-02-16,0.021395
1950-02-17,0.021372
1950-02-18,0.021349
1950-02-19,0.021324
1950-02-20,0.021300
1950-02-21,0.021274
1950-02-22,0.021249
1950-02-23,0.021222
1950-02-24,0.021196
1950-02-25,0.021168
1950-02-26,0.021140
1950-02-27,0.021112
1950-02-28,0.021084
1950-03-01,0.021054
1950-03-02,0.021025
1950-03-03,0.020995
1950-03-04,0.020964
1950-03-05,0.020933
1950-03-06,0.020902
1950-03-07,0.020870
1950-03-08,0.020838
1950-03-09,0.020805
1950-03-10,0.020772
1950-03-11,0.020739
1950-03-12,0.020705
1950-03-13,0.020671
1950-03-14,0.020637
1950-03-15,0.020602
1950-03-16,0.020567
1950-03-17,0.020532
1950-03-18,0.020496
1950-03-19,0.020460
1950-03-20,0.020424
1950-03-21,0.020388
1950-03-22,0.020351
1950-03-23,0.020314
1950-03-24,0.020277
1950-03-25,0.020239
1950-03-26,0.020201
1950-03-27,0.020163
1950-03-28,0.020125
1950-03-29,0.020087
1950-03-30,0.020048
1950-03-31,0.020010
1950-04-01,0.019971
1950-04-02,0.019932
1950-04-03,0.019893
1950-04-04,0.019854
1950-04-05,0.019814
1950-04-06,0.019775
1950-04-07,0.019735
1950-04-08,0.019695
1950-04-09,0.019656
1950-04-10,0.019616
1950-04-11,0.019576
1950-04-12,0.019536
1950-04-13,0.019497
1950-04-14,0.019457
1950-04-15,0.019417
1950-04-16,0.019377
1950-04-17,0.019337
1950-04-18,0.019297
1950-04-19,0.019257
1950-04-20,0.019218
1950-04-21,0.019178
1950-04-22,0.019139
1950-04-23,0.019099
1950-04-24,0.019060
1950-04-25,0.019020
1950-04-26,0.018981
1950-04-27,0.018942
1950-04-28,0.018904
1950-04-29,0.018865
1950-04-30,0.018826
1950-05-01,0.018788
1950-05-02,0.018750
1950-05-03,0.018712
1950-05-04,0.018674
1950-05-05,0.018637
1950-05-06,0.018600
1950-05-07,0.018563
1950-05-08,0.018526
1950-05-09,0.018490
1950-05-10,0.018454
1950-05-11,0.018418
1950-05-12,0.018382
1950-05-13,0.018347
1950-05-14,0.018312
1950-05-15,0.018278
1950-05-16,0.018244
1950-05-17,0.018210
1950-05-18,0.018176
1950-05-19,0.018143
1950-05-20,0.018111
1950-05-21,0.018079
1950-05-22,0.018047
1950-05-23,0.018015
1950-05-24,0.017984
1950-05-25,0.017954
1950-05-26,0.017924
1950-05-27,0.017894
1950-05-28,0.017865
1950-05-29,0.017837
1950-05-30,0.017809
1950-05-31,0.017781
1950-06-01,0.017754
1950-06-02,0.017727
1950-06-03,0.017701
1950-06-04,0.017676
1950-06-05,0.017651
1950-06-06,0.017626
1950-06-07,0.017603
1950-06-08,0.017579
1950-06-09,0.017557
1950-06-10,0.017534
1950-06-11,0.017513
1950-06-12,0.017492
1950-06-13,0.017472
1950-06-14,0.017452
1950-06-15,0.017433
1950-06-16,0.017414
1950-06-17,0.017397
1950-06-18,0.017379
1950-06-19,0.017363
1950-06-20,0.017347
1950-06-21,0.017332
1950-06-22,0.017317
1950-06-23,0.017303
1950-06-24,0.017290
1950-06-25,0.017277
1950-06-26,0.017265
1950-06-27,0.017254
1950-06-28,0.017243
1950-06-29,0.017234
1950-06-30,0.017224
1950-07-01,0.017216
1950-07-02,0.017208
1950-07-03,0.017201
1950-07-04,0.017194
1950-07-05,0.017188
1950-07-06,0.017183
1950-07-07,0.017179
1950-07-08,0.017175
1950-07-09,0.017172
1950-07-10,0.017170
1950-07-11,0.017168
1950-07-12,0.017167
1950-07-13,0.017167
1950-07-14,0.017168
1950-07-15,0.017169
1950-07-16,0.017171
1950-07-17,0.017173
1950-07-18,0.017176
1950-07-19,0.017180
1950-07-20,0.017185
1950-07-21,0.017190
1950-07-22,0.017196
1950-07-23,0.017203
1950-07-24,0.017210
1950-07-25,0.017218
1950-07-26,0.017227
1950-07-27,0.017236
1950-07-28,0.017246
1950-07-29,0.017257
1950-07-30,0.017268
1950-07-31,0.017280
1950-08-01,0.017293
1950-08-02,0.017306
1950-08-03,0.017320
1950-08-04,0.017334
1950-08-05,0.017349
1950-08-06,0.017365
1950-08-07,0.017382
1950-08-08,0.017399
1950-08-09,0.017416
1950-08-10,0.017435
1950-08-11,0.017453
1950-08-12,0.017473
1950-08-13,0.017493
1950-08-14,0.017513
1950-08-15,0.017535
1950-08-16,0.017556
1950-08-17,0.017579
1950-08-18,0.017602
1950-08-19,0.017625
1950-08-20,0.017649
1950-08-21,0.017673
1950-08-22,0.017698
1950-08-23,0.017724
1950-08-24,0.017750
1950-08-25,0.017777
1950-08-26,0.017804
1950-08-27,0.017831
1950-08-28,0.017859
1950-08-29,0.017888
1950-08-30,0.017917
1950-08-31,0.017946
1950-09-01,0.017976
1950-09-02,0.018006
1950-09-03,0.018037
1950-09-04,0.018068
1950-09-05,0.018100
1950-09-06,0.018132
1950-09-07,0.018164
1950-09-08,0.018197
1950-09-09,0.018230
1950-09-10,0.018263
1950-09-11,0.018297
1950-09-12,0.018331
1950-09-13,0.018366
1950-09-14,0.018401
1950-09-15,0.018436
1950-09-16,0.018471
1950-09-17,0.018507
1950-09-18,0.018543
1950-09-19,0.018580
1950-09-20,0.018616
1950-09-21,0.018653
1950-09-22,0.018690
1950-09-23,0.018728
1950-09-24,0.018765
1950-09-25,0.018803
1950-09-26,0.018841
1950-09-27,0.018879
1950-09-28,0.018918
1950-09-29,0.018957
1950-09-30,0.018995
1950-10-01,0.019034
1950-10-02,0.019073
1950-10-03,0.019112
1950-10-04,0.019152
1950-10-05,0.019191
1950-10-06,0.019231
1950-10-07,0.019270
1950-10-08,0.019310
1950-10-09,0.019350
1950-10-10,0.019389
1950-10-11,0.019429
1950-10-12,0.019469
1950-10-13,0.019509
1950-10-14,0.019549
1950-10-15,0.019589
1950-10-16,0.019629
1950-10-17,0.019668
1950-10-18,0.019708
1950-10-19,0.019748
1950-10-20,0.019788
1950-10-21,0.019827
1950-10-22,0.019867
1950-10-23,0.019906
1950-10-24,0.019945
1950-10-25,0.019985
1950-10-26,0.020024
1950-10-27,0.020063
1950-10-28,0.020101
1950-10-29,0.020140
1950-10-30,0.020178
1950-10-31,0.020217
1950-11-01,0.020255
1950-11-02,0.020292
1950-11-03,0.020330
1950-11-04,0.020367
1950-11-05,0.020404
1950-11-06,0.020441
1950-11-07,0.020478
1950-11-08,0.020514
1950-11-09,0.020550
1950-11-10,0.020586
1950-11-11,0.020621
1950-11-12,0.020656
1950-11-13,0.020691
1950-11-14,0.020725
1950-11-15,0.020759
1950-11-16,0.020793
1950-11-17,0.020826
1950-11-18,0.020859
1950-11-19,0.020891
1950-11-20,0.020923
1950-11-21,0.020955
1950-11-22,0.020986
1950-11-23,0.021016
1950-11-24,0.021047
1950-11-25,0.021077
1950-11-26,0.021106
1950-11-27,0.021135
1950-11-28,0.021163
1950-11-29,0.021191
1950-11-30,0.021218
1950-12-01,0.021245
1950-12-02,0.021271
1950-12-03,0.021297
1950-12-04,0.021322
1950-12-05,0.021347
1950-12-06,0.021371
1950-12-07,0.021395
1950-12-08,0.021418
1950-12-09,0.021440
1950-12-10,0.021462
1950-12-11,0.021483
1950-12-12,0.021504
1950-12-13,0.021524
1950-12-14,0.021543
1950-12-15,0.021562
1950-12-16,0.021580
1950-12-17,0.021598
1950-12-18,0.021614
1950-12-19,0.021631
