date,price_eur_kwh
1950-01-01,0.051246
1950-01-02,0.051339
1950-01-03,0.051429
1950-01-04,0.051516
1950-01-05,0.051600
1950-01-06,0.051681
1950-01-07,0.051758
1950-01-08,0.051832
1950-01-09,0.051903
1950-01-10,0.051970
1950-01-11,0.052034
1950-01-12,0.052095
1950-01-13,0.052153
1950-01-14,0.052207
1950-01-15,0.052258
1950-01-16,0.052305
1950-01-17,0.052349
1950-01-18,0.052390
1950-01-19,0.052427
1950-01-20,0.052461
1950-01-21,0.052491
1950-01-22,0.052518
1950-01-23,0.052542
1950-01-24,0.052562
1950-01-25,0.052578
1950-01-26,0.052591
1950-01-27,0.052601
1950-01-28,0.052607
1950-01-29,0.052610
1950-01-30,0.052609
1950-01-31,0.052605
1950-02-01,0.052597
1950-02-02,0.052586
1950-02-03,0.052571
1950-02-04,0.052553
1950-02-05,0.052531
1950-02-06,0.052506
1950-02-07,0.052478
1950-02-08,0.052446
1950-02-09,0.052410
1950-02-10,0.052371
1950-02-11,0.052329
1950-02-12,0.052284
1950-02-13,0.052235
1950-02-14,0.052182
1950-02-15,0.052127
1950-02-16,0.052068
1950-02-17,0.052005
1950-02-18,0.051940
1950-02-19,0.051871
1950-02-20,0.051799
1950-02-21,0.051724
1950-02-22,0.051645
1950-02-23,0.051563
1950-02-24,0.051478
1950-02-25,0.051390
1950-02-26,0.051299
1950-02-27,0.051205
1950-02-28,0.051108
1950-03-01,0.051007
1950-03-02,0.050904
1950-03-03,0.050798
1950-03-04,0.050689
1950-03-05,0.050577
1950-03-06,0.050462
1950-03-07,0.050344
1950-03-08,0.050223
1950-03-09,0.050100
1950-03-10,0.049974
1950-03-11,0.049845
1950-03-12,0.049714
1950-03-13,0.049579
1950-03-14,0.049443
1950-03-15,0.049304
1950-03-16,0.049162
1950-03-17,0.049018
1950-03-18,0.048871
1950-03-19,0.048722
1950-03-20,0.048571
1950-03-21,0.048417
1950-03-22,0.048262
1950-03-23,0.048104
1950-03-24,0.047944
1950-03-25,0.047781
1950-03-26,0.047617
1950-03-27,0.047451
1950-03-28,0.047282
1950-03-29,0.047112
1950-03-30,0.046940
1950-03-31,0.046766
1950-04-01,0.046591
1950-04-02,0.046414
1950-04-03,0.046235
1950-04-04,0.046054
1950-04-05,0.045872
1950-04-06,0.045688
1950-04-07,0.045503
1950-04-08,0.045317
1950-04-09,0.045129
1950-04-10,0.044940
1950-04-11,0.044750
1950-04-12,0.044559
1950-04-13,0.044366
1950-04-14,0.044173
1950-04-15,0.043978
1950-04-16,0.043783
1950-04-17,0.043586
1950-04-18,0.043389
1950-04-19,0.043191
1950-04-20,0.042992
1950-04-21,0.042793
1950-04-22,0.042593
1950-04-23,0.042393
1950-04-24,0.042192
1950-04-25,0.041991
1950-04-26,0.041789
1950-04-27,0.041587
1950-04-28,0.041385
1950-04-29,0.041183
1950-04-30,0.040980
1950-05-01,0.040778
1950-05-02,0.040575
1950-05-03,0.040373
1950-05-04,0.040170
1950-05-05,0.039968
1950-05-06,0.039767
1950-05-07,0.039565
1950-05-08,0.039364
1950-05-09,0.039163
1950-05-10,0.038963
1950-05-11,0.038763
1950-05-12,0.038564
1950-05-13,0.038366
1950-05-14,0.038168
1950-05-15,0.037971
1950-05-16,0.037775
1950-05-17,0.037580
1950-05-18,0.037386
1950-05-19,0.037193
1950-05-20,0.037001
1950-05-21,0.036810
1950-05-22,0.036621
1950-05-23,0.036432
1950-05-24,0.036245
1950-05-25,0.036059
1950-05-26,0.035875
1950-05-27,0.035692
1950-05-28,0.035511
1950-05-29,0.035331
1950-05-30,0.035153
1950-05-31,0.034977
1950-06-01,0.034802
1950-06-02,0.034629
1950-06-03,0.034458
1950-06-04,0.034289
1950-06-05,0.034122
1950-06-06,0.033957
1950-06-07,0.033794
1950-06-08,0.033633
1950-06-09,0.033474
1950-06-10,0.033317
1950-06-11,0.033163
1950-06-12,0.033011
1950-06-13,0.032861
1950-06-14,0.032714
1950-06-15,0.032569
1950-06-16,0.032427
1950-06-17,0.032287
1950-06-18,0.032149
1950-06-19,0.032014
1950-06-20,0.031882
1950-06-21,0.031753
1950-06-22,0.031626
1950-06-23,0.031502
1950-06-24,0.031381
1950-06-25,0.031262
1950-06-26,0.031147
1950-06-27,0.031034
1950-06-28,0.030924
1950-06-29,0.030817
1950-06-30,0.030714
1950-07-01,0.030613
1950-07-02,0.030515
1950-07-03,0.030420
1950-07-04,0.030329
1950-07-05,0.030240
1950-07-06,0.030155
1950-07-07,0.030073
1950-07-08,0.029994
1950-07-09,0.029918
1950-07-10,0.029846
1950-07-11,0.029777
1950-07-12,0.029711
1950-07-13,0.029648
1950-07-14,0.029589
1950-07-15,0.029533
1950-07-16,0.029481
1950-07-17,0.029432
1950-07-18,0.029386
1950-07-19,0.029344
1950-07-20,0.029305
1950-07-21,0.029269
1950-07-22,0.029237
1950-07-23,0.029208
1950-07-24,0.029183
1950-07-25,0.029161
1950-07-26,0.029143
1950-07-27,0.029128
1950-07-28,0.029117
1950-07-29,0.029109
1950-07-30,0.029105
1950-07-31,0.029104
1950-08-01,0.029106
1950-08-02,0.029112
1950-08-03,0.029122
1950-08-04,0.029135
1950-08-05,0.029151
1950-08-06,0.029171
1950-08-07,0.029195
1950-08-08,0.029221
1950-08-09,0.029252
1950-08-10,0.029285
1950-08-11,0.029322
1950-08-12,0.029363
1950-08-13,0.029407
1950-08-14,0.029454
1950-08-15,0.029505
1950-08-16,0.029559
1950-08-17,0.029616
1950-08-18,0.029677
1950-08-19,0.029741
1950-08-20,0.029808
1950-08-21,0.029878
1950-08-22,0.029952
