date,price_eur_kwh
1950-01-01,0.051990
1950-01-02,0.052086
1950-01-03,0.052179
1950-01-04,0.052268
1950-01-05,0.052355
1950-01-06,0.052437
1950-01-07,0.052517
1950-01-08,0.052592
1950-01-09,0.052665
1950-01-10,0.052734
1950-01-11,0.052799
1950-01-12,0.052861
1950-01-13,0.052919
1950-01-14,0.052974
1950-01-15,0.053025
1950-01-16,0.053072
1950-01-17,0.053116
1950-01-18,0.053156
1950-01-19,0.053193
1950-01-20,0.053225
1950-01-21,0.053255
1950-01-22,0.053280
1950-01-23,0.053302
1950-01-24,0.053320
1950-01-25,0.053335
1950-01-26,0.053346
1950-01-27,0.053353
1950-01-28,0.053356
1950-01-29,0.053356
1950-01-30,0.053352
1950-01-31,0.053344
1950-02-01,0.053333
1950-02-02,0.053317
1950-02-03,0.053299
1950-02-04,0.053276
1950-02-05,0.053250
1950-02-06,0.053220
1950-02-07,0.053187
1950-02-08,0.053149
1950-02-09,0.053109
1950-02-10,0.053064
1950-02-11,0.053016
1950-02-12,0.052964
1950-02-13,0.052909
1950-02-14,0.052850
1950-02-15,0.052788
1950-02-16,0.052722
1950-02-17,0.052653
1950-02-18,0.052580
1950-02-19,0.052503
1950-02-20,0.052423
1950-02-21,0.052340
1950-02-22,0.052253
1950-02-23,0.052163
1950-02-24,0.052070
1950-02-25,0.051973
1950-02-26,0.051873
1950-02-27,0.051770
1950-02-28,0.051663
1950-03-01,0.051553
1950-03-02,0.051441
1950-03-03,0.051324
1950-03-04,0.051205
1950-03-05,0.051083
1950-03-06,0.050958
1950-03-07,0.050830
1950-03-08,0.050698
1950-03-09,0.050564
1950-03-10,0.050427
1950-03-11,0.050287
1950-03-12,0.050145
1950-03-13,0.049999
1950-03-14,0.049851
1950-03-15,0.049701
1950-03-16,0.049547
1950-03-17,0.049391
1950-03-18,0.049233
1950-03-19,0.049072
1950-03-20,0.048908
1950-03-21,0.048743
1950-03-22,0.048574
1950-03-23,0.048404
1950-03-24,0.048231
1950-03-25,0.048057
1950-03-26,0.047880
1950-03-27,0.047701
1950-03-28,0.047519
1950-03-29,0.047336
1950-03-30,0.047151
1950-03-31,0.046965
1950-04-01,0.046776
1950-04-02,0.046586
1950-04-03,0.046393
1950-04-04,0.046200
1950-04-05,0.046004
1950-04-06,0.045807
1950-04-07,0.045609
1950-04-08,0.045409
