date,price_eur_kwh
1950-01-01,0.007118
1950-01-02,0.007132
1950-01-03,0.007144
1950-01-04,0.007157
1950-01-05,0.007168
1950-01-06,0.007180
1950-01-07,0.007191
1950-01-08,0.007201
1950-01-09,0.007211
1950-01-10,0.007220
1950-01-11,0.007229
1950-01-12,0.007238
1950-01-13,0.007246
1950-01-14,0.007253
1950-01-15,0.007260
1950-01-16,0.007267
1950-01-17,0.007273
1950-01-18,0.007278
1950-01-19,0.007283
1950-01-20,0.007288
1950-01-21,0.007292
1950-01-22,0.007295
1950-01-23,0.007298
1950-01-24,0.007301
1950-01-25,0.007303
1950-01-26,0.007304
1950-01-27,0.007305
1950-01-28,0.007305
1950-01-29,0.007305
1950-01-30,0.007305
1950-01-31,0.007304
1950-02-01,0.007302
1950-02-02,0.007300
1950-02-03,0.007298
1950-02-04,0.007295
1950-02-05,0.007291
1950-02-06,0.007287
1950-02-07,0.007282
1950-02-08,0.007277
1950-02-09,0.007272
1950-02-10,0.007266
1950-02-11,0.007259
1950-02-12,0.007252
1950-02-13,0.007244
1950-02-14,0.007236
1950-02-15,0.007228
1950-02-16,0.007219
1950-02-17,0.007209
1950-02-18,0.007199
1950-02-19,0.007189
1950-02-20,0.007178
1950-02-21,0.007166
1950-02-22,0.007154
1950-02-23,0.007142
1950-02-24,0.007129
1950-02-25,0.007116
1950-02-26,0.007102
1950-02-27,0.007088
1950-02-28,0.007074
1950-03-01,0.007059
1950-03-02,0.007043
1950-03-03,0.007027
1950-03-04,0.007011
1950-03-05,0.006994
1950-03-06,0.006977
1950-03-07,0.006960
1950-03-08,0.006942
1950-03-09,0.006923
1950-03-10,0.006904
1950-03-11,0.006885
1950-03-12,0.006866
1950-03-13,0.006846
1950-03-14,0.006826
1950-03-15,0.006805
1950-03-16,0.006784
1950-03-17,0.006763
1950-03-18,0.006741
1950-03-19,0.006719
1950-03-20,0.006697
1950-03-21,0.006674
1950-03-22,0.006651
1950-03-23,0.006627
1950-03-24,0.006604
1950-03-25,0.006580
1950-03-26,0.006556
1950-03-27,0.006531
1950-03-28,0.006506
1950-03-29,0.006481
1950-03-30,0.006456
1950-03-31,0.006430
1950-04-01,0.006405
1950-04-02,0.006378
1950-04-03,0.006352
1950-04-04,0.006326
1950-04-05,0.006299
1950-04-06,0.006272
1950-04-07,0.006245
1950-04-08,0.006217
1950-04-09,0.006190
1950-04-10,0.006162
1950-04-11,0.006134
1950-04-12,0.006106
1950-04-13,0.006078
1950-04-14,0.006050
1950-04-15,0.006021
1950-04-16,0.005993
1950-04-17,0.005964
1950-04-18,0.005935
1950-04-19,0.005906
1950-04-20,0.005877
1950-04-21,0.005848
1950-04-22,0.005819
1950-04-23,0.005790
1950-04-24,0.005760
1950-04-25,0.005731
1950-04-26,0.005702
1950-04-27,0.005672
