date,evaporation_m3
1950-01-01,151289.026103
1950-01-02,151289.026103
1950-01-03,151289.026103
1950-01-04,151289.026103
1950-01-05,151289.026103
1950-01-06,151289.026103
1950-01-07,151289.026103
1950-01-08,151289.026103
1950-01-09,151289.026103
1950-01-10,151289.026103
1950-01-11,151289.026103
1950-01-12,151289.026103
1950-01-13,151289.026103
1950-01-14,151289.026103
1950-01-15,151289.026103
1950-01-16,151289.026103
1950-01-17,151289.026103
1950-01-18,151289.026103
1950-01-19,151289.026103
1950-01-20,151289.026103
1950-01-21,151289.026103
1950-01-22,151289.026103
1950-01-23,151289.026103
1950-01-24,151289.026103
1950-01-25,151289.026103
1950-01-26,151289.026103
1950-01-27,151289.026103
1950-01-28,151289.026103
1950-01-29,151289.026103
1950-01-30,151289.026103
1950-01-31,151289.026103
1950-02-01,197501.108050
1950-02-02,197501.108050
1950-02-03,197501.108050
1950-02-04,197501.108050
1950-02-05,197501.108050
1950-02-06,197501.108050
1950-02-07,197501.108050
1950-02-08,197501.108050
1950-02-09,197501.108050
1950-02-10,197501.108050
1950-02-11,197501.108050
1950-02-12,197501.108050
1950-02-13,197501.108050
1950-02-14,197501.108050
1950-02-15,197501.108050
1950-02-16,197501.108050
1950-02-17,197501.108050
1950-02-18,197501.108050
1950-02-19,197501.108050
1950-02-20,197501.108050
1950-02-21,197501.108050
1950-02-22,197501.108050
1950-02-23,197501.108050
1950-02-24,197501.108050
1950-02-25,197501.108050
1950-02-26,197501.108050
1950-02-27,197501.108050
1950-02-28,197501.108050
1950-03-01,207804.467890
1950-03-02,207804.467890
1950-03-03,207804.467890
1950-03-04,207804.467890
1950-03-05,207804.467890
1950-03-06,207804.467890
1950-03-07,207804.467890
1950-03-08,207804.467890
1950-03-09,207804.467890
1950-03-10,207804.467890
1950-03-11,207804.467890
1950-03-12,207804.467890
1950-03-13,207804.467890
1950-03-14,207804.467890
1950-03-15,207804.467890
1950-03-16,207804.467890
1950-03-17,207804.467890
1950-03-18,207804.467890
1950-03-19,207804.467890
1950-03-20,207804.467890
1950-03-21,207804.467890
1950-03-22,207804.467890
1950-03-23,207804.467890
1950-03-24,207804.467890
1950-03-25,207804.467890
1950-03-26,207804.467890
1950-03-27,207804.467890
1950-03-28,207804.467890
1950-03-29,207804.467890
1950-03-30,207804.467890
1950-03-31,207804.467890
1950-04-01,196271.520108
1950-04-02,196271.520108
1950-04-03,196271.520108
1950-04-04,196271.520108
1950-04-05,196271.520108
1950-04-06,196271.520108
1950-04-07,196271.520108
1950-04-08,196271.520108
1950-04-09,196271.520108
1950-04-10,196271.520108
1950-04-11,196271.520108
1950-04-12,196271.520108
1950-04-13,196271.520108
1950-04-14,196271.520108
1950-04-15,196271.520108
1950-04-16,196271.520108
1950-04-17,196271.520108
1950-04-18,196271.520108
1950-04-19,196271.520108
1950-04-20,196271.520108
1950-04-21,196271.520108
1950-04-22,196271.520108
1950-04-23,196271.520108
1950-04-24,196271.520108
1950-04-25,196271.520108
1950-04-26,196271.520108
1950-04-27,196271.520108
1950-04-28,196271.520108
1950-04-29,196271.520108
1950-04-30,196271.520108
1950-05-01,108404.036972
1950-05-02,108404.036972
1950-05-03,108404.036972
1950-05-04,108404.036972
1950-05-05,108404.036972
1950-05-06,108404.036972
1950-05-07,108404.036972
1950-05-08,108404.036972
1950-05-09,108404.036972
1950-05-10,108404.036972
1950-05-11,108404.036972
1950-05-12,108404.036972
1950-05-13,108404.036972
1950-05-14,108404.036972
1950-05-15,108404.036972
1950-05-16,108404.036972
1950-05-17,108404.036972
1950-05-18,108404.036972
1950-05-19,108404.036972
1950-05-20,108404.036972
1950-05-21,108404.036972
1950-05-22,108404.036972
1950-05-23,108404.036972
1950-05-24,108404.036972
1950-05-25,108404.036972
1950-05-26,108404.036972
1950-05-27,108404.036972
1950-05-28,108404.036972
1950-05-29,108404.036972
1950-05-30,108404.036972
1950-05-31,108404.036972
1950-06-01,112739.456818
1950-06-02,112739.456818
1950-06-03,112739.456818
1950-06-04,112739.456818
1950-06-05,112739.456818
1950-06-06,112739.456818
1950-06-07,112739.456818
1950-06-08,112739.456818
1950-06-09,112739.456818
1950-06-10,112739.456818
1950-06-11,112739.456818
1950-06-12,112739.456818
1950-06-13,112739.456818
1950-06-14,112739.456818
1950-06-15,112739.456818
1950-06-16,112739.456818
1950-06-17,112739.456818
1950-06-18,112739.456818
1950-06-19,112739.456818
1950-06-20,112739.456818
1950-06-21,112739.456818
1950-06-22,112739.456818
1950-06-23,112739.456818
1950-06-24,112739.456818
1950-06-25,112739.456818
1950-06-26,112739.456818
1950-06-27,112739.456818
1950-06-28,112739.456818
1950-06-29,112739.456818
1950-06-30,112739.456818
1950-07-01,90790.864441
1950-07-02,90790.864441
1950-07-03,90790.864441
1950-07-04,90790.864441
1950-07-05,90790.864441
1950-07-06,90790.864441
1950-07-07,90790.864441
1950-07-08,90790.864441
1950-07-09,90790.864441
1950-07-10,90790.864441
1950-07-11,90790.864441
1950-07-12,90790.864441
1950-07-13,90790.864441
1950-07-14,90790.864441
1950-07-15,90790.864441
1950-07-16,90790.864441
1950-07-17,90790.864441
1950-07-18,90790.864441
1950-07-19,90790.864441
1950-07-20,90790.864441
1950-07-21,90790.864441
1950-07-22,90790.864441
1950-07-23,90790.864441
1950-07-24,90790.864441
1950-07-25,90790.864441
1950-07-26,90790.864441
1950-07-27,90790.864441
1950-07-28,90790.864441
1950-07-29,90790.864441
1950-07-30,90790.864441
1950-07-31,90790.864441
1950-08-01,75879.224366
1950-08-02,75879.224366
1950-08-03,75879.224366
1950-08-04,75879.224366
1950-08-05,75879.224366
1950-08-06,75879.224366
1950-08-07,75879.224366
1950-08-08,75879.224366
1950-08-09,75879.224366
1950-08-10,75879.224366
1950-08-11,75879.224366
1950-08-12,75879.224366
1950-08-13,75879.224366
1950-08-14,75879.224366
1950-08-15,75879.224366
1950-08-16,75879.224366
1950-08-17,75879.224366
1950-08-18,75879.224366
1950-08-19,75879.224366
1950-08-20,75879.224366
1950-08-21,75879.224366
1950-08-22,75879.224366
1950-08-23,75879.224366
1950-08-24,75879.224366
1950-08-25,75879.224366
1950-08-26,75879.224366
1950-08-27,75879.224366
1950-08-28,75879.224366
1950-08-29,75879.224366
1950-08-30,75879.224366
1950-08-31,75879.224366
1950-09-01,88189.300150
1950-09-02,88189.300150
1950-09-03,88189.300150
1950-09-04,88189.300150
1950-09-05,88189.300150
1950-09-06,88189.300150
1950-09-07,88189.300150
1950-09-08,88189.300150
1950-09-09,88189.300150
1950-09-10,88189.300150
1950-09-11,88189.300150
1950-09-12,88189.300150
1950-09-13,88189.300150
1950-09-14,88189.300150
1950-09-15,88189.300150
1950-09-16,88189.300150
1950-09-17,88189.300150
1950-09-18,88189.300150
1950-09-19,88189.300150
1950-09-20,88189.300150
1950-09-21,88189.300150
1950-09-22,88189.300150
1950-09-23,88189.300150
1950-09-24,88189.300150
1950-09-25,88189.300150
1950-09-26,88189.300150
1950-09-27,88189.300150
1950-09-28,88189.300150
1950-09-29,88189.300150
1950-09-30,88189.300150
1950-10-01,71851.990276
1950-10-02,71851.990276
1950-10-03,71851.990276
1950-10-04,71851.990276
1950-10-05,71851.990276
1950-10-06,71851.990276
1950-10-07,71851.990276
1950-10-08,71851.990276
1950-10-09,71851.990276
1950-10-10,71851.990276
1950-10-11,71851.990276
1950-10-12,71851.990276
1950-10-13,71851.990276
1950-10-14,71851.990276
1950-10-15,71851.990276
1950-10-16,71851.990276
1950-10-17,71851.990276
1950-10-18,71851.990276
1950-10-19,71851.990276
1950-10-20,71851.990276
1950-10-21,71851.990276
1950-10-22,71851.990276
1950-10-23,71851.990276
1950-10-24,71851.990276
1950-10-25,71851.990276
1950-10-26,71851.990276
1950-10-27,71851.990276
1950-10-28,71851.990276
1950-10-29,71851.990276
1950-10-30,71851.990276
1950-10-31,71851.990276
1950-11-01,80865.658820
1950-11-02,80865.658820
1950-11-03,80865.658820
