date,evaporation_m3
1950-01-01,43392.514870
1950-01-02,43392.514870
1950-01-03,43392.514870
1950-01-04,43392.514870
1950-01-05,43392.514870
1950-01-06,43392.514870
1950-01-07,43392.514870
1950-01-08,43392.514870
1950-01-09,43392.514870
1950-01-10,43392.514870
1950-01-11,43392.514870
1950-01-12,43392.514870
1950-01-13,43392.514870
1950-01-14,43392.514870
1950-01-15,43392.514870
1950-01-16,43392.514870
1950-01-17,43392.514870
1950-01-18,43392.514870
1950-01-19,43392.514870
1950-01-20,43392.514870
1950-01-21,43392.514870
1950-01-22,43392.514870
1950-01-23,43392.514870
1950-01-24,43392.514870
1950-01-25,43392.514870
1950-01-26,43392.514870
1950-01-27,43392.514870
1950-01-28,43392.514870
1950-01-29,43392.514870
1950-01-30,43392.514870
1950-01-31,43392.514870
1950-02-01,59416.311394
1950-02-02,59416.311394
1950-02-03,59416.311394
1950-02-04,59416.311394
1950-02-05,59416.311394
1950-02-06,59416.311394
1950-02-07,59416.311394
1950-02-08,59416.311394
1950-02-09,59416.311394
1950-02-10,59416.311394
1950-02-11,59416.311394
1950-02-12,59416.311394
1950-02-13,59416.311394
1950-02-14,59416.311394
1950-02-15,59416.311394
1950-02-16,59416.311394
1950-02-17,59416.311394
1950-02-18,59416.311394
1950-02-19,59416.311394
1950-02-20,59416.311394
1950-02-21,59416.311394
1950-02-22,59416.311394
1950-02-23,59416.311394
1950-02-24,59416.311394
1950-02-25,59416.311394
1950-02-26,59416.311394
1950-02-27,59416.311394
1950-02-28,59416.311394
1950-03-01,36801.701231
1950-03-02,36801.701231
1950-03-03,36801.701231
1950-03-04,36801.701231
1950-03-05,36801.701231
1950-03-06,36801.701231
1950-03-07,36801.701231
1950-03-08,36801.701231
1950-03-09,36801.701231
1950-03-10,36801.701231
1950-03-11,36801.701231
1950-03-12,36801.701231
1950-03-13,36801.701231
1950-03-14,36801.701231
1950-03-15,36801.701231
1950-03-16,36801.701231
1950-03-17,36801.701231
1950-03-18,36801.701231
1950-03-19,36801.701231
1950-03-20,36801.701231
1950-03-21,36801.701231
1950-03-22,36801.701231
1950-03-23,36801.701231
1950-03-24,36801.701231
1950-03-25,36801.701231
1950-03-26,36801.701231
1950-03-27,36801.701231
1950-03-28,36801.701231
1950-03-29,36801.701231
1950-03-30,36801.701231
1950-03-31,36801.701231
1950-04-01,39786.171789
1950-04-02,39786.171789
1950-04-03,39786.171789
1950-04-04,39786.171789
1950-04-05,39786.171789
1950-04-06,39786.171789
1950-04-07,39786.171789
1950-04-08,39786.171789
1950-04-09,39786.171789
1950-04-10,39786.171789
1950-04-11,39786.171789
1950-04-12,39786.171789
1950-04-13,39786.171789
1950-04-14,39786.171789
1950-04-15,39786.171789
1950-04-16,39786.171789
1950-04-17,39786.171789
1950-04-18,39786.171789
1950-04-19,39786.171789
1950-04-20,39786.171789
1950-04-21,39786.171789
1950-04-22,39786.171789
1950-04-23,39786.171789
1950-04-24,39786.171789
1950-04-25,39786.171789
1950-04-26,39786.171789
1950-04-27,39786.171789
1950-04-28,39786.171789
1950-04-29,39786.171789
1950-04-30,39786.171789
1950-05-01,25100.872341
1950-05-02,25100.872341
1950-05-03,25100.872341
1950-05-04,25100.872341
1950-05-05,25100.872341
1950-05-06,25100.872341
1950-05-07,25100.872341
1950-05-08,25100.872341
1950-05-09,25100.872341
1950-05-10,25100.872341
1950-05-11,25100.872341
1950-05-12,25100.872341
1950-05-13,25100.872341
1950-05-14,25100.872341
1950-05-15,25100.872341
1950-05-16,25100.872341
1950-05-17,25100.872341
1950-05-18,25100.872341
1950-05-19,25100.872341
1950-05-20,25100.872341
1950-05-21,25100.872341
1950-05-22,25100.872341
1950-05-23,25100.872341
1950-05-24,25100.872341
1950-05-25,25100.872341
1950-05-26,25100.872341
1950-05-27,25100.872341
1950-05-28,25100.872341
1950-05-29,25100.872341
1950-05-30,25100.872341
1950-05-31,25100.872341
1950-06-01,28162.145366
1950-06-02,28162.145366
1950-06-03,28162.145366
1950-06-04,28162.145366
1950-06-05,28162.145366
1950-06-06,28162.145366
1950-06-07,28162.145366
1950-06-08,28162.145366
1950-06-09,28162.145366
1950-06-10,28162.145366
1950-06-11,28162.145366
1950-06-12,28162.145366
1950-06-13,28162.145366
1950-06-14,28162.145366
1950-06-15,28162.145366
1950-06-16,28162.145366
1950-06-17,28162.145366
1950-06-18,28162.145366
1950-06-19,28162.145366
1950-06-20,28162.145366
1950-06-21,28162.145366
1950-06-22,28162.145366
1950-06-23,28162.145366
1950-06-24,28162.145366
1950-06-25,28162.145366
1950-06-26,28162.145366
1950-06-27,28162.145366
1950-06-28,28162.145366
1950-06-29,28162.145366
1950-06-30,28162.145366
1950-07-01,26452.310023
1950-07-02,26452.310023
1950-07-03,26452.310023
1950-07-04,26452.310023
1950-07-05,26452.310023
1950-07-06,26452.310023
1950-07-07,26452.310023
1950-07-08,26452.310023
1950-07-09,26452.310023
1950-07-10,26452.310023
1950-07-11,26452.310023
1950-07-12,26452.310023
1950-07-13,26452.310023
1950-07-14,26452.310023
1950-07-15,26452.310023
1950-07-16,26452.310023
1950-07-17,26452.310023
1950-07-18,26452.310023
1950-07-19,26452.310023
1950-07-20,26452.310023
1950-07-21,26452.310023
1950-07-22,26452.310023
1950-07-23,26452.310023
1950-07-24,26452.310023
1950-07-25,26452.310023
1950-07-26,26452.310023
1950-07-27,26452.310023
1950-07-28,26452.310023
1950-07-29,26452.310023
1950-07-30,26452.310023
1950-07-31,26452.310023
1950-08-01,23873.506354
1950-08-02,23873.506354
1950-08-03,23873.506354
1950-08-04,23873.506354
1950-08-05,23873.506354
1950-08-06,23873.506354
1950-08-07,23873.506354
1950-08-08,23873.506354
1950-08-09,23873.506354
1950-08-10,23873.506354
1950-08-11,23873.506354
1950-08-12,23873.506354
1950-08-13,23873.506354
1950-08-14,23873.506354
1950-08-15,23873.506354
1950-08-16,23873.506354
1950-08-17,23873.506354
1950-08-18,23873.506354
1950-08-19,23873.506354
1950-08-20,23873.506354
1950-08-21,23873.506354
1950-08-22,23873.506354
1950-08-23,23873.506354
1950-08-24,23873.506354
1950-08-25,23873.506354
1950-08-26,23873.506354
1950-08-27,23873.506354
1950-08-28,23873.506354
1950-08-29,23873.506354
1950-08-30,23873.506354
1950-08-31,23873.506354
1950-09-01,28173.817943
1950-09-02,28173.817943
1950-09-03,28173.817943
1950-09-04,28173.817943
1950-09-05,28173.817943
1950-09-06,28173.817943
1950-09-07,28173.817943
1950-09-08,28173.817943
1950-09-09,28173.817943
1950-09-10,28173.817943
1950-09-11,28173.817943
1950-09-12,28173.817943
1950-09-13,28173.817943
1950-09-14,28173.817943
1950-09-15,28173.817943
1950-09-16,28173.817943
1950-09-17,28173.817943
1950-09-18,28173.817943
1950-09-19,28173.817943
1950-09-20,28173.817943
1950-09-21,28173.817943
1950-09-22,28173.817943
1950-09-23,28173.817943
1950-09-24,28173.817943
1950-09-25,28173.817943
1950-09-26,28173.817943
1950-09-27,28173.817943
1950-09-28,28173.817943
1950-09-29,28173.817943
1950-09-30,28173.817943
1950-10-01,24338.089110
1950-10-02,24338.089110
1950-10-03,24338.089110
1950-10-04,24338.089110
1950-10-05,24338.089110
1950-10-06,24338.089110
1950-10-07,24338.089110
1950-10-08,24338.089110
1950-10-09,24338.089110
1950-10-10,24338.089110
1950-10-11,24338.089110
1950-10-12,24338.089110
1950-10-13,24338.089110
1950-10-14,24338.089110
1950-10-15,24338.089110
1950-10-16,24338.089110
1950-10-17,24338.089110
1950-10-18,24338.089110
1950-10-19,24338.089110
1950-10-20,24338.089110
1950-10-21,24338.089110
1950-10-22,24338.089110
1950-10-23,24338.089110
1950-10-24,24338.089110
1950-10-25,24338.089110
1950-10-26,24338.089110
1950-10-27,24338.089110
1950-10-28,24338.089110
1950-10-29,24338.089110
1950-10-30,24338.089110
1950-10-31,24338.089110
1950-11-01,24933.915896
1950-11-02,24933.915896
1950-11-03,24933.915896
1950-11-04,24933.915896
1950-11-05,24933.915896
1950-11-06,24933.915896
1950-11-07,24933.915896
1950-11-08,24933.915896
1950-11-09,24933.915896
1950-11-10,24933.915896
1950-11-11,24933.915896
1950-11-12,24933.915896
1950-11-13,24933.915896
1950-11-14,24933.915896
1950-11-15,24933.915896
1950-11-16,24933.915896
1950-11-17,24933.915896
1950-11-18,24933.915896
1950-11-19,24933.915896
1950-11-20,24933.915896
1950-11-21,24933.915896
1950-11-22,24933.915896
1950-11-23,24933.915896
1950-11-24,24933.915896
1950-11-25,24933.915896
1950-11-26,24933.915896
1950-11-27,24933.915896
1950-11-28,24933.915896
1950-11-29,24933.915896
1950-11-30,24933.915896
1950-12-01,26059.670434
1950-12-02,26059.670434
1950-12-03,26059.670434
1950-12-04,26059.670434
1950-12-05,26059.670434
1950-12-06,26059.670434
1950-12-07,26059.670434
1950-12-08,26059.670434
1950-12-09,26059.670434
1950-12-10,26059.670434
1950-12-11,26059.670434
1950-12-12,26059.670434
1950-12-13,26059.670434
1950-12-14,26059.670434
1950-12-15,26059.670434
1950-12-16,26059.670434
1950-12-17,26059.670434
1950-12-18,26059.670434
1950-12-19,26059.670434
1950-12-20,26059.670434
1950-12-21,26059.670434
1950-12-22,26059.670434
1950-12-23,26059.670434
1950-12-24,26059.670434
1950-12-25,26059.670434
1950-12-26,26059.670434
1950-12-27,26059.670434
1950-12-28,26059.670434
1950-12-29,26059.670434
1950-12-30,26059.670434
1950-12-31,26059.670434
1951-01-01,34994.562908
1951-01-02,34994.562908
1951-01-03,34994.562908
1951-01-04,34994.562908
1951-01-05,34994.562908
1951-01-06,34994.562908
1951-01-07,34994.562908
