,et0_mm_day
1950-01-01,7.2547274
1950-02-01,9.062886
1950-03-01,10.203325
1950-04-01,10.082066
1950-05-01,8.27901
1950-06-01,6.4253263
1950-07-01,3.958702
1950-08-01,4.0863304
1950-09-01,4.345715
1950-10-01,5.602432
1950-11-01,6.6785464
1950-12-01,7.614697
1951-01-01,8.568822
1951-02-01,7.8546853
1951-03-01,10.401731
1951-04-01,8.23272
1951-05-01,8.387934
1951-06-01,6.4521623
1951-07-01,3.7956686
1951-08-01,4.075758
1951-09-01,4.281655
1951-10-01,4.3139977
1951-11-01,6.682184
1951-12-01,7.795705
1952-01-01,7.116966
1952-02-01,9.5587845
1952-03-01,10.203325
1952-04-01,10.082066
1952-05-01,8.27901
1952-06-01,6.3967896
1952-07-01,4.2543263
1952-08-01,4.128419
1952-09-01,5.433721
1952-10-01,4.2477326
1952-11-01,6.6785464
1952-12-01,7.614697
1953-01-01,8.568822
1953-02-01,9.5587845
1953-03-01,10.203325
1953-04-01,10.082066
1953-05-01,8.276361
1953-06-01,6.396209
1953-07-01,3.800653
1953-08-01,4.225083
1953-09-01,5.0434394
1953-10-01,4.3238697
1953-11-01,5.0925536
1953-12-01,6.8027678
1954-01-01,8.120671
1954-02-01,8.920364
1954-03-01,10.0798235
1954-04-01,9.472638
1954-05-01,7.5417385
1954-06-01,5.351208
1954-07-01,4.128672
1954-08-01,4.251659
1954-09-01,5.0875545
1954-10-01,5.518958
1954-11-01,6.689735
1954-12-01,7.739015
1955-01-01,8.391664
1955-02-01,9.487793
1955-03-01,9.71637
1955-04-01,9.870402
1955-05-01,6.9902687
1955-06-01,5.8957114
1955-07-01,4.749693
1955-08-01,4.568942
1955-09-01,5.019322
1955-10-01,5.191792
1955-11-01,5.508855
1955-12-01,7.2092714
1956-01-01,8.033045
1956-02-01,9.011165
1956-03-01,10.153562
1956-04-01,9.846181
1956-05-01,7.5656323
1956-06-01,5.9564857
1956-07-01,4.6873765
1956-08-01,4.647091
1956-09-01,5.308546
1956-10-01,5.4638124
1956-11-01,6.6193047
1956-12-01,7.500656
1957-01-01,8.722589
1957-02-01,9.6187
1957-03-01,8.555248
1957-04-01,10.583237
1957-05-01,7.474564
1957-06-01,5.6520553
1957-07-01,4.7835784
1957-08-01,5.165145
1957-09-01,5.4647627
1957-10-01,5.4237695
1957-11-01,6.386675
1957-12-01,7.807769
1958-01-01,8.674331
1958-02-01,9.473763
1958-03-01,10.890611
1958-04-01,9.038765
1958-05-01,7.87466
1958-06-01,5.6255536
1958-07-01,4.7279224
1958-08-01,4.9056187
1958-09-01,5.4090543
1958-10-01,5.2516685
1958-11-01,6.2090306
1958-12-01,7.2282104
1959-01-01,8.247555
1959-02-01,9.728477
1959-03-01,10.111831
1959-04-01,9.438298
1959-05-01,6.544754
1959-06-01,6.5718293
1959-07-01,4.948452
1959-08-01,4.729919
1959-09-01,5.0504656
1959-10-01,5.1618366
1959-11-01,5.8705955
1959-12-01,6.931648
1960-01-01,7.731825
1960-02-01,8.3049755
1960-03-01,9.723767
1960-04-01,9.204968
1960-05-01,7.6593533
1960-06-01,6.346956
1960-07-01,4.9699025
1960-08-01,5.052708
1960-09-01,4.772298
1960-10-01,5.3361506
1960-11-01,6.767094
1960-12-01,7.1012077
1961-01-01,8.184969
1961-02-01,9.809129
1961-03-01,10.317222
1961-04-01,10.721076
1961-05-01,9.811044
1961-06-01,6.3172355
1961-07-01,4.908286
1961-08-01,4.7374516
1961-09-01,5.112395
1961-10-01,4.989579
1961-11-01,6.4377637
1961-12-01,7.2808785
1962-01-01,8.023002
1962-02-01,8.962035
1962-03-01,9.123221
1962-04-01,10.783262
1962-05-01,6.775655
1962-06-01,6.0758443
1962-07-01,5.7340117
1962-08-01,4.9679427
1962-09-01,4.990913
1962-10-01,5.148135
1962-11-01,5.573064
1962-12-01,6.691806
