,et0_mm_day
1950-01-01,3.7426279
1950-02-01,4.244007
1950-03-01,3.894843
1950-04-01,5.2764583
1950-05-01,4.706271
1950-06-01,3.0647144
1950-07-01,3.2932494
1950-08-01,3.3976493
1950-09-01,2.9998794
1950-10-01,3.4765675
1950-11-01,4.162063
1950-12-01,3.0719042
1951-01-01,3.5751686
1951-02-01,4.572995
1951-03-01,4.5257134
1951-04-01,4.3997765
1951-05-01,4.706271
1951-06-01,4.0099764
1951-07-01,3.2932494
1951-08-01,3.3976493
1951-09-01,3.1892881
1951-10-01,3.603451
1951-11-01,4.0786657
1951-12-01,3.1326487
1952-01-01,3.748946
1952-02-01,4.3726864
1952-03-01,3.974639
1952-04-01,5.2764583
1952-05-01,4.706271
1952-06-01,3.9999955
1952-07-01,3.3055975
1952-08-01,3.42476
1952-09-01,3.8871999
1952-10-01,4.276064
1952-11-01,3.2674522
1952-12-01,3.800225
1953-01-01,3.5751388
1953-02-01,3.6153421
1953-03-01,4.639089
1953-04-01,4.116334
1953-05-01,4.706271
1953-06-01,4.0099764
1953-07-01,3.3055975
1953-08-01,3.3976493
1953-09-01,3.626451
1953-10-01,3.843069
1953-11-01,3.8952901
1953-12-01,3.6455765
1954-01-01,3.9711447
1954-02-01,4.382916
1954-03-01,5.078785
1954-04-01,5.326949
1954-05-01,4.713066
1954-06-01,3.796421
1954-07-01,2.7152598
1954-08-01,2.619341
1954-09-01,3.5541282
1954-10-01,4.564889
1954-11-01,4.3616147
1954-12-01,3.7111192
1955-01-01,3.724046
1955-02-01,4.421249
1955-03-01,4.997112
1955-04-01,5.0949826
1955-05-01,4.698388
1955-06-01,3.9283485
1955-07-01,3.327571
1955-08-01,3.1096787
1955-09-01,3.8302689
1955-10-01,4.401077
1955-11-01,4.0273743
1955-12-01,3.8190708
1956-01-01,3.8678498
1956-02-01,4.287094
1956-03-01,5.316064
1956-04-01,4.884504
1956-05-01,4.7596245
1956-06-01,3.934309
1956-07-01,3.340155
1956-08-01,3.149353
1956-09-01,3.969386
1956-10-01,4.322987
1956-11-01,4.111193
1956-12-01,3.5957694
1957-01-01,4.215315
1957-02-01,4.4858084
1957-03-01,4.1580124
1957-04-01,5.492922
1957-05-01,4.6671333
1957-06-01,3.8237348
1957-07-01,3.4932642
1957-08-01,3.2847972
1957-09-01,4.0534735
1957-10-01,4.6302676
1957-11-01,3.9408803
1957-12-01,4.0638742
1958-01-01,4.175946
1958-02-01,4.1777415
1958-03-01,5.3521843
1958-04-01,5.1164737
1958-05-01,4.8886614
1958-06-01,3.8613975
1958-07-01,3.3104718
1958-08-01,3.3452363
1958-09-01,3.9931388
1958-10-01,4.1314588
1958-11-01,4.083395
1958-12-01,3.8548186
1959-01-01,3.9972737
1959-02-01,4.70224
1959-03-01,5.030617
1959-04-01,4.9365463
1959-05-01,4.098222
1959-06-01,4.237376
1959-07-01,3.017254
1959-08-01,3.400214
1959-09-01,3.577955
1959-10-01,3.8864837
1959-11-01,4.2487087
1959-12-01,3.884688
1960-01-01,3.935702
1960-02-01,3.967002
1960-03-01,5.020477
1960-04-01,5.202442
1960-05-01,4.3043494
1960-06-01,4.151948
1960-07-01,3.2785535
1960-08-01,3.6030338
1960-09-01,3.6685765
1960-10-01,4.2537527
