,et0_mm_day
1950-01-01,10.114402
1950-02-01,12.470372
1950-03-01,14.435246
1950-04-01,16.039583
1950-05-01,14.996142
1950-06-01,13.685791
1950-07-01,12.386174
1950-08-01,11.628779
1950-09-01,11.584088
1950-10-01,12.116298
1950-11-01,12.301145
1950-12-01,10.8719225
1951-01-01,9.952709
1951-02-01,12.354173
1951-03-01,13.433859
1951-04-01,14.742017
1951-05-01,14.996142
1951-06-01,13.685791
1951-07-01,12.487434
1951-08-01,9.723328
1951-09-01,11.584088
1951-10-01,12.116298
1951-11-01,12.301145
1951-12-01,9.063877
1952-01-01,9.940691
1952-02-01,12.484685
1952-03-01,14.328025
1952-04-01,16.039583
1952-05-01,14.996142
1952-06-01,13.685791
1952-07-01,12.386174
1952-08-01,11.628779
1952-09-01,11.584088
1952-10-01,12.116298
1952-11-01,12.750974
1952-12-01,10.362498
1953-01-01,10.584615
1953-02-01,12.233101
1953-03-01,14.619999
1953-04-01,14.595263
1953-05-01,14.996142
1953-06-01,13.685791
1953-07-01,9.996742
1953-08-01,11.542022
1953-09-01,11.591807
1953-10-01,12.618477
1953-11-01,11.746295
1953-12-01,9.968758
1954-01-01,11.291303
1954-02-01,13.426483
1954-03-01,14.025479
1954-04-01,15.128716
1954-05-01,14.700256
1954-06-01,12.890331
1954-07-01,9.818032
1954-08-01,9.801321
1954-09-01,10.967441
1954-10-01,11.980958
1954-11-01,12.916021
1954-12-01,10.505102
1955-01-01,10.897107
1955-02-01,12.438223
1955-03-01,14.906913
1955-04-01,16.721077
1955-05-01,14.552861
1955-06-01,12.13856
1955-07-01,13.119988
1955-08-01,12.54224
1955-09-01,11.405394
1955-10-01,11.132691
1955-11-01,12.48908
1955-12-01,11.325084
1956-01-01,10.793842
1956-02-01,12.172281
1956-03-01,15.859119
1956-04-01,16.03777
1956-05-01,15.223108
1956-06-01,13.597123
1956-07-01,11.0261965
1956-08-01,9.455584
1956-09-01,11.346176
1956-10-01,12.847174
1956-11-01,12.301423
1956-12-01,11.053674
1957-01-01,11.614457
1957-02-01,11.683419
1957-03-01,14.947295
1957-04-01,15.231881
1957-05-01,14.240697
1957-06-01,13.161399
1957-07-01,12.517057
1957-08-01,12.424745
1957-09-01,11.422701
1957-10-01,12.229822
1957-11-01,13.176307
1957-12-01,11.3969
1958-01-01,11.288777
1958-02-01,12.082092
1958-03-01,15.747152
1958-04-01,15.596769
1958-05-01,16.21242
1958-06-01,13.399914
1958-07-01,11.439421
1958-08-01,12.98783
1958-09-01,12.679108
1958-10-01,13.68434
1958-11-01,12.31163
1958-12-01,10.708586
1959-01-01,11.008963
1959-02-01,12.714885
1959-03-01,15.106373
1959-04-01,16.306326
1959-05-01,15.201203
1959-06-01,13.564407
1959-07-01,11.557706
1959-08-01,10.430977
1959-09-01,12.254693
1959-10-01,13.336666
1959-11-01,12.704417
1959-12-01,10.245264
1960-01-01,10.715633
1960-02-01,12.837477
1960-03-01,15.093021
1960-04-01,15.740983
1960-05-01,16.774677
1960-06-01,14.468372
1960-07-01,13.891496
1960-08-01,13.627582
1960-09-01,12.6456175
1960-10-01,12.291826
1960-11-01,13.353922
1960-12-01,10.43462
1961-01-01,11.411376
1961-02-01,13.471857
1961-03-01,15.097298
1961-04-01,16.684137
1961-05-01,17.391666
1961-06-01,13.281941
1961-07-01,10.777444
1961-08-01,10.547974
1961-09-01,12.44431
1961-10-01,12.697034
1961-11-01,12.142487
1961-12-01,10.065347
1962-01-01,10.594792
1962-02-01,13.154335
1962-03-01,14.77091
1962-04-01,17.539497
1962-05-01,16.90627
1962-06-01,13.866432
1962-07-01,12.861289
1962-08-01,10.8756275
1962-09-01,11.57283
1962-10-01,10.13694
1962-11-01,10.794751
1962-12-01,10.643818
1963-01-01,10.435798
1963-02-01,12.951978
1963-03-01,16.226948
1963-04-01,16.807638
1963-05-01,16.47988
1963-06-01,14.621914
1963-07-01,13.94587
1963-08-01,13.523899
1963-09-01,10.921664
1963-10-01,12.116298
1963-11-01,12.301145
1963-12-01,8.918181
1964-01-01,10.578818
1964-02-01,13.092213
1964-03-01,15.233025
1964-04-01,17.122522
1964-05-01,18.641405
1964-06-01,13.914422
1964-07-01,14.524847
1964-08-01,12.086004
1964-09-01,10.833766
1964-10-01,12.116298
1964-11-01,12.301145
1964-12-01,10.8719225
1965-01-01,10.2597475
1965-02-01,11.763632
1965-03-01,15.858591
1965-04-01,17.23764
1965-05-01,15.407337
