date,et0_mm_day,kc,water_m3_day
1950-01-01,6.38292,0.9,861694.2000000001
1950-01-02,6.38292,0.9,861694.2000000001
1950-01-03,6.38292,0.9,861694.2000000001
1950-01-04,6.38292,0.9,861694.2000000001
1950-01-05,6.38292,0.9,861694.2000000001
1950-01-06,6.38292,0.9,861694.2000000001
1950-01-07,6.38292,0.9,861694.2000000001
1950-01-08,6.38292,0.9,861694.2000000001
1950-01-09,6.38292,0.9,861694.2000000001
1950-01-10,6.38292,0.9,861694.2000000001
1950-01-11,6.38292,0.9,861694.2000000001
1950-01-12,6.38292,0.9,861694.2000000001
1950-01-13,6.38292,0.9,861694.2000000001
1950-01-14,6.38292,0.9,861694.2000000001
1950-01-15,6.38292,0.9,861694.2000000001
1950-01-16,6.411793419684251,0.9,865592.111657374
1950-01-17,6.440929633323769,0.9,869525.5004987088
1950-01-18,6.470325789328026,0.9,873493.9815592836
1950-01-19,6.4999790361065,0.9,877497.1698743774
1950-01-20,6.529886522068664,0.9,881534.6804792698
1950-01-21,6.560045395623995,0.9,885606.1284092392
1950-01-22,6.590452805181965,0.9,889711.1286995653
1950-01-23,6.62110589915205,0.9,893849.2963855267
1950-01-24,6.652001825943726,0.9,898020.246502403
1950-01-25,6.683137733966466,0.9,902223.5940854729
1950-01-26,6.7145107716297465,0.9,906458.9541700156
1950-01-27,6.746118087343041,0.9,910725.9417913106
1950-01-28,6.7779568295158255,0.9,915024.1719846365
1950-01-29,6.8100241465575735,0.9,919353.2597852724
1950-01-30,6.842317186877762,0.9,923712.8202284977
1950-01-31,6.874833098885865,0.9,928102.4683495917
1950-02-01,6.907569030991356,0.9,932521.819183833
1950-02-02,6.940522131603711,0.9,936970.4877665009
1950-02-03,6.973689549132405,0.9,941448.0891328747
1950-02-04,7.007068431986911,0.9,945954.238318233
1950-02-05,7.040655928576707,0.9,950488.5503578555
1950-02-06,7.0744491873112665,0.9,955050.640287021
1950-02-07,7.108445356600064,0.9,959640.1231410087
1950-02-08,7.142641584852575,0.9,964256.6139550977
1950-02-09,7.1770350204782725,0.9,968899.7277645667
1950-02-10,7.211622811886634,0.9,973569.0796046956
1950-02-11,7.246402107487132,0.9,978264.284510763
1950-02-12,7.281370055689243,0.9,982984.9575180479
1950-02-13,7.316523804902441,0.9,987730.7136618295
1950-02-14,7.3518605035362015,0.9,992501.1679773872
1950-02-15,7.3873773,0.9,997295.9355
1950-02-16,7.4229902212789485,0.9,1002103.679872658
1950-02-17,7.4586360657743125,0.9,1006915.8688795322
1950-02-18,7.494343139019785,0.9,1011736.323767671
1950-02-19,7.530139746549061,0.9,1016568.8657841231
1950-02-20,7.566054193895835,0.9,1021417.3161759379
1950-02-21,7.602114786593804,0.9,1026285.4961901634
1950-02-22,7.638349830176661,0.9,1031177.2270738492
1950-02-23,7.674787630178102,0.9,1036096.3300740437
1950-02-24,7.7114564921318225,0.9,1041046.626437796
1950-02-25,7.748384721571517,0.9,1046031.9374121549
1950-02-26,7.785600624030881,0.9,1051056.0842441688
1950-02-27,7.823132505043609,0.9,1056122.8881808873
1950-02-28,7.861008670143398,0.9,1061236.1704693588
1950-03-01,7.89925742486394,0.85,1007155.3216701522
1950-03-02,7.937907074738932,0.85,1012083.1520292137
1950-03-03,7.976985925302069,0.85,1017065.7054760138
1950-03-04,8.016522282087045,0.85,1022106.5909660982
1950-03-05,8.056544450627555,0.85,1027209.4174550133
1950-03-06,8.097080736457297,0.85,1032377.7938983053
1950-03-07,8.138159445109963,0.85,1037615.3292515203
1950-03-08,8.17980888211925,0.85,1042925.6324702043
1950-03-09,8.222057353018851,0.85,1048312.3125099035
1950-03-10,8.264933163342462,0.85,1053778.978326164
1950-03-11,8.30846461862378,0.85,1059329.238874532
1950-03-12,8.352680024396495,0.85,1064966.703110553
1950-03-13,8.39760768619431,0.85,1070694.9799897743
1950-03-14,8.443275909550911,0.85,1076517.678467741
1950-03-15,8.489713,0.85,1082438.4075
1950-03-16,8.53908745171136,0.85,1088733.6500931985
1950-03-17,8.593258881414204,0.85,1095640.507380311
1950-03-18,8.651792278481372,0.85,1103103.5155063749
1950-03-19,8.7142526322857,0.85,1111067.2106164268
1950-03-20,8.780204932200027,0.85,1119476.1288555032
1950-03-21,8.849214167597191,0.85,1128274.8063686418
1950-03-22,8.920845327850033,0.85,1137407.7793008792
1950-03-23,8.994663402331387,0.85,1146819.5837972518
1950-03-24,9.070233380414093,0.85,1156454.7560027968
1950-03-25,9.14712025147099,0.85,1166257.8320625513
1950-03-26,9.224889004874914,0.85,1176173.3481215516
1950-03-27,9.303104629998705,0.85,1186145.840324835
1950-03-28,9.381332116215198,0.85,1196119.8448174377
1950-03-29,9.459136452897235,0.85,1206039.8977443976
1950-03-30,9.53608262941765,0.85,1215850.5352507506
1950-03-31,9.611735635149287,0.85,1225496.293481534
1950-04-01,9.685660459464982,0.8,1162279.255135798
1950-04-02,9.757422091737569,0.8,1170890.6510085082
1950-04-03,9.826585521339892,0.8,1179190.262560787
1950-04-04,9.892715737644783,0.8,1187125.888517374
1950-04-05,9.955377730025084,0.8,1194645.3276030102
1950-04-06,10.014136487853634,0.8,1201696.378542436
1950-04-07,10.068557000503267,0.8,1208226.840060392
1950-04-08,10.118204257346825,0.8,1214184.510881619
1950-04-09,10.162643247757146,0.8,1219517.1897308575
1950-04-10,10.201438961107065,0.8,1224172.6753328477
1950-04-11,10.234156386769424,0.8,1228098.7664123308
1950-04-12,10.260360514117057,0.8,1231243.261694047
1950-04-13,10.279616332522806,0.8,1233553.9599027368
1950-04-14,10.291488831359509,0.8,1234978.6597631413
1950-04-15,10.295543,0.8,1235465.1600000001
1950-04-16,10.293811974714627,0.8,1235257.4369657554
1950-04-17,10.288758744951513,0.8,1234651.0493941817
1950-04-18,10.280593079850155,0.8,1233671.1695820189
1950-04-19,10.26952474855006,0.8,1232342.9698260075
1950-04-20,10.255763520190728,0.8,1230691.6224228872
1950-04-21,10.239519163911664,0.8,1228742.2996693999
1950-04-22,10.221001448852366,0.8,1226520.173862284
1950-04-23,10.200420144152341,0.8,1224050.417298281
1950-04-24,10.177985018951087,0.8,1221358.2022741304
1950-04-25,10.153905842388108,0.8,1218468.701086573
1950-04-26,10.12839238360291,0.8,1215407.0860323492
1950-04-27,10.10165441173499,0.8,1212198.529408199
1950-04-28,10.073901695923853,0.8,1208868.2035108623
1950-04-29,10.045344005308998,0.8,1205441.2806370796
1950-04-30,10.016191109029933,0.8,1201942.933083592
1950-05-01,9.986652776226158,0.75,1123498.437325443
1950-05-02,9.956938776037173,0.75,1120155.612304182
1950-05-03,9.927258877602485,0.75,1116816.6237302797
1950-05-04,9.89782285006159,0.75,1113505.070631929
1950-05-05,9.868840462553996,0.75,1110244.5520373245
1950-05-06,9.8405214842192,0.75,1107058.66697466
1950-05-07,9.813075684196711,0.75,1103971.01447213
1950-05-08,9.786712831626028,0.75,1101005.193557928
1950-05-09,9.761642695646653,0.75,1098184.8032602484
1950-05-10,9.738075045398087,0.75,1095533.4426072848
1950-05-11,9.716219650019834,0.75,1093074.7106272313
1950-05-12,9.696286278651398,0.75,1090832.2063482823
1950-05-13,9.678484700432278,0.75,1088829.5287986314
1950-05-14,9.663024684501977,0.75,1087090.2770064725
1950-05-15,9.650116,0.75,1085638.05
1950-05-16,9.638976486045916,0.75,1084384.8546801654
1950-05-17,9.628643504500213,0.75,1083222.394256274
1950-05-18,9.61905610861376,0.75,1082143.812219048
1950-05-19,9.610153351637438,0.75,1081142.252059212
1950-05-20,9.601874286822117,0.75,1080210.857267488
1950-05-21,9.594157967418672,0.75,1079342.7713346006
1950-05-22,9.58694344667798,0.75,1078531.1377512729
1950-05-23,9.580169777850912,0.75,1077769.1000082276
1950-05-24,9.573776014188343,0.75,1077049.8015961885
1950-05-25,9.567701208941152,0.75,1076366.3860058796
1950-05-26,9.561884415360206,0.75,1075711.9967280233
1950-05-27,9.556264686696382,0.75,1075079.777253343
1950-05-28,9.550781076200558,0.75,1074462.8710725626
1950-05-29,9.545372637123604,0.75,1073854.4216764052
1950-05-30,9.539978422716397,0.75,1073247.5725555946
1950-05-31,9.534537486229809,0.75,1072635.4672008536
1950-06-01,9.528988880914715,0.75,1072011.2491029054
1950-06-02,9.523271660021992,0.75,1071368.0617524742
1950-06-03,9.517324876802512,0.75,1070699.0486402826
1950-06-04,9.511087584507148,0.75,1069997.3532570542
1950-06-05,9.504498836386778,0.75,1069256.1190935127
1950-06-06,9.497497685692275,0.75,1068468.4896403812
1950-06-07,9.490023185674511,0.75,1067627.6083883825
1950-06-08,9.482014389584362,0.75,1066726.6188282405
1950-06-09,9.473410350672705,0.75,1065758.6644506792
1950-06-10,9.464150122190413,0.75,1064716.8887464216
1950-06-11,9.454172757388354,0.75,1063594.4352061898
1950-06-12,9.443417309517411,0.75,1062384.4473207088
1950-06-13,9.431822831828455,0.75,1061080.068580701
1950-06-14,9.41932837757236,0.75,1059674.4424768905
1950-06-15,9.405873,0.75,1058160.7125000001
1950-06-16,9.388590519711894,0.75,1056216.433467588
1950-06-17,9.36490764929786,0.75,1053552.1105460094
1950-06-18,9.335202779992738,0.75,1050210.312749183
1950-06-19,9.299854303031356,0.75,1046233.6090910275
1950-06-20,9.259240609648547,0.75,1041664.5685854616
1950-06-21,9.213740091079144,0.75,1036545.7602464035
1950-06-22,9.16373113855798,0.75,1030919.7530877728
1950-06-23,9.109592143319885,0.75,1024829.1161234869
1950-06-24,9.051701496599692,0.75,1018316.4183674654
1950-06-25,8.99043758963224,0.75,1011424.228833627
1950-06-26,8.926178813652356,0.75,1004195.11653589
1950-06-27,8.859303559894872,0.75,996671.6504881731
1950-06-28,8.79019021959462,0.75,988896.3997043949
1950-06-29,8.719217183986439,0.75,980911.9331984743
1950-06-30,8.646762844305156,0.75,972760.8199843301
1950-07-01,8.573205591785605,0.78,1003065.0542389158
1950-07-02,8.498923817662618,0.78,994374.0866665264
1950-07-03,8.424295913171028,0.78,985642.62184101
1950-07-04,8.349700269545668,0.78,976914.9315368432
1950-07-05,8.27551527802137,0.78,968235.2875285003
1950-07-06,8.202119329832968,0.78,959647.9615904572
1950-07-07,8.129890816215294,0.78,951197.2254971893
1950-07-08,8.059208128403178,0.78,942927.3510231718
1950-07-09,7.990449657631456,0.78,934882.6099428803
1950-07-10,7.92399379513496,0.78,927107.2740307903
1950-07-11,7.860218932148522,0.78,919645.6150613771
1950-07-12,7.799503459906973,0.78,912541.9048091158
1950-07-13,7.742225769645149,0.78,905840.4150484824
1950-07-14,7.68876425259788,0.78,899585.4175539521
1950-07-15,7.6394973,0.78,893821.1841000001
1950-07-16,7.591737577727235,0.78,888233.2965940866
1950-07-17,7.5426751566856955,0.78,882492.9933322264
1950-07-18,7.49250453565579,0.78,876623.0306717274
1950-07-19,7.441420213417928,0.78,870646.1649698975
1950-07-20,7.389616688752516,0.78,864585.1525840444
1950-07-21,7.337288460439962,0.78,858462.7498714755
1950-07-22,7.284630027260677,0.78,852301.7131894993
1950-07-23,7.231835887995068,0.78,846124.798895423
1950-07-24,7.179100541423543,0.78,839954.7633465546
1950-07-25,7.12661848632651,0.78,833814.3629002017
1950-07-26,7.074584221484381,0.78,827726.3539136726
1950-07-27,7.02319224567756,0.78,821713.4927442746
1950-07-28,6.972637057686456,0.78,815798.5357493154
1950-07-29,6.923113156291481,0.78,810004.2392861033
1950-07-30,6.87481504027304,0.78,804353.3597119456
1950-07-31,6.827937208411542,0.78,798868.6533841504
1950-08-01,6.782674159487395,0.8,813920.8991384874
1950-08-02,6.73922039228101,0.8,808706.4470737212
1950-08-03,6.6977704055727925,0.8,803732.4486687351
1950-08-04,6.658518698143152,0.8,799022.2437771782
1950-08-05,6.621659768772497,0.8,794599.1722526997
1950-08-06,6.587388116241237,0.8,790486.5739489485
1950-08-07,6.555898239329777,0.8,786707.7887195734
1950-08-08,6.52738463681853,0.8,783286.1564182237
1950-08-09,6.502041807487902,0.8,780245.0168985482
1950-08-10,6.4800642501183,0.8,777607.710014196
1950-08-11,6.461646463490134,0.8,775397.5756188162
1950-08-12,6.446982946383814,0.8,773637.9535660577
1950-08-13,6.436268197579745,0.8,772352.1837095695
1950-08-14,6.429696715858337,0.8,771563.6059030006
1950-08-15,6.427463,0.8,771295.5600000002
1950-08-16,6.428917021290464,0.8,771470.0425548558
1950-08-17,6.433171727845153,0.8,771980.6073414184
1950-08-18,6.440066083689011,0.8,772807.9300426813
1950-08-19,6.449439052846986,0.8,773932.6863416384
1950-08-20,6.461129599344024,0.8,775335.551921283
1950-08-21,6.47497668720507,0.8,776997.2024646084
1950-08-22,6.490819280455067,0.8,778898.3136546082
1950-08-23,6.508496343118964,0.8,781019.5611742757
1950-08-24,6.5278468392217075,0.8,783341.620706605
1950-08-25,6.54870973278824,0.8,785845.1679345889
1950-08-26,6.57092398784351,0.8,788510.8785412211
1950-08-27,6.594328568412462,0.8,791319.4282094954
1950-08-28,6.618762438520042,0.8,794251.4926224052
1950-08-29,6.644064562191195,0.8,797287.7474629434
1950-08-30,6.670073903450867,0.8,800408.8684141042
1950-08-31,6.696629426324006,0.8,803595.5311588808
1950-09-01,6.723570094835554,0.83,837084.4768070264
1950-09-02,6.75073487301046,0.83,840466.4916898023
1950-09-03,6.777962724873668,0.83,843856.3592467718
1950-09-04,6.805092614450124,0.83,847234.0304990404
1950-09-05,6.831963505764774,0.83,850579.4564677143
1950-09-06,6.858414362842563,0.83,853872.588173899
1950-09-07,6.884284149708438,0.83,857093.3766387005
1950-09-08,6.909411830387344,0.83,860221.7728832243
1950-09-09,6.933636368904227,0.83,863237.7279285763
1950-09-10,6.956796729284033,0.83,866121.192795862
1950-09-11,6.978731875551706,0.83,868852.1185061873
1950-09-12,6.999280771732194,0.83,871410.4560806581
1950-09-13,7.018282381850442,0.83,873776.15654038
1950-09-14,7.035575669931395,0.83,875929.1709064586
1950-09-15,7.0509996,0.83,877849.4502
1950-09-16,7.065107636743321,0.83,879605.9007745435
1950-09-17,7.0785912915019225,0.83,881284.6157919894
1950-09-18,7.091496598280987,0.83,882891.3264859829
1950-09-19,7.1038695910857,0.83,884431.7640901696
1950-09-20,7.115756303921248,0.83,885911.6598381954
1950-09-21,7.127202770792817,0.83,887336.7449637058
1950-09-22,7.138255025705593,0.83,888712.7507003463
1950-09-23,7.1489591026647625,0.83,890045.4082817629
1950-09-24,7.159361035675511,0.83,891340.4489416011
1950-09-25,7.169506858743023,0.83,892603.6039135063
1950-09-26,7.179442605872485,0.83,893840.6044311244
1950-09-27,7.189214311069084,0.83,895057.181728101
1950-09-28,7.198868008338005,0.83,896259.0670380816
1950-09-29,7.208449731684432,0.83,897451.9915947118
1950-09-30,7.218005515113555,0.83,898641.6866316376
1950-10-01,7.227581392630556,0.88,954040.7438272334
1950-10-02,7.237223398240624,0.88,955313.4885677624
1950-10-03,7.246977565948941,0.88,956601.0387052603
1950-10-04,7.256889929760697,0.88,957909.470728412
1950-10-05,7.267006523681076,0.88,959244.8611259019
1950-10-06,7.277373381715262,0.88,960613.2863864144
1950-10-07,7.288036537868443,0.88,962020.8229986345
1950-10-08,7.299042026145805,0.88,963473.5474512463
1950-10-09,7.310435880552533,0.88,964977.5362329343
1950-10-10,7.322264135093813,0.88,966538.8658323833
1950-10-11,7.334572823774831,0.88,968163.6127382776
1950-10-12,7.3474079806007735,0.88,969857.853439302
1950-10-13,7.360815639576825,0.88,971627.6644241408
1950-10-14,7.374841834708171,0.88,973479.1221814787
1950-10-15,7.3895326,0.88,975418.3032
1950-10-16,7.405762093572856,0.88,977560.596351617
1950-10-17,7.424247748756332,0.88,980000.7028358357
1950-10-18,7.4448005123691825,0.88,982713.6676327321
1950-10-19,7.467231331230164,0.88,985674.5357223817
1950-10-20,7.491351152158028,0.88,988858.3520848596
1950-10-21,7.516970921971534,0.88,992240.1617002425
1950-10-22,7.543901587489434,0.88,995795.0095486052
1950-10-23,7.571954095530482,0.88,999497.9406100238
1950-10-24,7.600939392913435,0.88,1003323.9998645734
1950-10-25,7.630668426457047,0.88,1007248.2322923302
1950-10-26,7.660952142980072,0.88,1011245.6828733695
1950-10-27,7.691601489301266,0.88,1015291.3965877672
1950-10-28,7.722427412239384,0.88,1019360.4184155986
1950-10-29,7.7532408586131805,0.88,1023427.7933369398
1950-10-30,7.78385277524141,0.88,1027468.5663318661
1950-10-31,7.814074108942829,0.88,1031457.7823804534
1950-11-01,7.843715806536189,0.92,1082432.781301994
1950-11-02,7.872588814840249,0.92,1086417.2564479543
1950-11-03,7.900504080673761,0.92,1090269.563132979
1950-11-04,7.927272550855481,0.92,1093963.6120180564
1950-11-05,7.952705172204162,0.92,1097473.3137641742
1950-11-06,7.976612891538563,0.92,1100772.5790323217
1950-11-07,7.998806655677434,0.92,1103835.318483486
1950-11-08,8.019097411439533,0.92,1106635.4427786558
1950-11-09,8.037296105643614,0.92,1109146.8625788188
1950-11-10,8.053213685108433,0.92,1111343.4885449638
1950-11-11,8.066661096652744,0.92,1113199.2313380789
1950-11-12,8.0774492870953,0.92,1114688.0016191516
1950-11-13,8.08538920325486,0.92,1115783.7100491708
1950-11-14,8.090291791950174,0.92,1116460.267289124
1950-11-15,8.091968,0.92,1116691.584
1950-11-16,8.090671969588247,0.92,1116512.731803178
1950-11-17,8.086859397122424,0.92,1115986.5968028945
1950-11-18,8.080643560756688,0.92,1115128.8113844227
1950-11-19,8.072137738645196,0.92,1113955.0079330374
1950-11-20,8.061455208942103,0.92,1112480.81883401
1950-11-21,8.048709249801563,0.92,1110721.8764726156
1950-11-22,8.034013139377732,0.92,1108693.8132341271
1950-11-23,8.017480155824769,0.92,1106412.2615038182
1950-11-24,7.999223577296827,0.92,1103892.8536669621
1950-11-25,7.979356681948063,0.92,1101151.2221088326
1950-11-26,7.9579927479326305,0.92,1098202.999214703
1950-11-27,7.935245053404689,0.92,1095063.817369847
1950-11-28,7.911226876518392,0.92,1091749.3089595381
1950-11-29,7.886051495427895,0.92,1088275.1063690495
1950-11-30,7.859832188287355,0.92,1084656.841983655
1950-12-01,7.832682233250928,0.92,1080910.1481886283
1950-12-02,7.804714908472769,0.92,1077050.657369242
1950-12-03,7.776043492107034,0.92,1073094.0019107708
1950-12-04,7.746781262307878,0.92,1069055.814198487
1950-12-05,7.7170414972294585,0.92,1064951.7266176653
1950-12-06,7.68693747502593,0.92,1060797.3715535784
1950-12-07,7.656582473851449,0.92,1056608.3813915
1950-12-08,7.626089771860171,0.92,1052400.3885167036
1950-12-09,7.595572647206253,0.92,1048189.0253144628
1950-12-10,7.565144378043848,0.92,1043989.9241700512
1950-12-11,7.534918242527114,0.92,1039818.7174687418
1950-12-12,7.505007518810207,0.92,1035691.0375958086
1950-12-13,7.475525485047281,0.92,1031622.5169365249
1950-12-14,7.446585419392494,0.92,1027628.7878761641
1950-12-15,7.4183006,0.92,1023725.4828000001
1950-12-16,7.388647066299959,0.92,1019633.2951493944
1950-12-17,7.355717375025305,0.92,1015088.9977534922
1950-12-18,7.319799580284358,0.92,1010132.3420792414
