date,et0_mm_day,kc,water_m3_day
1950-01-01,6.528571,0.9,1116385.641
1950-01-02,6.528571,0.9,1116385.641
1950-01-03,6.528571,0.9,1116385.641
1950-01-04,6.528571,0.9,1116385.641
1950-01-05,6.528571,0.9,1116385.641
1950-01-06,6.528571,0.9,1116385.641
1950-01-07,6.528571,0.9,1116385.641
1950-01-08,6.528571,0.9,1116385.641
1950-01-09,6.528571,0.9,1116385.641
1950-01-10,6.528571,0.9,1116385.641
1950-01-11,6.528571,0.9,1116385.641
1950-01-12,6.528571,0.9,1116385.641
1950-01-13,6.528571,0.9,1116385.641
1950-01-14,6.528571,0.9,1116385.641
1950-01-15,6.528571,0.9,1116385.641
1950-01-16,6.581737064066153,0.9,1125477.037955312
1950-01-17,6.634976270568665,0.9,1134580.9422672417
1950-01-18,6.6882882806379165,0.9,1143697.2959890838
1950-01-19,6.741672755404277,0.9,1152826.0411741314
1950-01-20,6.795129355998129,0.9,1161967.1198756802
1950-01-21,6.848657743549845,0.9,1171120.4741470236
1950-01-22,6.902257579189805,0.9,1180286.0460414565
1950-01-23,6.955928524048382,0.9,1189463.7776122733
1950-01-24,7.009670239255954,0.9,1198653.6109127682
1950-01-25,7.063482385942896,0.9,1207855.4879962353
1950-01-26,7.1173646252395875,0.9,1217069.3509159693
1950-01-27,7.171316618276402,0.9,1226295.1417252647
1950-01-28,7.225338026183716,0.9,1235532.8024774157
1950-01-29,7.279428510091908,0.9,1244782.2752257162
1950-01-30,7.333587731131353,0.9,1254043.5020234615
1950-01-31,7.387815350432426,0.9,1263316.424923945
1950-02-01,7.442111029125505,0.9,1272600.9859804614
1950-02-02,7.496474428340966,0.9,1281897.1272463053
1950-02-03,7.550905209209186,0.9,1291204.7907747708
1950-02-04,7.605403032860543,0.9,1300523.9186191529
1950-02-05,7.659967560425409,0.9,1309854.4528327452
1950-02-06,7.714598453034163,0.9,1319196.335468842
1950-02-07,7.769295371817182,0.9,1328549.5085807382
1950-02-08,7.824057977904839,0.9,1337913.9142217273
1950-02-09,7.878885932427516,0.9,1347289.4944451053
1950-02-10,7.933778896515585,0.9,1356676.191304165
1950-02-11,7.988736531299422,0.9,1366073.9468522011
1950-02-12,8.043758497909407,0.9,1375482.7031425086
