period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,gerd,0.9,302,0,0,0,0,0,0,0,0,198,70.387230375,0.070387230375,0.253820618625,0,198,198,0,50.25648248775
1,1,2,1,gerd,0.9,104,0,0,0,0,0,0,0,0,198,70.387230375,0.070387230375,0.253820618625,0,198,198,0,50.25648248775
2,2,3,1,gerd,0.9,84.5,178.5,0,0,0,0,0,0,0,198,70.387230375,0.070387230375,0.253820618625,0,198,198,0,50.25648248775
3,3,4,1,gerd,0.9,65,178.5,0,0,0,0,0,0,0,198,70.387230375,0.070387230375,0.253820618625,0,198,198,0,50.25648248775
4,4,5,1,gerd,0.9,45.5,178.5,0,0,0,0,0,0,0,198,70.387230375,0.070387230375,0.253820618625,0,198,198,0,50.25648248775
5,5,6,1,gerd,0.9,26,178.5,0,0,0,0,0,0,0,198,70.387230375,0.070387230375,0.253820618625,0,198,198,0,50.25648248775
6,6,7,1,gerd,0.9,6.5,178.5,0,0,0,0,0,0,0,198,70.387230375,0.070387230375,0.253820618625,0,198,198,0,50.25648248775
7,7,8,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,185,65.7658465625,0.06576584656250001,0.253820618625,0,185,185,0,46.956814445625
8,8,9,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
9,9,10,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
10,10,11,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
11,11,12,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
12,12,13,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
13,13,14,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
14,14,15,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
15,15,16,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
16,16,17,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
17,17,18,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
18,18,19,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
19,19,20,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
20,20,21,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
21,21,22,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
22,22,23,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
23,23,24,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
24,24,25,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
25,25,26,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
26,26,27,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
27,27,28,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
28,28,29,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
29,29,30,1,gerd,0.9,0,178.5,0,0,0,0,0,0,0,178.5,63.45515465625,0.06345515465625,0.253820618625,0,178.5,178.5,0,45.3069804245625
