period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,roseires,0.9,133.39999999999998,8.4,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,0,135,0,135,7.325788199625
1,1,2,1,roseires,0.9,6.799999999999983,8.4,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,0,135,0,135,7.325788199625
2,2,3,1,roseires,0.9,78.19999999999999,206.4,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,0,135,0,135,7.325788199625
3,3,4,1,roseires,0.9,149.60000000000002,206.4,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,0,135,0,135,7.325788199625
4,4,5,1,roseires,0.9,221,206.4,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,0,135,0,135,7.325788199625
5,5,6,1,roseires,0.9,292.4,206.4,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,0,135,0,135,7.325788199625
6,6,7,1,roseires,0.9,363.79999999999995,206.4,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,0,135,0,135,7.325788199625
7,7,8,1,roseires,0.9,420,206.4,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,15.199999999999932,150.19999999999993,0,150.19999999999993,7.325788199625
8,8,9,1,roseires,0.9,420,206.4,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,71.39999999999998,206.39999999999998,0,206.39999999999998,7.325788199625
9,9,10,1,roseires,0.9,420,193.4,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,58.39999999999998,193.39999999999998,0,193.39999999999998,7.325788199625
10,10,11,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
11,11,12,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
12,12,13,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
13,13,14,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
14,14,15,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
15,15,16,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
16,16,17,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
17,17,18,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
18,18,19,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
19,19,20,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
20,20,21,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
21,21,22,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
22,22,23,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
23,23,24,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
24,24,25,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
25,25,26,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
26,26,27,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
27,27,28,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
28,28,29,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
29,29,30,1,roseires,0.9,420,186.9,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.054265097775,51.89999999999998,186.89999999999998,0,186.89999999999998,7.325788199625
