period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,aswand,0.75,552.5,5,0,0,0,0,0,0,0,217.5,59.189261906249996,0.05918926190625,0.173404127295,0,217.5,217.5,0,37.7153976866625
1,1,2,1,aswand,0.75,340,5,0,0,0,0,0,0,0,217.5,59.189261906249996,0.05918926190625,0.173404127295,0,217.5,217.5,0,37.7153976866625
2,2,3,1,aswand,0.75,127.5,5,0,0,0,0,0,0,0,217.5,59.189261906249996,0.05918926190625,0.173404127295,0,217.5,217.5,0,37.7153976866625
3,3,4,1,aswand,0.75,0,5,0,0,0,0,0,0,0,132.5,36.05782621875,0.03605782621875,0.173404127295,0,132.5,132.5,0,22.9760468665875
4,4,5,1,aswand,0.75,0,5,0,0,0,0,0,0,0,5,1.3606726875,0.0013606726875,0.173404127295,0,5,5,0,0.8670206364749999
5,5,6,1,aswand,0.75,0,5,0,0,0,0,0,0,0,5,1.3606726875,0.0013606726875,0.173404127295,0,5,5,0,0.8670206364749999
6,6,7,1,aswand,0.75,0,5,0,0,0,0,0,0,0,5,1.3606726875,0.0013606726875,0.173404127295,0,5,5,0,0.8670206364749999
7,7,8,1,aswand,0.75,0,5,0,0,0,0,0,0,0,5,1.3606726875,0.0013606726875,0.173404127295,0,5,5,0,0.8670206364749999
8,8,9,1,aswand,0.75,0,5,0,0,0,0,0,0,0,5,1.3606726875,0.0013606726875,0.173404127295,0,5,5,0,0.8670206364749999
9,9,10,1,aswand,0.75,0,5,0,0,0,0,0,0,0,5,1.3606726875,0.0013606726875,0.173404127295,0,5,5,0,0.8670206364749999
10,10,11,1,aswand,0.75,0,185,0,0,0,0,0,0,0,185,50.3448894375,0.0503448894375,0.173404127295,0,185,185,0,32.079763549575
11,11,12,1,aswand,0.75,0,185,0,0,0,0,0,0,0,185,50.3448894375,0.0503448894375,0.173404127295,0,185,185,0,32.079763549575
12,12,13,1,aswand,0.75,0,8,0,0,0,0,0,0,0,8,2.1770763,0.0021770763,0.173404127295,0,8,8,0,1.38723301836
13,13,14,1,aswand,0.75,0,57.50000000247999,0,0,0,0,0,0,0,57.50000000247999,15.647735906924892,0.015647735906924892,0.173404127295,0,57.50000000247999,57.50000000247999,0,9.97073731989254
14,14,15,1,aswand,0.75,0,127.50000000248,0,0,0,0,0,0,0,127.50000000248,34.69715353192489,0.03469715353192489,0.173404127295,0,127.50000000248,127.50000000248,0,22.10902623054254
15,15,16,1,aswand,0.75,0,127.50000000248,0,0,0,0,0,0,0,127.50000000248,34.69715353192489,0.03469715353192489,0.173404127295,0,127.50000000248,127.50000000248,0,22.10902623054254
16,16,17,1,aswand,0.75,0,127.50000000248,0,0,0,0,0,0,0,127.50000000248,34.69715353192489,0.03469715353192489,0.173404127295,0,127.50000000248,127.50000000248,0,22.10902623054254
17,17,18,1,aswand,0.75,0,127.50000000248,0,0,0,0,0,0,0,127.50000000248,34.69715353192489,0.03469715353192489,0.173404127295,0,127.50000000248,127.50000000248,0,22.10902623054254
18,18,19,1,aswand,0.75,0,127.50000000248,0,0,0,0,0,0,0,127.50000000248,34.69715353192489,0.03469715353192489,0.173404127295,0,127.50000000248,127.50000000248,0,22.10902623054254
19,19,20,1,aswand,0.75,0,127.50000000248,0,0,0,0,0,0,0,127.50000000248,34.69715353192489,0.03469715353192489,0.173404127295,0,127.50000000248,127.50000000248,0,22.10902623054254
20,20,21,1,aswand,0.75,0,127.50000000248,0,0,0,0,0,0,0,127.50000000248,34.69715353192489,0.03469715353192489,0.173404127295,0,127.50000000248,127.50000000248,0,22.10902623054254
21,21,22,1,aswand,0.75,0,143.00000000248,0,0,0,0,0,0,0,143.00000000248,38.91523886317489,0.03891523886317489,0.173404127295,0,143.00000000248,143.00000000248,0,24.79679020361504
22,22,23,1,aswand,0.75,0,185,0,0,0,0,0,0,0,185,50.3448894375,0.0503448894375,0.173404127295,0,185,185,0,32.079763549575
23,23,24,1,aswand,0.75,0,185,0,0,0,0,0,0,0,185,50.3448894375,0.0503448894375,0.173404127295,0,185,185,0,32.079763549575
24,24,25,1,aswand,0.75,0,185,0,0,0,0,0,0,0,185,50.3448894375,0.0503448894375,0.173404127295,0,185,185,0,32.079763549575
25,25,26,1,aswand,0.75,0,185,0,0,0,0,0,0,0,185,50.3448894375,0.0503448894375,0.173404127295,0,185,185,0,32.079763549575
26,26,27,1,aswand,0.75,0,185,0,0,0,0,0,0,0,185,50.3448894375,0.0503448894375,0.173404127295,0,185,185,0,32.079763549575
27,27,28,1,aswand,0.75,0,185,0,0,0,0,0,0,0,185,50.3448894375,0.0503448894375,0.173404127295,0,185,185,0,32.079763549575
28,28,29,1,aswand,0.75,0,185,0,0,0,0,0,0,0,185,50.3448894375,0.0503448894375,0.173404127295,0,185,185,0,32.079763549575
29,29,30,1,aswand,0.75,0,185,0,0,0,0,0,0,0,185,50.3448894375,0.0503448894375,0.173404127295,0,185,185,0,32.079763549575
