period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,cairo,0.75,0,0,0,0,93.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
1,1,2,1,cairo,0.75,0,0,0,0,93.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
2,2,3,1,cairo,0.75,0,0,0,0,93.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
3,3,4,1,cairo,0.75,0,0,0,0,93.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
4,4,5,1,cairo,0.75,0,0,0,0,93.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
5,5,6,1,cairo,0.75,0,0,0,0,93.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
6,6,7,1,cairo,0.75,0,0,0,0,93.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
7,7,8,1,cairo,0.75,0,0,0,0,93.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
8,8,9,1,cairo,0.75,0,0,0,0,93.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
9,9,10,1,cairo,0.75,0,0,0,0,93.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
10,10,11,1,cairo,0.75,0,0,0,0,93.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
11,11,12,1,cairo,0.75,0,0,0,0,93.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
12,12,13,1,cairo,0.75,0,0,0,0,93.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
13,13,14,1,cairo,0.75,0,217.5,0,93.6,0,200.74999999635003,123.9,76.84999999635002,202.74545454914082,0,0,0,0,0,0,0,0,0
14,14,15,1,cairo,0.75,0,217.5,0,93.6,0,200.74999999635003,123.9,76.84999999635002,202.74545454914082,0,0,0,0,0,0,0,0,0
15,15,16,1,cairo,0.75,0,217.5,0,93.6,0,200.74999999635003,123.9,76.84999999635002,202.74545454914082,0,0,0,0,0,0,0,0,0
16,16,17,1,cairo,0.75,0,132.5,0,93.6,0,200.74999999635003,38.900000000000006,161.84999999635002,63.65454545570282,0,0,0,0,0,0,0,0,0
17,17,18,1,cairo,0.75,0,5,0,5,88.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
18,18,19,1,cairo,0.75,0,5,0,5,88.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
19,19,20,1,cairo,0.75,0,5,0,5,88.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
20,20,21,1,cairo,0.75,0,5,0,5,88.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
21,21,22,1,cairo,0.75,0,5,0,5,88.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
22,22,23,1,cairo,0.75,0,5,0,5,88.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
23,23,24,1,cairo,0.75,0,185,0,93.6,0,200.74999999635003,91.4,109.34999999635002,149.5636363663557,0,0,0,0,0,0,0,0,0
24,24,25,1,cairo,0.75,0,185,0,93.6,0,200.74999999635003,91.4,109.34999999635002,149.5636363663557,0,0,0,0,0,0,0,0,0
25,25,26,1,cairo,0.75,0,8,0,8,85.6,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
26,26,27,1,cairo,0.75,0,57.50000000247999,0,57.50000000247999,36.09999999752,200.74999999635003,0,200.74999999635003,0,0,0,0,0,0,0,0,0,0
27,27,28,1,cairo,0.75,0,127.50000000248,0,93.6,0,200.74999999635003,33.90000000248,166.84999999387003,55.47272727779404,0,0,0,0,0,0,0,0,0
28,28,29,1,cairo,0.75,0,127.50000000248,0,93.6,0,200.74999999635003,33.90000000248,166.84999999387003,55.47272727779404,0,0,0,0,0,0,0,0,0
29,29,30,1,cairo,0.75,0,127.50000000248,0,93.6,0,200.74999999635003,33.90000000248,166.84999999387003,55.47272727779404,0,0,0,0,0,0,0,0,0
