period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,gerd,0.75,260,0,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
1,1,2,1,gerd,0.75,95,0,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
2,2,3,1,gerd,0.75,100,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
3,3,4,1,gerd,0.75,105,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
4,4,5,1,gerd,0.75,110,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
5,5,6,1,gerd,0.75,115,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
6,6,7,1,gerd,0.75,120,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
7,7,8,1,gerd,0.75,125,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
8,8,9,1,gerd,0.75,130,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
9,9,10,1,gerd,0.75,135,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
10,10,11,1,gerd,0.75,140,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
11,11,12,1,gerd,0.75,145,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
12,12,13,1,gerd,0.75,150,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
13,13,14,1,gerd,0.75,155,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
14,14,15,1,gerd,0.75,160,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
15,15,16,1,gerd,0.75,165,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
16,16,17,1,gerd,0.75,170,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
17,17,18,1,gerd,0.75,175,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
18,18,19,1,gerd,0.75,180,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
19,19,20,1,gerd,0.75,185,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
20,20,21,1,gerd,0.75,190,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
21,21,22,1,gerd,0.75,195,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
22,22,23,1,gerd,0.75,200,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
23,23,24,1,gerd,0.75,205,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
24,24,25,1,gerd,0.75,210,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
25,25,26,1,gerd,0.75,215,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
26,26,27,1,gerd,0.75,220,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
27,27,28,1,gerd,0.75,225,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
28,28,29,1,gerd,0.75,230,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
29,29,30,1,gerd,0.75,235,170,0,0,0,0,0,0,0,165,58.6560253125,0.0586560253125,0.26107263630000005,0,165,165,0,43.076984989500005
