period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,merowe,0.75,179,2,0,0,0,0,0,0,0,180,29.56704975,0.029567049749999998,0.06741287342999999,0,180,180,0,12.1343172174
1,1,2,1,merowe,0.75,1,2,0,0,0,0,0,0,0,180,29.56704975,0.029567049749999998,0.06741287342999999,0,180,180,0,12.1343172174
2,2,3,1,merowe,0.75,0,2,0,0,0,0,0,0,0,3,0.4927841625,0.0004927841625,0.06741287342999999,0,3,3,0,0.20223862029
3,3,4,1,merowe,0.75,0,52.50000000247999,0,0,0,0,0,0,0,52.50000000247999,8.623722844157367,0.008623722844157368,0.06741287342999999,0,52.50000000247999,52.50000000247999,0,3.5391758552421835
4,4,5,1,merowe,0.75,0,122.50000000248,0,0,0,0,0,0,0,122.50000000248,20.122019969157368,0.020122019969157367,0.06741287342999999,0,122.50000000248,122.50000000248,0,8.258076995342183
5,5,6,1,merowe,0.75,0,122.50000000248,0,0,0,0,0,0,0,122.50000000248,20.122019969157368,0.020122019969157367,0.06741287342999999,0,122.50000000248,122.50000000248,0,8.258076995342183
6,6,7,1,merowe,0.75,0,122.50000000248,0,0,0,0,0,0,0,122.50000000248,20.122019969157368,0.020122019969157367,0.06741287342999999,0,122.50000000248,122.50000000248,0,8.258076995342183
7,7,8,1,merowe,0.75,0,122.50000000248,0,0,0,0,0,0,0,122.50000000248,20.122019969157368,0.020122019969157367,0.06741287342999999,0,122.50000000248,122.50000000248,0,8.258076995342183
8,8,9,1,merowe,0.75,0,122.50000000248,0,0,0,0,0,0,0,122.50000000248,20.122019969157368,0.020122019969157367,0.06741287342999999,0,122.50000000248,122.50000000248,0,8.258076995342183
9,9,10,1,merowe,0.75,0,122.50000000248,0,0,0,0,0,0,0,122.50000000248,20.122019969157368,0.020122019969157367,0.06741287342999999,0,122.50000000248,122.50000000248,0,8.258076995342183
10,10,11,1,merowe,0.75,0,122.50000000248,0,0,0,0,0,0,0,122.50000000248,20.122019969157368,0.020122019969157367,0.06741287342999999,0,122.50000000248,122.50000000248,0,8.258076995342183
11,11,12,1,merowe,0.75,0,138.00000000248,0,0,0,0,0,0,0,138.00000000248,22.668071475407366,0.022668071475407368,0.06741287342999999,0,138.00000000248,138.00000000248,0,9.302976533507183
12,12,13,1,merowe,0.75,3.000000002479993,183.00000000248,0,0,0,0,0,0,0,180,29.56704975,0.029567049749999998,0.06741287342999999,0,180,180,0,12.1343172174
13,13,14,1,merowe,0.75,6.000000004959986,183.00000000248,0,0,0,0,0,0,0,180,29.56704975,0.029567049749999998,0.06741287342999999,0,180,180,0,12.1343172174
14,14,15,1,merowe,0.75,9.00000000743998,183.00000000248,0,0,0,0,0,0,0,180,29.56704975,0.029567049749999998,0.06741287342999999,0,180,180,0,12.1343172174
15,15,16,1,merowe,0.75,12.000000009919972,183.00000000248,0,0,0,0,0,0,0,180,29.56704975,0.029567049749999998,0.06741287342999999,0,180,180,0,12.1343172174
16,16,17,1,merowe,0.75,15.000000012399965,183.00000000248,0,0,0,0,0,0,0,180,29.56704975,0.029567049749999998,0.06741287342999999,0,180,180,0,12.1343172174
17,17,18,1,merowe,0.75,18.00000001487996,183.00000000248,0,0,0,0,0,0,0,180,29.56704975,0.029567049749999998,0.06741287342999999,0,180,180,0,12.1343172174
18,18,19,1,merowe,0.75,21.00000001735995,183.00000000248,0,0,0,0,0,0,0,180,29.56704975,0.029567049749999998,0.06741287342999999,0,180,180,0,12.1343172174
19,19,20,1,merowe,0.75,24.000000019839945,183.00000000248,0,0,0,0,0,0,0,180,29.56704975,0.029567049749999998,0.06741287342999999,0,180,180,0,12.1343172174
20,20,21,1,merowe,0.75,27.000000022319938,183.00000000248,0,0,0,0,0,0,0,180,29.56704975,0.029567049749999998,0.06741287342999999,0,180,180,0,12.1343172174
21,21,22,1,merowe,0.75,30.00000002479993,183.00000000248,0,0,0,0,0,0,0,180,29.56704975,0.029567049749999998,0.06741287342999999,0,180,180,0,12.1343172174
22,22,23,1,merowe,0.75,33.000000027279924,183.00000000248,0,0,0,0,0,0,0,180,29.56704975,0.029567049749999998,0.06741287342999999,0,180,180,0,12.1343172174
23,23,24,1,merowe,0.75,36.00000002975992,183.00000000248,0,0,0,0,0,0,0,180,29.56704975,0.029567049749999998,0.06741287342999999,0,180,180,0,12.1343172174
24,24,25,1,merowe,0.75,39.00000003223991,183.00000000248,0,0,0,0,0,0,0,180,29.56704975,0.029567049749999998,0.06741287342999999,0,180,180,0,12.1343172174
25,25,26,1,merowe,0.75,42.0000000347199,183.00000000248,0,0,0,0,0,0,0,180,29.56704975,0.029567049749999998,0.06741287342999999,0,180,180,0,12.1343172174
26,26,27,1,merowe,0.75,45.0000000371999,183.00000000248,0,0,0,0,0,0,0,180,29.56704975,0.029567049749999998,0.06741287342999999,0,180,180,0,12.1343172174
27,27,28,1,merowe,0.75,48.00000003967989,183.00000000248,0,0,0,0,0,0,0,180,29.56704975,0.029567049749999998,0.06741287342999999,0,180,180,0,12.1343172174
28,28,29,1,merowe,0.75,51.00000004215988,183.00000000248,0,0,0,0,0,0,0,180,29.56704975,0.029567049749999998,0.06741287342999999,0,180,180,0,12.1343172174
