period_index,start_day,end_day_exclusive,duration_days,total_inflow,total_evaporation,total_drink_water_met,total_unmet_drink_water,total_food_water_demand,total_food_water_met,total_unmet_food_water,total_food_produced,total_production_release,total_generated_electricity_kwh,total_generated_electricity_mwh,total_spill,total_release_for_routing,total_downstream_release,total_routing_loss,total_energy_value
0,0,1,1,440,48,12,107.6,282.74999999407004,0,282.74999999407004,0,1040,166.16755509374997,0.16616755509374997,0,1040,1040,0,99.2059469218125
1,1,2,1,510,48,12,107.6,282.74999999407004,0,282.74999999407004,0,1110,166.16755509374997,0.16616755509374997,0,1110,1110,0,99.2059469218125
2,2,3,1,1027.5,48,12,107.6,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1053.50000000248,137.09328950625,0.13709328950625,0,1053.50000000248,1053.50000000248,0,87.2738683247025
3,3,4,1,1078.00000000248,48,12,107.6,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1018.0000000049599,122.09279250040737,0.12209279250040737,0,1018.0000000049599,1018.0000000049599,0,75.87145473957969
4,4,5,1,1148.00000000248,48,12,107.6,282.74999999407004,61.99999999752001,220.74999999655003,74.4,960.5000000049599,98.89393609415735,0.09889393609415735,0,960.5000000049599,960.5000000049599,0,58.48132964956718
5,5,6,1,1148.00000000248,48,12,107.6,282.74999999407004,61.99999999752001,220.74999999655003,74.4,960.5000000049599,98.89393609415735,0.09889393609415735,0,960.5000000049599,960.5000000049599,0,58.48132964956718
6,6,7,1,1148.00000000248,48,12,107.6,282.74999999407004,61.99999999752001,220.74999999655003,74.4,960.5000000049599,98.89393609415735,0.09889393609415735,0,960.5000000049599,960.5000000049599,0,58.48132964956718
7,7,8,1,1148.00000000248,48,12,107.6,282.74999999407004,61.99999999752001,220.74999999655003,74.4,960.5000000049599,98.89393609415735,0.09889393609415735,0,960.5000000049599,960.5000000049599,0,58.48132964956718
8,8,9,1,1148.00000000248,48,12,107.6,282.74999999407004,61.99999999752001,220.74999999655003,74.4,960.5000000049599,98.89393609415735,0.09889393609415735,15.5,976.0000000049599,976.0000000049599,0,58.48132964956718
9,9,10,1,1148.00000000248,48,12,107.6,282.74999999407004,61.99999999752001,220.74999999655003,74.4,960.5000000049599,98.89393609415735,0.09889393609415735,60.5,1021.0000000049599,1021.0000000049599,0,58.48132964956718
